"MARYLAND OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Maryland (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"24.0","96.0","MD","MD Total Mig - US & For","75637.0","133735.0","4156266.0"
"24.0","97.0","MD","MD Total Mig - US","73188.0","128947.0","4023026.0"
"24.0","98.0","MD","MD Total Mig - Foreign","2449.0","4788.0","133240.0"
"24.0","24.0","MD","MD Non-Migrants","2143288.0","4518786.0","154211938.0"
"24.0","51.0","VA","VIRGINIA","12269.0","21752.0","735595.0"
"24.0","11.0","DC","DISTRICT OF COLUMBIA","7694.0","12422.0","374935.0"
"24.0","42.0","PA","PENNSYLVANIA","6599.0","11612.0","339937.0"
"24.0","12.0","FL","FLORIDA","6529.0","10946.0","394815.0"
"24.0","36.0","NY","NEW YORK","3856.0","5983.0","185363.0"
"24.0","6.0","CA","CALIFORNIA","3706.0","6124.0","213119.0"
"24.0","37.0","NC","NORTH CAROLINA","3607.0","6832.0","190193.0"
"24.0","48.0","TX","TEXAS","3304.0","6621.0","207614.0"
"24.0","10.0","DE","DELAWARE","2491.0","4578.0","128423.0"
"24.0","57.0","FR","Foreign","2449.0","4788.0","133240.0"
"24.0","13.0","GA","GEORGIA","2375.0","4513.0","116761.0"
"24.0","54.0","WV","WEST VIRGINIA","1931.0","3535.0","80499.0"
"24.0","34.0","NJ","NEW JERSEY","1844.0","3233.0","101790.0"
"24.0","45.0","SC","SOUTH CAROLINA","1554.0","2845.0","83160.0"
"24.0","25.0","MA","MASSACHUSETTS","1241.0","1942.0","75527.0"
"24.0","39.0","OH","OHIO","1187.0","2129.0","63165.0"
"24.0","17.0","IL","ILLINOIS","1034.0","1784.0","63893.0"
"24.0","8.0","CO","COLORADO","979.0","1706.0","62313.0"
"24.0","53.0","WA","WASHINGTON","907.0","1657.0","52554.0"
"24.0","47.0","TN","TENNESSEE","897.0","1654.0","49226.0"
"24.0","4.0","AZ","ARIZONA","756.0","1340.0","47085.0"
"24.0","26.0","MI","MICHIGAN","688.0","1218.0","33604.0"
"24.0","9.0","CT","CONNECTICUT","595.0","1062.0","37862.0"
"24.0","15.0","HI","HAWAII","478.0","1018.0","26940.0"
"24.0","1.0","AL","ALABAMA","457.0","953.0","23827.0"
"24.0","18.0","IN","INDIANA","447.0","873.0","23235.0"
"24.0","29.0","MO","MISSOURI","446.0","823.0","23285.0"
"24.0","21.0","KY","KENTUCKY","427.0","866.0","24777.0"
"24.0","22.0","LA","LOUISIANA","412.0","790.0","20612.0"
"24.0","32.0","NV","NEVADA","364.0","635.0","21090.0"
"24.0","27.0","MN","MINNESOTA","343.0","581.0","18390.0"
"24.0","41.0","OR","OREGON","341.0","542.0","17523.0"
"24.0","55.0","WI","WISCONSIN","314.0","569.0","20097.0"
"24.0","35.0","NM","NEW MEXICO","295.0","515.0","18755.0"
"24.0","20.0","KS","KANSAS","274.0","534.0","13688.0"
"24.0","40.0","OK","OKLAHOMA","272.0","552.0","12732.0"
"24.0","49.0","UT","UTAH","253.0","531.0","15499.0"
"24.0","23.0","ME","MAINE","232.0","426.0","15622.0"
"24.0","33.0","NH","NEW HAMPSHIRE","228.0","374.0","14481.0"
"24.0","28.0","MS","MISSISSIPPI","220.0","419.0","8916.0"
"24.0","44.0","RI","RHODE ISLAND","183.0","311.0","10631.0"
"24.0","19.0","IA","IOWA","177.0","318.0","9609.0"
"24.0","5.0","AR","ARKANSAS","173.0","343.0","8225.0"
"24.0","2.0","AK","ALASKA","166.0","364.0","7414.0"
"24.0","31.0","NE","NEBRASKA","126.0","228.0","5694.0"
"24.0","50.0","VT","VERMONT","120.0","198.0","6552.0"
"24.0","16.0","ID","IDAHO","103.0","207.0","4992.0"
"24.0","30.0","MT","MONTANA","96.0","158.0","4887.0"
"24.0","46.0","SD","SOUTH DAKOTA","72.0","114.0","2762.0"
"24.0","56.0","WY","WYOMING","69.0","115.0","3060.0"
"24.0","38.0","ND","NORTH DAKOTA","57.0","102.0","2295.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
