"DISTRICT OF COLUMBIA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into District of Columbia (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"11.0","96.0","DC","DC Total Mig - US & For","28743.0","38592.0","1528464.0"
"11.0","97.0","DC","DC Total Mig - US","28204.0","37682.0","1483979.0"
"11.0","98.0","DC","DC Total Mig - Foreign","539.0","910.0","44485.0"
"11.0","11.0","DC","DC Non-Migrants","219908.0","368718.0","16134958.0"
"11.0","24.0","MD","MARYLAND","7694.0","12422.0","374935.0"
"11.0","51.0","VA","VIRGINIA","5463.0","6876.0","356787.0"
"11.0","36.0","NY","NEW YORK","1996.0","2367.0","129476.0"
"11.0","6.0","CA","CALIFORNIA","1585.0","1901.0","85767.0"
"11.0","25.0","MA","MASSACHUSETTS","1030.0","1162.0","57453.0"
"11.0","42.0","PA","PENNSYLVANIA","990.0","1120.0","42411.0"
"11.0","12.0","FL","FLORIDA","932.0","1189.0","42219.0"
"11.0","37.0","NC","NORTH CAROLINA","750.0","1004.0","30806.0"
"11.0","48.0","TX","TEXAS","713.0","945.0","30341.0"
"11.0","17.0","IL","ILLINOIS","711.0","843.0","39246.0"
"11.0","34.0","NJ","NEW JERSEY","682.0","802.0","35603.0"
"11.0","13.0","GA","GEORGIA","555.0","749.0","24008.0"
"11.0","57.0","FR","Foreign","539.0","910.0","44485.0"
"11.0","39.0","OH","OHIO","482.0","568.0","18671.0"
"11.0","26.0","MI","MICHIGAN","365.0","428.0","15086.0"
"11.0","53.0","WA","WASHINGTON","346.0","465.0","19339.0"
"11.0","9.0","CT","CONNECTICUT","325.0","379.0","15826.0"
"11.0","8.0","CO","COLORADO","273.0","333.0","15993.0"
"11.0","27.0","MN","MINNESOTA","242.0","272.0","10767.0"
"11.0","47.0","TN","TENNESSEE","215.0","267.0","10351.0"
"11.0","45.0","SC","SOUTH CAROLINA","212.0","300.0","7913.0"
"11.0","55.0","WI","WISCONSIN","203.0","215.0","7097.0"
"11.0","4.0","AZ","ARIZONA","201.0","270.0","10481.0"
"11.0","29.0","MO","MISSOURI","186.0","217.0","11202.0"
"11.0","18.0","IN","INDIANA","161.0","188.0","6060.0"
"11.0","22.0","LA","LOUISIANA","142.0","162.0","5905.0"
"11.0","41.0","OR","OREGON","134.0","169.0","5118.0"
"11.0","33.0","NH","NEW HAMPSHIRE","119.0","145.0","5880.0"
"11.0","21.0","KY","KENTUCKY","115.0","139.0","5051.0"
"11.0","1.0","AL","ALABAMA","113.0","152.0","5793.0"
"11.0","10.0","DE","DELAWARE","108.0","138.0","7631.0"
"11.0","44.0","RI","RHODE ISLAND","99.0","117.0","4350.0"
"11.0","50.0","VT","VERMONT","84.0","106.0","3668.0"
"11.0","19.0","IA","IOWA","83.0","94.0","3313.0"
"11.0","35.0","NM","NEW MEXICO","83.0","114.0","4894.0"
"11.0","20.0","KS","KANSAS","76.0","101.0","3032.0"
"11.0","15.0","HI","HAWAII","75.0","118.0","4265.0"
"11.0","5.0","AR","ARKANSAS","72.0","88.0","3308.0"
"11.0","23.0","ME","MAINE","72.0","89.0","2994.0"
"11.0","49.0","UT","UTAH","65.0","94.0","2440.0"
"11.0","28.0","MS","MISSISSIPPI","63.0","75.0","2448.0"
"11.0","32.0","NV","NEVADA","62.0","77.0","2348.0"
"11.0","31.0","NE","NEBRASKA","60.0","78.0","2902.0"
"11.0","54.0","WV","WEST VIRGINIA","57.0","75.0","2379.0"
"11.0","40.0","OK","OKLAHOMA","54.0","76.0","2364.0"
"11.0","2.0","AK","ALASKA","42.0","57.0","1866.0"
"11.0","30.0","MT","MONTANA","38.0","47.0","1151.0"
"11.0","38.0","ND","NORTH DAKOTA","23.0","28.0","985.0"
"11.0","16.0","ID","IDAHO","21.0","22.0","601.0"
"11.0","46.0","SD","SOUTH DAKOTA","19.0","23.0","1007.0"
"11.0","56.0","WY","WYOMING","13.0","16.0","448.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
