"PENNSYLVANIA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Pennsylvania (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"42.0","96.0","PA","PA Total Mig - US & For","106658.0","180703.0","5443715.0"
"42.0","97.0","PA","PA Total Mig - US","103678.0","175692.0","5308591.0"
"42.0","98.0","PA","PA Total Mig - Foreign","2980.0","5011.0","135124.0"
"42.0","42.0","PA","PA Non-Migrants","4899840.0","10133382.0","291104440.0"
"42.0","12.0","FL","FLORIDA","12392.0","20211.0","683352.0"
"42.0","36.0","NY","NEW YORK","12384.0","19294.0","532876.0"
"42.0","34.0","NJ","NEW JERSEY","11319.0","19356.0","598763.0"
"42.0","24.0","MD","MARYLAND","6811.0","11011.0","328188.0"
"42.0","51.0","VA","VIRGINIA","5673.0","9281.0","292497.0"
"42.0","6.0","CA","CALIFORNIA","5359.0","8273.0","303896.0"
"42.0","37.0","NC","NORTH CAROLINA","4895.0","9051.0","241870.0"
"42.0","39.0","OH","OHIO","4470.0","8016.0","222557.0"
"42.0","48.0","TX","TEXAS","4062.0","7625.0","227088.0"
"42.0","10.0","DE","DELAWARE","3433.0","6249.0","143967.0"
"42.0","13.0","GA","GEORGIA","3058.0","5535.0","142525.0"
"42.0","57.0","FR","Foreign","2980.0","5011.0","135124.0"
"42.0","25.0","MA","MASSACHUSETTS","2546.0","3929.0","155341.0"
"42.0","45.0","SC","SOUTH CAROLINA","2391.0","4359.0","115631.0"
"42.0","17.0","IL","ILLINOIS","1907.0","3262.0","126929.0"
"42.0","4.0","AZ","ARIZONA","1735.0","3007.0","88881.0"
"42.0","8.0","CO","COLORADO","1622.0","2692.0","79797.0"
"42.0","54.0","WV","WEST VIRGINIA","1549.0","2683.0","63917.0"
"42.0","47.0","TN","TENNESSEE","1425.0","2622.0","72070.0"
"42.0","26.0","MI","MICHIGAN","1279.0","2296.0","63309.0"
"42.0","9.0","CT","CONNECTICUT","1260.0","2083.0","78908.0"
"42.0","53.0","WA","WASHINGTON","1245.0","2137.0","70169.0"
"42.0","11.0","DC","DISTRICT OF COLUMBIA","990.0","1120.0","42411.0"
"42.0","18.0","IN","INDIANA","967.0","1864.0","49619.0"
"42.0","21.0","KY","KENTUCKY","754.0","1500.0","34017.0"
"42.0","29.0","MO","MISSOURI","754.0","1419.0","42029.0"
"42.0","55.0","WI","WISCONSIN","660.0","1268.0","42817.0"
"42.0","32.0","NV","NEVADA","642.0","1053.0","25416.0"
"42.0","41.0","OR","OREGON","619.0","931.0","35971.0"
"42.0","27.0","MN","MINNESOTA","605.0","1156.0","41892.0"
"42.0","22.0","LA","LOUISIANA","556.0","974.0","42544.0"
"42.0","1.0","AL","ALABAMA","534.0","1066.0","26497.0"
"42.0","40.0","OK","OKLAHOMA","487.0","893.0","19498.0"
"42.0","23.0","ME","MAINE","446.0","806.0","26369.0"
"42.0","33.0","NH","NEW HAMPSHIRE","419.0","765.0","27506.0"
"42.0","20.0","KS","KANSAS","409.0","843.0","17928.0"
"42.0","49.0","UT","UTAH","393.0","775.0","19340.0"
"42.0","35.0","NM","NEW MEXICO","377.0","641.0","20735.0"
"42.0","15.0","HI","HAWAII","370.0","587.0","13450.0"
"42.0","19.0","IA","IOWA","352.0","706.0","17402.0"
"42.0","44.0","RI","RHODE ISLAND","342.0","512.0","15852.0"
"42.0","28.0","MS","MISSISSIPPI","312.0","578.0","12876.0"
"42.0","50.0","VT","VERMONT","296.0","441.0","13392.0"
"42.0","5.0","AR","ARKANSAS","288.0","576.0","16017.0"
"42.0","2.0","AK","ALASKA","274.0","437.0","10675.0"
"42.0","30.0","MT","MONTANA","232.0","398.0","11286.0"
"42.0","31.0","NE","NEBRASKA","207.0","402.0","9760.0"
"42.0","16.0","ID","IDAHO","183.0","336.0","10193.0"
"42.0","56.0","WY","WYOMING","163.0","270.0","19500.0"
"42.0","38.0","ND","NORTH DAKOTA","118.0","193.0","4027.0"
"42.0","46.0","SD","SOUTH DAKOTA","114.0","210.0","7043.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
