"RHODE ISLAND OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Rhode Island (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"44.0","96.0","RI","RI Total Mig - US & For","14580.0","24533.0","704971.0"
"44.0","97.0","RI","RI Total Mig - US","14289.0","23959.0","689800.0"
"44.0","98.0","RI","RI Total Mig - Foreign","291.0","574.0","15170.0"
"44.0","44.0","RI","RI Non-Migrants","398371.0","798921.0","23558330.0"
"44.0","25.0","MA","MASSACHUSETTS","4032.0","6431.0","195015.0"
"44.0","12.0","FL","FLORIDA","2004.0","3353.0","98275.0"
"44.0","36.0","NY","NEW YORK","1132.0","1646.0","39888.0"
"44.0","9.0","CT","CONNECTICUT","991.0","1599.0","46355.0"
"44.0","6.0","CA","CALIFORNIA","651.0","1055.0","34415.0"
"44.0","51.0","VA","VIRGINIA","500.0","1172.0","32681.0"
"44.0","37.0","NC","NORTH CAROLINA","416.0","855.0","22669.0"
"44.0","48.0","TX","TEXAS","414.0","778.0","22651.0"
"44.0","34.0","NJ","NEW JERSEY","398.0","646.0","15030.0"
"44.0","42.0","PA","PENNSYLVANIA","391.0","680.0","19176.0"
"44.0","57.0","FR","Foreign","291.0","574.0","15170.0"
"44.0","13.0","GA","GEORGIA","276.0","516.0","13767.0"
"44.0","33.0","NH","NEW HAMPSHIRE","259.0","417.0","13137.0"
"44.0","24.0","MD","MARYLAND","258.0","424.0","13232.0"
"44.0","23.0","ME","MAINE","241.0","405.0","10186.0"
"44.0","45.0","SC","SOUTH CAROLINA","214.0","359.0","9853.0"
"44.0","4.0","AZ","ARIZONA","165.0","282.0","9522.0"
"44.0","53.0","WA","WASHINGTON","163.0","303.0","8706.0"
"44.0","17.0","IL","ILLINOIS","156.0","261.0","12727.0"
"44.0","8.0","CO","COLORADO","147.0","256.0","5887.0"
"44.0","39.0","OH","OHIO","131.0","228.0","6325.0"
"44.0","47.0","TN","TENNESSEE","108.0","208.0","4762.0"
"44.0","11.0","DC","DISTRICT OF COLUMBIA","99.0","117.0","4350.0"
"44.0","26.0","MI","MICHIGAN","87.0","143.0","3975.0"
"44.0","15.0","HI","HAWAII","83.0","201.0","4401.0"
"44.0","32.0","NV","NEVADA","76.0","117.0","3009.0"
"44.0","27.0","MN","MINNESOTA","71.0","108.0","2820.0"
"44.0","50.0","VT","VERMONT","71.0","111.0","2605.0"
"44.0","1.0","AL","ALABAMA","60.0","120.0","2599.0"
"44.0","18.0","IN","INDIANA","59.0","99.0","3548.0"
"44.0","22.0","LA","LOUISIANA","59.0","107.0","1972.0"
"44.0","29.0","MO","MISSOURI","57.0","95.0","3536.0"
"44.0","41.0","OR","OREGON","57.0","81.0","2319.0"
"44.0","55.0","WI","WISCONSIN","51.0","78.0","3495.0"
"44.0","10.0","DE","DELAWARE","39.0","64.0","1610.0"
"44.0","21.0","KY","KENTUCKY","39.0","72.0","1836.0"
"44.0","35.0","NM","NEW MEXICO","39.0","62.0","1969.0"
"44.0","40.0","OK","OKLAHOMA","37.0","78.0","1348.0"
"44.0","49.0","UT","UTAH","36.0","66.0","1723.0"
"44.0","28.0","MS","MISSISSIPPI","28.0","53.0","882.0"
"44.0","5.0","AR","ARKANSAS","26.0","49.0","1494.0"
"44.0","31.0","NE","NEBRASKA","25.0","57.0","1741.0"
"44.0","20.0","KS","KANSAS","22.0","24.0","627.0"
"44.0","54.0","WV","WEST VIRGINIA","21.0","32.0","534.0"
"44.0","19.0","IA","IOWA","18.0","34.0","779.0"
"44.0","2.0","AK","ALASKA","14.0","17.0","257.0"
"44.0","30.0","MT","MONTANA","13.0","25.0","325.0"
"44.0","46.0","SD","SOUTH DAKOTA","12.0","14.0","470.0"
"44.0","16.0","ID","IDAHO","6.0","6.0","122.0"
"44.0","38.0","ND","NORTH DAKOTA","d","d","d"
"44.0","56.0","WY","WYOMING","d","d","d"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
