"MICHIGAN OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Michigan (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"26.0","96.0","MI","MI Total Mig - US & For","76723.0","136808.0","3533257.0"
"26.0","97.0","MI","MI Total Mig - US","74774.0","133367.0","3430491.0"
"26.0","98.0","MI","MI Total Mig - Foreign","1949.0","3441.0","102766.0"
"26.0","26.0","MI","MI Non-Migrants","3663133.0","7877757.0","196978310.0"
"26.0","12.0","FL","FLORIDA","9086.0","15129.0","469965.0"
"26.0","17.0","IL","ILLINOIS","5547.0","8670.0","269277.0"
"26.0","48.0","TX","TEXAS","5403.0","10699.0","244670.0"
"26.0","39.0","OH","OHIO","5079.0","9400.0","236871.0"
"26.0","6.0","CA","CALIFORNIA","4687.0","7722.0","234150.0"
"26.0","18.0","IN","INDIANA","3879.0","7532.0","167866.0"
"26.0","13.0","GA","GEORGIA","2866.0","5414.0","107547.0"
"26.0","37.0","NC","NORTH CAROLINA","2842.0","5523.0","131883.0"
"26.0","4.0","AZ","ARIZONA","2649.0","4629.0","118032.0"
"26.0","47.0","TN","TENNESSEE","2617.0","4966.0","107122.0"
"26.0","36.0","NY","NEW YORK","2529.0","3998.0","103883.0"
"26.0","55.0","WI","WISCONSIN","2267.0","4077.0","98782.0"
"26.0","51.0","VA","VIRGINIA","2174.0","3914.0","103235.0"
"26.0","8.0","CO","COLORADO","1965.0","3045.0","72787.0"
"26.0","57.0","FR","Foreign","1949.0","3441.0","102766.0"
"26.0","42.0","PA","PENNSYLVANIA","1700.0","3131.0","102924.0"
"26.0","53.0","WA","WASHINGTON","1480.0","2597.0","67162.0"
"26.0","45.0","SC","SOUTH CAROLINA","1350.0","2622.0","66938.0"
"26.0","21.0","KY","KENTUCKY","1226.0","2498.0","47606.0"
"26.0","24.0","MD","MARYLAND","1113.0","1885.0","53405.0"
"26.0","29.0","MO","MISSOURI","1106.0","2133.0","48300.0"
"26.0","27.0","MN","MINNESOTA","1096.0","2034.0","57028.0"
"26.0","1.0","AL","ALABAMA","999.0","2051.0","40917.0"
"26.0","25.0","MA","MASSACHUSETTS","866.0","1286.0","40921.0"
"26.0","32.0","NV","NEVADA","820.0","1313.0","28263.0"
"26.0","34.0","NJ","NEW JERSEY","804.0","1441.0","44048.0"
"26.0","41.0","OR","OREGON","678.0","1077.0","25669.0"
"26.0","19.0","IA","IOWA","633.0","1272.0","33737.0"
"26.0","22.0","LA","LOUISIANA","587.0","1050.0","24211.0"
"26.0","40.0","OK","OKLAHOMA","558.0","1079.0","18827.0"
"26.0","5.0","AR","ARKANSAS","534.0","1099.0","19835.0"
"26.0","20.0","KS","KANSAS","518.0","1062.0","34637.0"
"26.0","28.0","MS","MISSISSIPPI","486.0","969.0","16565.0"
"26.0","35.0","NM","NEW MEXICO","399.0","695.0","14865.0"
"26.0","9.0","CT","CONNECTICUT","390.0","642.0","23694.0"
"26.0","49.0","UT","UTAH","383.0","773.0","18213.0"
"26.0","56.0","WY","WYOMING","374.0","632.0","11224.0"
"26.0","11.0","DC","DISTRICT OF COLUMBIA","365.0","428.0","15086.0"
"26.0","2.0","AK","ALASKA","342.0","603.0","13947.0"
"26.0","15.0","HI","HAWAII","334.0","570.0","10393.0"
"26.0","31.0","NE","NEBRASKA","276.0","517.0","10904.0"
"26.0","30.0","MT","MONTANA","275.0","478.0","10808.0"
"26.0","54.0","WV","WEST VIRGINIA","261.0","503.0","10554.0"
"26.0","38.0","ND","NORTH DAKOTA","252.0","449.0","10329.0"
"26.0","46.0","SD","SOUTH DAKOTA","191.0","363.0","7802.0"
"26.0","16.0","ID","IDAHO","172.0","326.0","6090.0"
"26.0","33.0","NH","NEW HAMPSHIRE","169.0","302.0","10182.0"
"26.0","23.0","ME","MAINE","142.0","265.0","5736.0"
"26.0","10.0","DE","DELAWARE","116.0","204.0","5814.0"
"26.0","44.0","RI","RHODE ISLAND","98.0","163.0","4189.0"
"26.0","50.0","VT","VERMONT","91.0","137.0","3602.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
