"NEW YORK OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from New York (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"36.0","96.0","NY","NY Total Mig - US & For","185157.0","314000.0","10689044.0"
"36.0","97.0","NY","NY Total Mig - US","176864.0","300555.0","10074481.0"
"36.0","98.0","NY","NY Total Mig - Foreign","8293.0","13445.0","614564.0"
"36.0","36.0","NY","NY Non-Migrants","7255720.0","14767874.0","462032979.0"
"36.0","12.0","FL","FLORIDA","28304.0","46114.0","1391782.0"
"36.0","34.0","NJ","NEW JERSEY","24827.0","44551.0","1761643.0"
"36.0","6.0","CA","CALIFORNIA","13917.0","19963.0","979278.0"
"36.0","42.0","PA","PENNSYLVANIA","13901.0","25446.0","613001.0"
"36.0","9.0","CT","CONNECTICUT","8801.0","15625.0","937915.0"
"36.0","37.0","NC","NORTH CAROLINA","8718.0","16301.0","388125.0"
"36.0","57.0","FR","Foreign","8293.0","13445.0","614564.0"
"36.0","25.0","MA","MASSACHUSETTS","7982.0","11616.0","477128.0"
"36.0","48.0","TX","TEXAS","7470.0","13633.0","402715.0"
"36.0","51.0","VA","VIRGINIA","6972.0","12186.0","345878.0"
"36.0","13.0","GA","GEORGIA","6396.0","11829.0","256889.0"
"36.0","24.0","MD","MARYLAND","4645.0","7668.0","234091.0"
"36.0","45.0","SC","SOUTH CAROLINA","3673.0","6706.0","182835.0"
"36.0","17.0","IL","ILLINOIS","3521.0","5300.0","232644.0"
"36.0","39.0","OH","OHIO","3030.0","5291.0","144273.0"
"36.0","8.0","CO","COLORADO","2511.0","3961.0","124421.0"
"36.0","4.0","AZ","ARIZONA","2458.0","4168.0","133722.0"
"36.0","53.0","WA","WASHINGTON","2342.0","3819.0","124681.0"
"36.0","26.0","MI","MICHIGAN","2102.0","3630.0","92094.0"
"36.0","11.0","DC","DISTRICT OF COLUMBIA","1996.0","2367.0","129476.0"
"36.0","47.0","TN","TENNESSEE","1908.0","3426.0","86418.0"
"36.0","50.0","VT","VERMONT","1321.0","2057.0","67200.0"
"36.0","32.0","NV","NEVADA","1278.0","2025.0","59618.0"
"36.0","18.0","IN","INDIANA","1186.0","2243.0","61604.0"
"36.0","22.0","LA","LOUISIANA","1148.0","1920.0","46445.0"
"36.0","41.0","OR","OREGON","1107.0","1544.0","54353.0"
"36.0","29.0","MO","MISSOURI","1091.0","1978.0","50748.0"
"36.0","44.0","RI","RHODE ISLAND","1077.0","1704.0","45649.0"
"36.0","33.0","NH","NEW HAMPSHIRE","1069.0","1791.0","63929.0"
"36.0","1.0","AL","ALABAMA","1013.0","1924.0","44347.0"
"36.0","27.0","MN","MINNESOTA","973.0","1672.0","56304.0"
"36.0","10.0","DE","DELAWARE","948.0","1717.0","47210.0"
"36.0","55.0","WI","WISCONSIN","927.0","1569.0","50653.0"
"36.0","21.0","KY","KENTUCKY","884.0","1732.0","42015.0"
"36.0","23.0","ME","MAINE","876.0","1412.0","45858.0"
"36.0","15.0","HI","HAWAII","793.0","1373.0","33737.0"
"36.0","40.0","OK","OKLAHOMA","661.0","1296.0","30345.0"
"36.0","20.0","KS","KANSAS","645.0","1379.0","31482.0"
"36.0","35.0","NM","NEW MEXICO","599.0","925.0","30248.0"
"36.0","49.0","UT","UTAH","560.0","1006.0","26199.0"
"36.0","19.0","IA","IOWA","428.0","731.0","19648.0"
"36.0","28.0","MS","MISSISSIPPI","413.0","777.0","14310.0"
"36.0","54.0","WV","WEST VIRGINIA","413.0","716.0","17240.0"
"36.0","5.0","AR","ARKANSAS","390.0","772.0","18371.0"
"36.0","2.0","AK","ALASKA","366.0","613.0","12255.0"
"36.0","31.0","NE","NEBRASKA","270.0","479.0","17127.0"
"36.0","30.0","MT","MONTANA","255.0","382.0","11817.0"
"36.0","16.0","ID","IDAHO","250.0","478.0","11761.0"
"36.0","56.0","WY","WYOMING","162.0","235.0","5905.0"
"36.0","46.0","SD","SOUTH DAKOTA","145.0","261.0","6726.0"
"36.0","38.0","ND","NORTH DAKOTA","142.0","244.0","12369.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
