"CONNECTICUT OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Connecticut (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"9.0","96.0","CT","CT Total Mig - US & For","41151.0","68746.0","2681882.0"
"9.0","97.0","CT","CT Total Mig - US","39759.0","66114.0","2566471.0"
"9.0","98.0","CT","CT Total Mig - Foreign","1392.0","2632.0","115411.0"
"9.0","9.0","CT","CT Non-Migrants","1343294.0","2774447.0","106050133.0"
"9.0","36.0","NY","NEW YORK","7427.0","11276.0","472675.0"
"9.0","12.0","FL","FLORIDA","5309.0","8852.0","332533.0"
"9.0","25.0","MA","MASSACHUSETTS","4562.0","6650.0","254689.0"
"9.0","6.0","CA","CALIFORNIA","2222.0","3462.0","155823.0"
"9.0","34.0","NJ","NEW JERSEY","1602.0","2873.0","124971.0"
"9.0","42.0","PA","PENNSYLVANIA","1551.0","2654.0","100243.0"
"9.0","37.0","NC","NORTH CAROLINA","1517.0","2912.0","85605.0"
"9.0","57.0","FR","Foreign","1392.0","2632.0","115411.0"
"9.0","48.0","TX","TEXAS","1385.0","2623.0","127652.0"
"9.0","51.0","VA","VIRGINIA","1356.0","2496.0","85873.0"
"9.0","44.0","RI","RHODE ISLAND","1065.0","1686.0","63607.0"
"9.0","13.0","GA","GEORGIA","1063.0","2039.0","65676.0"
"9.0","45.0","SC","SOUTH CAROLINA","849.0","1563.0","62384.0"
"9.0","24.0","MD","MARYLAND","759.0","1294.0","48853.0"
"9.0","17.0","IL","ILLINOIS","750.0","1270.0","67436.0"
"9.0","23.0","ME","MAINE","648.0","1107.0","34873.0"
"9.0","33.0","NH","NEW HAMPSHIRE","646.0","1027.0","41635.0"
"9.0","53.0","WA","WASHINGTON","546.0","1066.0","38657.0"
"9.0","4.0","AZ","ARIZONA","543.0","932.0","33942.0"
"9.0","8.0","CO","COLORADO","531.0","814.0","30940.0"
"9.0","39.0","OH","OHIO","508.0","969.0","36670.0"
"9.0","50.0","VT","VERMONT","426.0","657.0","23152.0"
"9.0","47.0","TN","TENNESSEE","396.0","736.0","23446.0"
"9.0","26.0","MI","MICHIGAN","353.0","660.0","33531.0"
"9.0","11.0","DC","DISTRICT OF COLUMBIA","325.0","379.0","15826.0"
"9.0","15.0","HI","HAWAII","278.0","526.0","12284.0"
"9.0","18.0","IN","INDIANA","244.0","452.0","14820.0"
"9.0","55.0","WI","WISCONSIN","236.0","497.0","19100.0"
"9.0","29.0","MO","MISSOURI","213.0","376.0","16216.0"
"9.0","27.0","MN","MINNESOTA","212.0","363.0","19592.0"
"9.0","32.0","NV","NEVADA","201.0","312.0","11281.0"
"9.0","41.0","OR","OREGON","191.0","275.0","9427.0"
"9.0","22.0","LA","LOUISIANA","187.0","286.0","7632.0"
"9.0","1.0","AL","ALABAMA","179.0","362.0","8938.0"
"9.0","21.0","KY","KENTUCKY","143.0","251.0","7190.0"
"9.0","49.0","UT","UTAH","140.0","275.0","7124.0"
"9.0","10.0","DE","DELAWARE","137.0","238.0","6525.0"
"9.0","35.0","NM","NEW MEXICO","129.0","220.0","6337.0"
"9.0","40.0","OK","OKLAHOMA","118.0","236.0","6995.0"
"9.0","19.0","IA","IOWA","117.0","230.0","7317.0"
"9.0","2.0","AK","ALASKA","94.0","133.0","3201.0"
"9.0","54.0","WV","WEST VIRGINIA","87.0","179.0","3976.0"
"9.0","20.0","KS","KANSAS","84.0","162.0","4089.0"
"9.0","5.0","AR","ARKANSAS","72.0","137.0","7202.0"
"9.0","28.0","MS","MISSISSIPPI","69.0","131.0","2371.0"
"9.0","31.0","NE","NEBRASKA","59.0","105.0","3453.0"
"9.0","30.0","MT","MONTANA","58.0","90.0","2105.0"
"9.0","56.0","WY","WYOMING","50.0","60.0","11038.0"
"9.0","16.0","ID","IDAHO","49.0","103.0","3965.0"
"9.0","46.0","SD","SOUTH DAKOTA","40.0","66.0","2293.0"
"9.0","38.0","ND","NORTH DAKOTA","33.0","52.0","1306.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
