"CONNECTICUT INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Connecticut (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"9.0","96.0","CT","CT Total Mig - US & For","33881.0","59285.0","2494120.0"
"9.0","97.0","CT","CT Total Mig - US","33044.0","57548.0","2433588.0"
"9.0","98.0","CT","CT Total Mig - Foreign","837.0","1737.0","60532.0"
"9.0","9.0","CT","CT Non-Migrants","1343294.0","2774447.0","106050133.0"
"9.0","36.0","NY","NEW YORK","8801.0","15625.0","937915.0"
"9.0","25.0","MA","MASSACHUSETTS","3713.0","5707.0","208753.0"
"9.0","12.0","FL","FLORIDA","2943.0","5169.0","120892.0"
"9.0","34.0","NJ","NEW JERSEY","1879.0","3358.0","168562.0"
"9.0","6.0","CA","CALIFORNIA","1699.0","2930.0","123301.0"
"9.0","42.0","PA","PENNSYLVANIA","1260.0","2083.0","78908.0"
"9.0","44.0","RI","RHODE ISLAND","991.0","1599.0","46355.0"
"9.0","51.0","VA","VIRGINIA","952.0","1859.0","70004.0"
"9.0","37.0","NC","NORTH CAROLINA","898.0","1647.0","49092.0"
"9.0","48.0","TX","TEXAS","884.0","1639.0","61415.0"
"9.0","57.0","FR","Foreign","837.0","1737.0","60532.0"
"9.0","13.0","GA","GEORGIA","775.0","1519.0","46572.0"
"9.0","17.0","IL","ILLINOIS","674.0","1215.0","68134.0"
"9.0","24.0","MD","MARYLAND","595.0","1062.0","37862.0"
"9.0","39.0","OH","OHIO","542.0","998.0","38499.0"
"9.0","33.0","NH","NEW HAMPSHIRE","522.0","804.0","25224.0"
"9.0","45.0","SC","SOUTH CAROLINA","468.0","810.0","16824.0"
"9.0","23.0","ME","MAINE","417.0","649.0","16397.0"
"9.0","26.0","MI","MICHIGAN","390.0","642.0","23694.0"
"9.0","53.0","WA","WASHINGTON","384.0","792.0","26481.0"
"9.0","4.0","AZ","ARIZONA","380.0","644.0","19535.0"
"9.0","8.0","CO","COLORADO","336.0","569.0","19551.0"
"9.0","50.0","VT","VERMONT","328.0","484.0","14453.0"
"9.0","47.0","TN","TENNESSEE","251.0","472.0","13442.0"
"9.0","18.0","IN","INDIANA","242.0","405.0","14864.0"
"9.0","27.0","MN","MINNESOTA","220.0","422.0","37276.0"
"9.0","29.0","MO","MISSOURI","215.0","440.0","18759.0"
"9.0","55.0","WI","WISCONSIN","190.0","361.0","16163.0"
"9.0","32.0","NV","NEVADA","180.0","310.0","7988.0"
"9.0","11.0","DC","DISTRICT OF COLUMBIA","178.0","231.0","10160.0"
"9.0","21.0","KY","KENTUCKY","139.0","260.0","8371.0"
"9.0","15.0","HI","HAWAII","138.0","271.0","5394.0"
"9.0","20.0","KS","KANSAS","128.0","241.0","10919.0"
"9.0","1.0","AL","ALABAMA","127.0","231.0","6970.0"
"9.0","41.0","OR","OREGON","124.0","202.0","6788.0"
"9.0","22.0","LA","LOUISIANA","123.0","207.0","5447.0"
"9.0","49.0","UT","UTAH","123.0","258.0","6342.0"
"9.0","40.0","OK","OKLAHOMA","116.0","205.0","6870.0"
"9.0","19.0","IA","IOWA","111.0","187.0","4619.0"
"9.0","10.0","DE","DELAWARE","99.0","152.0","5091.0"
"9.0","35.0","NM","NEW MEXICO","67.0","111.0","3465.0"
"9.0","31.0","NE","NEBRASKA","66.0","134.0","10303.0"
"9.0","5.0","AR","ARKANSAS","62.0","102.0","3060.0"
"9.0","28.0","MS","MISSISSIPPI","55.0","100.0","2256.0"
"9.0","54.0","WV","WEST VIRGINIA","53.0","97.0","3005.0"
"9.0","2.0","AK","ALASKA","48.0","75.0","1902.0"
"9.0","16.0","ID","IDAHO","47.0","96.0","1696.0"
"9.0","30.0","MT","MONTANA","41.0","58.0","991.0"
"9.0","46.0","SD","SOUTH DAKOTA","25.0","45.0","1560.0"
"9.0","38.0","ND","NORTH DAKOTA","23.0","40.0","714.0"
"9.0","56.0","WY","WYOMING","22.0","31.0","752.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
