"ARIZONA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Arizona (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"4.0","96.0","AZ","AZ Total Mig - US & For","82278.0","166064.0","3470318.0"
"4.0","97.0","AZ","AZ Total Mig - US","80278.0","162164.0","3376771.0"
"4.0","98.0","AZ","AZ Total Mig - Foreign","2000.0","3900.0","93546.0"
"4.0","4.0","AZ","AZ Non-Migrants","2037603.0","4610282.0","108742635.0"
"4.0","6.0","CA","CALIFORNIA","15919.0","31809.0","651760.0"
"4.0","48.0","TX","TEXAS","7244.0","15863.0","329582.0"
"4.0","8.0","CO","COLORADO","4196.0","8472.0","184694.0"
"4.0","53.0","WA","WASHINGTON","3911.0","7926.0","165256.0"
"4.0","35.0","NM","NEW MEXICO","3789.0","9499.0","120522.0"
"4.0","12.0","FL","FLORIDA","3710.0","6162.0","156391.0"
"4.0","32.0","NV","NEVADA","3097.0","6481.0","123546.0"
"4.0","17.0","IL","ILLINOIS","2593.0","4940.0","112705.0"
"4.0","41.0","OR","OREGON","2362.0","4396.0","91095.0"
"4.0","49.0","UT","UTAH","2245.0","5503.0","91048.0"
"4.0","36.0","NY","NEW YORK","2142.0","3522.0","82329.0"
"4.0","57.0","FR","Foreign","2000.0","3900.0","93546.0"
"4.0","26.0","MI","MICHIGAN","1859.0","3332.0","68933.0"
"4.0","39.0","OH","OHIO","1612.0","2991.0","67023.0"
"4.0","37.0","NC","NORTH CAROLINA","1534.0","3221.0","69140.0"
"4.0","51.0","VA","VIRGINIA","1525.0","3178.0","84774.0"
"4.0","27.0","MN","MINNESOTA","1411.0","2556.0","69656.0"
"4.0","13.0","GA","GEORGIA","1410.0","2916.0","62324.0"
"4.0","42.0","PA","PENNSYLVANIA","1382.0","2519.0","60767.0"
"4.0","29.0","MO","MISSOURI","1209.0","2364.0","44421.0"
"4.0","55.0","WI","WISCONSIN","1174.0","2213.0","47611.0"
"4.0","40.0","OK","OKLAHOMA","1057.0","2405.0","36953.0"
"4.0","18.0","IN","INDIANA","1014.0","2011.0","44997.0"
"4.0","16.0","ID","IDAHO","957.0","2226.0","38654.0"
"4.0","47.0","TN","TENNESSEE","894.0","1963.0","37717.0"
"4.0","20.0","KS","KANSAS","838.0","1851.0","33110.0"
"4.0","25.0","MA","MASSACHUSETTS","830.0","1371.0","41709.0"
"4.0","19.0","IA","IOWA","828.0","1610.0","31428.0"
"4.0","24.0","MD","MARYLAND","775.0","1472.0","43304.0"
"4.0","15.0","HI","HAWAII","711.0","1367.0","33319.0"
"4.0","34.0","NJ","NEW JERSEY","707.0","1326.0","39787.0"
"4.0","45.0","SC","SOUTH CAROLINA","603.0","1238.0","29877.0"
"4.0","31.0","NE","NEBRASKA","602.0","1247.0","24599.0"
"4.0","30.0","MT","MONTANA","571.0","1135.0","21083.0"
"4.0","5.0","AR","ARKANSAS","554.0","1208.0","21354.0"
"4.0","2.0","AK","ALASKA","542.0","1035.0","23086.0"
"4.0","1.0","AL","ALABAMA","534.0","1248.0","25581.0"
"4.0","22.0","LA","LOUISIANA","505.0","1046.0","19290.0"
"4.0","21.0","KY","KENTUCKY","480.0","1045.0","18937.0"
"4.0","56.0","WY","WYOMING","469.0","979.0","19066.0"
"4.0","9.0","CT","CONNECTICUT","380.0","644.0","19535.0"
"4.0","46.0","SD","SOUTH DAKOTA","375.0","704.0","15829.0"
"4.0","38.0","ND","NORTH DAKOTA","314.0","575.0","11951.0"
"4.0","28.0","MS","MISSISSIPPI","262.0","583.0","8961.0"
"4.0","23.0","ME","MAINE","224.0","392.0","8073.0"
"4.0","33.0","NH","NEW HAMPSHIRE","208.0","378.0","10723.0"
"4.0","11.0","DC","DISTRICT OF COLUMBIA","201.0","270.0","10481.0"
"4.0","54.0","WV","WEST VIRGINIA","159.0","315.0","6638.0"
"4.0","44.0","RI","RHODE ISLAND","137.0","236.0","6855.0"
"4.0","50.0","VT","VERMONT","126.0","241.0","5942.0"
"4.0","10.0","DE","DELAWARE","97.0","180.0","4356.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
