"SOUTH CAROLINA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into South Carolina (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"45.0","96.0","SC","SC Total Mig - US & For","59536.0","116496.0","2896419.0"
"45.0","97.0","SC","SC Total Mig - US","58319.0","113840.0","2839910.0"
"45.0","98.0","SC","SC Total Mig - Foreign","1217.0","2656.0","56509.0"
"45.0","45.0","SC","SC Non-Migrants","1571378.0","3462511.0","77385387.0"
"45.0","37.0","NC","NORTH CAROLINA","10245.0","20384.0","460910.0"
"45.0","13.0","GA","GEORGIA","6524.0","13407.0","268087.0"
"45.0","12.0","FL","FLORIDA","5322.0","10078.0","223707.0"
"45.0","36.0","NY","NEW YORK","3673.0","6706.0","182835.0"
"45.0","51.0","VA","VIRGINIA","3198.0","6319.0","181165.0"
"45.0","42.0","PA","PENNSYLVANIA","2391.0","4359.0","115631.0"
"45.0","39.0","OH","OHIO","2339.0","4276.0","116282.0"
"45.0","48.0","TX","TEXAS","2102.0","4419.0","108794.0"
"45.0","6.0","CA","CALIFORNIA","1866.0","3573.0","92349.0"
"45.0","34.0","NJ","NEW JERSEY","1815.0","3357.0","111303.0"
"45.0","47.0","TN","TENNESSEE","1580.0","3135.0","72108.0"
"45.0","24.0","MD","MARYLAND","1554.0","2845.0","83160.0"
"45.0","26.0","MI","MICHIGAN","1350.0","2622.0","66938.0"
"45.0","57.0","FR","Foreign","1217.0","2656.0","56509.0"
"45.0","17.0","IL","ILLINOIS","1135.0","2142.0","63387.0"
"45.0","1.0","AL","ALABAMA","938.0","1956.0","45683.0"
"45.0","53.0","WA","WASHINGTON","872.0","1945.0","61469.0"
"45.0","9.0","CT","CONNECTICUT","849.0","1563.0","62384.0"
"45.0","25.0","MA","MASSACHUSETTS","804.0","1437.0","49675.0"
"45.0","21.0","KY","KENTUCKY","773.0","1554.0","39571.0"
"45.0","18.0","IN","INDIANA","763.0","1499.0","36810.0"
"45.0","8.0","CO","COLORADO","626.0","1211.0","27358.0"
"45.0","4.0","AZ","ARIZONA","603.0","1238.0","29877.0"
"45.0","54.0","WV","WEST VIRGINIA","524.0","982.0","21682.0"
"45.0","29.0","MO","MISSOURI","512.0","1055.0","23934.0"
"45.0","22.0","LA","LOUISIANA","472.0","991.0","24939.0"
"45.0","55.0","WI","WISCONSIN","429.0","793.0","22970.0"
"45.0","28.0","MS","MISSISSIPPI","390.0","735.0","15576.0"
"45.0","40.0","OK","OKLAHOMA","352.0","729.0","15271.0"
"45.0","20.0","KS","KANSAS","326.0","752.0","17336.0"
"45.0","33.0","NH","NEW HAMPSHIRE","320.0","545.0","13269.0"
"45.0","32.0","NV","NEVADA","307.0","617.0","19759.0"
"45.0","15.0","HI","HAWAII","306.0","673.0","13284.0"
"45.0","27.0","MN","MINNESOTA","293.0","512.0","18693.0"
"45.0","5.0","AR","ARKANSAS","240.0","490.0","15175.0"
"45.0","19.0","IA","IOWA","226.0","467.0","11752.0"
"45.0","10.0","DE","DELAWARE","222.0","430.0","12566.0"
"45.0","23.0","ME","MAINE","220.0","369.0","12176.0"
"45.0","44.0","RI","RHODE ISLAND","214.0","359.0","9853.0"
"45.0","49.0","UT","UTAH","198.0","484.0","9777.0"
"45.0","41.0","OR","OREGON","195.0","388.0","9328.0"
"45.0","35.0","NM","NEW MEXICO","192.0","401.0","9415.0"
"45.0","2.0","AK","ALASKA","191.0","434.0","7866.0"
"45.0","50.0","VT","VERMONT","156.0","269.0","6658.0"
"45.0","31.0","NE","NEBRASKA","149.0","317.0","7382.0"
"45.0","11.0","DC","DISTRICT OF COLUMBIA","144.0","210.0","6539.0"
"45.0","16.0","ID","IDAHO","106.0","246.0","5031.0"
"45.0","30.0","MT","MONTANA","94.0","181.0","2751.0"
"45.0","46.0","SD","SOUTH DAKOTA","82.0","149.0","2925.0"
"45.0","56.0","WY","WYOMING","75.0","139.0","2301.0"
"45.0","38.0","ND","NORTH DAKOTA","62.0","98.0","2220.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
