"MISSISSIPPI INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Mississippi (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"28.0","96.0","MS","MS Total Mig - US & For","28187.0","57847.0","1031579.0"
"28.0","97.0","MS","MS Total Mig - US","27655.0","56709.0","1012066.0"
"28.0","98.0","MS","MS Total Mig - Foreign","532.0","1138.0","19512.0"
"28.0","28.0","MS","MS Non-Migrants","966891.0","2210136.0","42836257.0"
"28.0","47.0","TN","TENNESSEE","4500.0","9581.0","153004.0"
"28.0","22.0","LA","LOUISIANA","3057.0","6429.0","110955.0"
"28.0","1.0","AL","ALABAMA","2492.0","5292.0","93731.0"
"28.0","48.0","TX","TEXAS","2361.0","4910.0","96532.0"
"28.0","12.0","FL","FLORIDA","2143.0","4217.0","77259.0"
"28.0","13.0","GA","GEORGIA","1623.0","3399.0","53147.0"
"28.0","6.0","CA","CALIFORNIA","1024.0","1946.0","37890.0"
"28.0","17.0","IL","ILLINOIS","938.0","1781.0","32073.0"
"28.0","5.0","AR","ARKANSAS","882.0","1830.0","29691.0"
"28.0","37.0","NC","NORTH CAROLINA","691.0","1401.0","25254.0"
"28.0","51.0","VA","VIRGINIA","617.0","1367.0","33325.0"
"28.0","29.0","MO","MISSOURI","534.0","1112.0","19049.0"
"28.0","57.0","FR","Foreign","532.0","1138.0","19512.0"
"28.0","26.0","MI","MICHIGAN","486.0","969.0","16565.0"
"28.0","39.0","OH","OHIO","469.0","887.0","16905.0"
"28.0","36.0","NY","NEW YORK","413.0","777.0","14310.0"
"28.0","45.0","SC","SOUTH CAROLINA","383.0","812.0","15933.0"
"28.0","8.0","CO","COLORADO","382.0","682.0","12461.0"
"28.0","18.0","IN","INDIANA","358.0","737.0","12104.0"
"28.0","21.0","KY","KENTUCKY","353.0","744.0","14616.0"
"28.0","42.0","PA","PENNSYLVANIA","312.0","578.0","12876.0"
"28.0","40.0","OK","OKLAHOMA","300.0","639.0","12803.0"
"28.0","55.0","WI","WISCONSIN","293.0","614.0","11080.0"
"28.0","4.0","AZ","ARIZONA","262.0","583.0","8961.0"
"28.0","53.0","WA","WASHINGTON","257.0","553.0","8963.0"
"28.0","24.0","MD","MARYLAND","220.0","419.0","8916.0"
"28.0","11.0","DC","DISTRICT OF COLUMBIA","206.0","251.0","6945.0"
"28.0","32.0","NV","NEVADA","189.0","373.0","6260.0"
"28.0","34.0","NJ","NEW JERSEY","188.0","394.0","8511.0"
"28.0","20.0","KS","KANSAS","175.0","359.0","6605.0"
"28.0","19.0","IA","IOWA","168.0","334.0","6164.0"
"28.0","27.0","MN","MINNESOTA","152.0","284.0","4763.0"
"28.0","31.0","NE","NEBRASKA","126.0","259.0","4623.0"
"28.0","35.0","NM","NEW MEXICO","116.0","243.0","5276.0"
"28.0","2.0","AK","ALASKA","102.0","230.0","4643.0"
"28.0","49.0","UT","UTAH","95.0","235.0","2931.0"
"28.0","41.0","OR","OREGON","94.0","170.0","3200.0"
"28.0","25.0","MA","MASSACHUSETTS","92.0","154.0","3168.0"
"28.0","15.0","HI","HAWAII","81.0","196.0","2955.0"
"28.0","54.0","WV","WEST VIRGINIA","72.0","120.0","2553.0"
"28.0","9.0","CT","CONNECTICUT","69.0","131.0","2371.0"
"28.0","16.0","ID","IDAHO","52.0","105.0","1386.0"
"28.0","56.0","WY","WYOMING","50.0","98.0","1389.0"
"28.0","30.0","MT","MONTANA","49.0","95.0","883.0"
"28.0","33.0","NH","NEW HAMPSHIRE","41.0","69.0","2098.0"
"28.0","46.0","SD","SOUTH DAKOTA","39.0","71.0","979.0"
"28.0","38.0","ND","NORTH DAKOTA","38.0","78.0","1530.0"
"28.0","23.0","ME","MAINE","36.0","71.0","1179.0"
"28.0","10.0","DE","DELAWARE","34.0","69.0","2032.0"
"28.0","44.0","RI","RHODE ISLAND","-1.0","-1.0","-1.0"
"28.0","50.0","VT","VERMONT","-1.0","-1.0","-1.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
