"UTAH INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Utah (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"49.0","96.0","UT","UT Total Mig - US & For","27935.0","61312.0","1229299.0"
"49.0","97.0","UT","UT Total Mig - US","27450.0","60220.0","1206142.0"
"49.0","98.0","UT","UT Total Mig - Foreign","485.0","1092.0","23157.0"
"49.0","49.0","UT","UT Non-Migrants","872620.0","2291424.0","48773024.0"
"49.0","6.0","CA","CALIFORNIA","4608.0","10039.0","207669.0"
"49.0","16.0","ID","IDAHO","2298.0","5220.0","73501.0"
"49.0","4.0","AZ","ARIZONA","2245.0","5503.0","91048.0"
"49.0","32.0","NV","NEVADA","2001.0","4599.0","84538.0"
"49.0","8.0","CO","COLORADO","1471.0","3172.0","70305.0"
"49.0","48.0","TX","TEXAS","1467.0","3342.0","75718.0"
"49.0","53.0","WA","WASHINGTON","1385.0","3007.0","59039.0"
"49.0","41.0","OR","OREGON","895.0","1776.0","31886.0"
"49.0","12.0","FL","FLORIDA","860.0","1765.0","38716.0"
"49.0","56.0","WY","WYOMING","805.0","1811.0","33017.0"
"49.0","36.0","NY","NEW YORK","560.0","1006.0","26199.0"
"49.0","51.0","VA","VIRGINIA","524.0","1138.0","29090.0"
"49.0","57.0","FR","Foreign","485.0","1092.0","23157.0"
"49.0","17.0","IL","ILLINOIS","482.0","989.0","24634.0"
"49.0","35.0","NM","NEW MEXICO","464.0","1031.0","15560.0"
"49.0","39.0","OH","OHIO","427.0","820.0","20463.0"
"49.0","13.0","GA","GEORGIA","407.0","929.0","21431.0"
"49.0","42.0","PA","PENNSYLVANIA","393.0","775.0","19340.0"
"49.0","37.0","NC","NORTH CAROLINA","388.0","875.0","16671.0"
"49.0","26.0","MI","MICHIGAN","383.0","773.0","18213.0"
"49.0","30.0","MT","MONTANA","380.0","792.0","13937.0"
"49.0","29.0","MO","MISSOURI","354.0","793.0","13378.0"
"49.0","15.0","HI","HAWAII","334.0","731.0","10410.0"
"49.0","55.0","WI","WISCONSIN","267.0","516.0","12386.0"
"49.0","27.0","MN","MINNESOTA","263.0","550.0","14307.0"
"49.0","25.0","MA","MASSACHUSETTS","261.0","506.0","14546.0"
"49.0","24.0","MD","MARYLAND","253.0","531.0","15499.0"
"49.0","18.0","IN","INDIANA","250.0","533.0","11466.0"
"49.0","34.0","NJ","NEW JERSEY","248.0","565.0","20026.0"
"49.0","2.0","AK","ALASKA","237.0","514.0","11016.0"
"49.0","47.0","TN","TENNESSEE","237.0","546.0","10074.0"
"49.0","20.0","KS","KANSAS","215.0","514.0","8275.0"
"49.0","40.0","OK","OKLAHOMA","212.0","495.0","8779.0"
"49.0","21.0","KY","KENTUCKY","173.0","372.0","7310.0"
"49.0","31.0","NE","NEBRASKA","173.0","430.0","8078.0"
"49.0","45.0","SC","SOUTH CAROLINA","163.0","354.0","9163.0"
"49.0","1.0","AL","ALABAMA","157.0","392.0","7089.0"
"49.0","9.0","CT","CONNECTICUT","140.0","275.0","7124.0"
"49.0","5.0","AR","ARKANSAS","136.0","314.0","5929.0"
"49.0","19.0","IA","IOWA","135.0","313.0","5327.0"
"49.0","22.0","LA","LOUISIANA","135.0","278.0","5517.0"
"49.0","46.0","SD","SOUTH DAKOTA","106.0","235.0","4423.0"
"49.0","38.0","ND","NORTH DAKOTA","91.0","194.0","4115.0"
"49.0","28.0","MS","MISSISSIPPI","90.0","225.0","3997.0"
"49.0","33.0","NH","NEW HAMPSHIRE","80.0","159.0","3318.0"
"49.0","23.0","ME","MAINE","79.0","127.0","2842.0"
"49.0","50.0","VT","VERMONT","63.0","106.0","3141.0"
"49.0","11.0","DC","DISTRICT OF COLUMBIA","42.0","64.0","2083.0"
"49.0","54.0","WV","WEST VIRGINIA","42.0","86.0","1890.0"
"49.0","44.0","RI","RHODE ISLAND","36.0","66.0","1723.0"
"49.0","10.0","DE","DELAWARE","35.0","74.0","1931.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
