"TENNESSEE INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Tennessee (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"47.0","96.0","TN","TN Total Mig - US & For","72883.0","143481.0","3159884.0"
"47.0","97.0","TN","TN Total Mig - US","71924.0","141345.0","3115946.0"
"47.0","98.0","TN","TN Total Mig - Foreign","959.0","2136.0","43938.0"
"47.0","47.0","TN","TN Non-Migrants","2205535.0","4856950.0","111101177.0"
"47.0","12.0","FL","FLORIDA","7280.0","13876.0","298926.0"
"47.0","13.0","GA","GEORGIA","6188.0","12302.0","252733.0"
"47.0","21.0","KY","KENTUCKY","4662.0","9880.0","166229.0"
"47.0","28.0","MS","MISSISSIPPI","4591.0","9243.0","142629.0"
"47.0","48.0","TX","TEXAS","3859.0","7951.0","178916.0"
"47.0","1.0","AL","ALABAMA","3572.0","7073.0","148378.0"
"47.0","37.0","NC","NORTH CAROLINA","3482.0","6860.0","141483.0"
"47.0","51.0","VA","VIRGINIA","3282.0","6514.0","154483.0"
"47.0","6.0","CA","CALIFORNIA","3162.0","6020.0","160223.0"
"47.0","17.0","IL","ILLINOIS","2844.0","5489.0","149051.0"
"47.0","39.0","OH","OHIO","2733.0","5127.0","137349.0"
"47.0","26.0","MI","MICHIGAN","2617.0","4966.0","107122.0"
"47.0","18.0","IN","INDIANA","2104.0","4117.0","91356.0"
"47.0","36.0","NY","NEW YORK","1908.0","3426.0","86418.0"
"47.0","5.0","AR","ARKANSAS","1719.0","3318.0","65162.0"
"47.0","45.0","SC","SOUTH CAROLINA","1617.0","3253.0","72156.0"
"47.0","29.0","MO","MISSOURI","1524.0","2991.0","65453.0"
"47.0","42.0","PA","PENNSYLVANIA","1425.0","2622.0","72070.0"
"47.0","22.0","LA","LOUISIANA","1124.0","2262.0","51657.0"
"47.0","57.0","FR","Foreign","959.0","2136.0","43938.0"
"47.0","24.0","MD","MARYLAND","897.0","1654.0","49226.0"
"47.0","4.0","AZ","ARIZONA","894.0","1963.0","37717.0"
"47.0","8.0","CO","COLORADO","886.0","1689.0","40728.0"
"47.0","55.0","WI","WISCONSIN","812.0","1547.0","36953.0"
"47.0","53.0","WA","WASHINGTON","801.0","1675.0","42909.0"
"47.0","34.0","NJ","NEW JERSEY","786.0","1486.0","43963.0"
"47.0","40.0","OK","OKLAHOMA","645.0","1373.0","22394.0"
"47.0","20.0","KS","KANSAS","601.0","1231.0","24381.0"
"47.0","25.0","MA","MASSACHUSETTS","574.0","965.0","30787.0"
"47.0","27.0","MN","MINNESOTA","515.0","949.0","28922.0"
"47.0","54.0","WV","WEST VIRGINIA","450.0","882.0","19637.0"
"47.0","32.0","NV","NEVADA","437.0","894.0","19909.0"
"47.0","19.0","IA","IOWA","436.0","845.0","20522.0"
"47.0","9.0","CT","CONNECTICUT","396.0","736.0","23446.0"
"47.0","15.0","HI","HAWAII","308.0","684.0","11333.0"
"47.0","35.0","NM","NEW MEXICO","299.0","602.0","15290.0"
"47.0","41.0","OR","OREGON","292.0","571.0","10042.0"
"47.0","49.0","UT","UTAH","292.0","688.0","13861.0"
"47.0","2.0","AK","ALASKA","267.0","616.0","11651.0"
"47.0","31.0","NE","NEBRASKA","239.0","453.0","10307.0"
"47.0","33.0","NH","NEW HAMPSHIRE","189.0","337.0","7100.0"
"47.0","23.0","ME","MAINE","169.0","289.0","7801.0"
"47.0","11.0","DC","DISTRICT OF COLUMBIA","149.0","185.0","8326.0"
"47.0","16.0","ID","IDAHO","144.0","325.0","4872.0"
"47.0","30.0","MT","MONTANA","138.0","248.0","5335.0"
"47.0","56.0","WY","WYOMING","114.0","237.0","4806.0"
"47.0","44.0","RI","RHODE ISLAND","108.0","208.0","4762.0"
"47.0","10.0","DE","DELAWARE","105.0","207.0","6355.0"
"47.0","46.0","SD","SOUTH DAKOTA","98.0","176.0","3839.0"
"47.0","50.0","VT","VERMONT","98.0","161.0","3867.0"
"47.0","38.0","ND","NORTH DAKOTA","92.0","179.0","3112.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
