"ARKANSAS INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Arkansas (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"5.0","96.0","AR","AR Total Mig - US & For","29896.0","61606.0","1166362.0"
"5.0","97.0","AR","AR Total Mig - US","29511.0","60755.0","1147762.0"
"5.0","98.0","AR","AR Total Mig - Foreign","385.0","851.0","18600.0"
"5.0","5.0","AR","AR Non-Migrants","951286.0","2133951.0","45180047.0"
"5.0","48.0","TX","TEXAS","5262.0","10782.0","209384.0"
"5.0","29.0","MO","MISSOURI","3070.0","6646.0","95542.0"
"5.0","40.0","OK","OKLAHOMA","2531.0","5250.0","79931.0"
"5.0","47.0","TN","TENNESSEE","1769.0","3519.0","59457.0"
"5.0","6.0","CA","CALIFORNIA","1767.0","3531.0","65016.0"
"5.0","12.0","FL","FLORIDA","1347.0","2621.0","47003.0"
"5.0","22.0","LA","LOUISIANA","1268.0","2631.0","50392.0"
"5.0","17.0","IL","ILLINOIS","1144.0","2295.0","54398.0"
"5.0","28.0","MS","MISSISSIPPI","994.0","2066.0","34969.0"
"5.0","13.0","GA","GEORGIA","739.0","1522.0","31968.0"
"5.0","20.0","KS","KANSAS","711.0","1536.0","30266.0"
"5.0","37.0","NC","NORTH CAROLINA","568.0","1193.0","25009.0"
"5.0","4.0","AZ","ARIZONA","554.0","1208.0","21354.0"
"5.0","26.0","MI","MICHIGAN","534.0","1099.0","19835.0"
"5.0","8.0","CO","COLORADO","481.0","975.0","19636.0"
"5.0","51.0","VA","VIRGINIA","478.0","997.0","24538.0"
"5.0","1.0","AL","ALABAMA","455.0","972.0","18039.0"
"5.0","39.0","OH","OHIO","449.0","873.0","23540.0"
"5.0","18.0","IN","INDIANA","420.0","826.0","14647.0"
"5.0","36.0","NY","NEW YORK","390.0","772.0","18371.0"
"5.0","57.0","FR","Foreign","385.0","851.0","18600.0"
"5.0","55.0","WI","WISCONSIN","365.0","744.0","15503.0"
"5.0","53.0","WA","WASHINGTON","344.0","714.0","12070.0"
"5.0","19.0","IA","IOWA","312.0","612.0","12771.0"
"5.0","21.0","KY","KENTUCKY","312.0","652.0","13067.0"
"5.0","42.0","PA","PENNSYLVANIA","288.0","576.0","16017.0"
"5.0","32.0","NV","NEVADA","277.0","564.0","10663.0"
"5.0","27.0","MN","MINNESOTA","261.0","538.0","14480.0"
"5.0","45.0","SC","SOUTH CAROLINA","260.0","557.0","12815.0"
"5.0","31.0","NE","NEBRASKA","205.0","424.0","9261.0"
"5.0","34.0","NJ","NEW JERSEY","199.0","405.0","12377.0"
"5.0","35.0","NM","NEW MEXICO","199.0","426.0","8038.0"
"5.0","24.0","MD","MARYLAND","173.0","343.0","8225.0"
"5.0","41.0","OR","OREGON","171.0","362.0","5261.0"
"5.0","49.0","UT","UTAH","157.0","414.0","7077.0"
"5.0","2.0","AK","ALASKA","127.0","269.0","5582.0"
"5.0","25.0","MA","MASSACHUSETTS","116.0","204.0","5431.0"
"5.0","15.0","HI","HAWAII","109.0","230.0","3008.0"
"5.0","56.0","WY","WYOMING","109.0","251.0","5237.0"
"5.0","16.0","ID","IDAHO","105.0","247.0","3384.0"
"5.0","9.0","CT","CONNECTICUT","72.0","137.0","7202.0"
"5.0","46.0","SD","SOUTH DAKOTA","65.0","109.0","2598.0"
"5.0","30.0","MT","MONTANA","61.0","130.0","1797.0"
"5.0","38.0","ND","NORTH DAKOTA","60.0","124.0","2135.0"
"5.0","54.0","WV","WEST VIRGINIA","52.0","99.0","2271.0"
"5.0","23.0","ME","MAINE","45.0","72.0","1341.0"
"5.0","33.0","NH","NEW HAMPSHIRE","35.0","56.0","1552.0"
"5.0","10.0","DE","DELAWARE","28.0","62.0","1770.0"
"5.0","11.0","DC","DISTRICT OF COLUMBIA","28.0","39.0","1516.0"
"5.0","44.0","RI","RHODE ISLAND","28.0","53.0","882.0"
"5.0","50.0","VT","VERMONT","17.0","28.0","1137.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
