"GEORGIA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Georgia (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"13.0","96.0","GA","GA Total Mig - US & For","119880.0","234410.0","5004696.0"
"13.0","97.0","GA","GA Total Mig - US","116870.0","227748.0","4882029.0"
"13.0","98.0","GA","GA Total Mig - Foreign","3010.0","6662.0","122667.0"
"13.0","13.0","GA","GA Non-Migrants","3248903.0","7394885.0","170667651.0"
"13.0","12.0","FL","FLORIDA","19709.0","36699.0","731121.0"
"13.0","1.0","AL","ALABAMA","8309.0","16164.0","278141.0"
"13.0","37.0","NC","NORTH CAROLINA","7071.0","14016.0","297452.0"
"13.0","48.0","TX","TEXAS","6685.0","14322.0","302502.0"
"13.0","45.0","SC","SOUTH CAROLINA","6680.0","13061.0","234389.0"
"13.0","36.0","NY","NEW YORK","6396.0","11829.0","256889.0"
"13.0","47.0","TN","TENNESSEE","5981.0","11723.0","225262.0"
"13.0","6.0","CA","CALIFORNIA","5782.0","11000.0","272202.0"
"13.0","51.0","VA","VIRGINIA","4497.0","9015.0","216750.0"
"13.0","39.0","OH","OHIO","3803.0","7462.0","189516.0"
"13.0","17.0","IL","ILLINOIS","3495.0","6807.0","194408.0"
"13.0","42.0","PA","PENNSYLVANIA","3058.0","5535.0","142525.0"
"13.0","57.0","FR","Foreign","3010.0","6662.0","122667.0"
"13.0","26.0","MI","MICHIGAN","2866.0","5414.0","107547.0"
"13.0","34.0","NJ","NEW JERSEY","2748.0","5409.0","137776.0"
"13.0","24.0","MD","MARYLAND","2375.0","4513.0","116761.0"
"13.0","22.0","LA","LOUISIANA","1999.0","3844.0","67091.0"
"13.0","28.0","MS","MISSISSIPPI","1804.0","3501.0","56623.0"
"13.0","21.0","KY","KENTUCKY","1707.0","3739.0","68995.0"
"13.0","18.0","IN","INDIANA","1692.0","3331.0","64884.0"
"13.0","29.0","MO","MISSOURI","1549.0","3066.0","63686.0"
"13.0","53.0","WA","WASHINGTON","1538.0","3318.0","67421.0"
"13.0","8.0","CO","COLORADO","1463.0","3118.0","71100.0"
"13.0","25.0","MA","MASSACHUSETTS","1440.0","2565.0","72696.0"
"13.0","4.0","AZ","ARIZONA","1410.0","2916.0","62324.0"
"13.0","20.0","KS","KANSAS","1080.0","2562.0","52825.0"
"13.0","9.0","CT","CONNECTICUT","1063.0","2039.0","65676.0"
"13.0","55.0","WI","WISCONSIN","1042.0","1946.0","56213.0"
"13.0","27.0","MN","MINNESOTA","934.0","1811.0","60432.0"
"13.0","40.0","OK","OKLAHOMA","909.0","1883.0","33127.0"
"13.0","5.0","AR","ARKANSAS","832.0","1678.0","35948.0"
"13.0","32.0","NV","NEVADA","717.0","1362.0","26466.0"
"13.0","15.0","HI","HAWAII","618.0","1543.0","24381.0"
"13.0","35.0","NM","NEW MEXICO","498.0","923.0","20994.0"
"13.0","19.0","IA","IOWA","481.0","894.0","19374.0"
"13.0","2.0","AK","ALASKA","472.0","1141.0","19390.0"
"13.0","41.0","OR","OREGON","449.0","763.0","16834.0"
"13.0","49.0","UT","UTAH","423.0","995.0","16270.0"
"13.0","54.0","WV","WEST VIRGINIA","420.0","768.0","15226.0"
"13.0","11.0","DC","DISTRICT OF COLUMBIA","380.0","554.0","19287.0"
"13.0","31.0","NE","NEBRASKA","345.0","659.0","15865.0"
"13.0","33.0","NH","NEW HAMPSHIRE","341.0","608.0","17081.0"
"13.0","10.0","DE","DELAWARE","327.0","620.0","13023.0"
"13.0","23.0","ME","MAINE","296.0","500.0","12326.0"
"13.0","44.0","RI","RHODE ISLAND","276.0","516.0","13767.0"
"13.0","16.0","ID","IDAHO","200.0","406.0","5786.0"
"13.0","30.0","MT","MONTANA","190.0","311.0","5532.0"
"13.0","56.0","WY","WYOMING","144.0","234.0","4385.0"
"13.0","38.0","ND","NORTH DAKOTA","128.0","265.0","4382.0"
"13.0","46.0","SD","SOUTH DAKOTA","127.0","222.0","5016.0"
"13.0","50.0","VT","VERMONT","121.0","178.0","4366.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
