"ALASKA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Alaska (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"2.0","96.0","AK","AK Total Mig - US & For","16570.0","33865.0","769271.0"
"2.0","97.0","AK","AK Total Mig - US","16007.0","32656.0","740963.0"
"2.0","98.0","AK","AK Total Mig - Foreign","563.0","1209.0","28308.0"
"2.0","2.0","AK","AK Non-Migrants","251110.0","528988.0","16544184.0"
"2.0","53.0","WA","WASHINGTON","1835.0","3386.0","80624.0"
"2.0","48.0","TX","TEXAS","1436.0","3446.0","90461.0"
"2.0","6.0","CA","CALIFORNIA","1315.0","2428.0","50635.0"
"2.0","12.0","FL","FLORIDA","883.0","1665.0","35860.0"
"2.0","41.0","OR","OREGON","778.0","1331.0","35309.0"
"2.0","4.0","AZ","ARIZONA","689.0","1356.0","35689.0"
"2.0","8.0","CO","COLORADO","615.0","1268.0","28652.0"
"2.0","57.0","FR","Foreign","563.0","1209.0","28308.0"
"2.0","37.0","NC","NORTH CAROLINA","508.0","1128.0","21340.0"
"2.0","13.0","GA","GEORGIA","472.0","1141.0","19390.0"
"2.0","51.0","VA","VIRGINIA","438.0","1000.0","23654.0"
"2.0","16.0","ID","IDAHO","369.0","739.0","18574.0"
"2.0","32.0","NV","NEVADA","368.0","731.0","17227.0"
"2.0","15.0","HI","HAWAII","357.0","759.0","15082.0"
"2.0","36.0","NY","NEW YORK","328.0","599.0","11659.0"
"2.0","30.0","MT","MONTANA","304.0","546.0","15173.0"
"2.0","29.0","MO","MISSOURI","288.0","678.0","13398.0"
"2.0","26.0","MI","MICHIGAN","286.0","524.0","11967.0"
"2.0","40.0","OK","OKLAHOMA","278.0","676.0","14839.0"
"2.0","35.0","NM","NEW MEXICO","276.0","594.0","15002.0"
"2.0","27.0","MN","MINNESOTA","267.0","448.0","10097.0"
"2.0","47.0","TN","TENNESSEE","267.0","616.0","11651.0"
"2.0","17.0","IL","ILLINOIS","255.0","465.0","10385.0"
"2.0","49.0","UT","UTAH","237.0","514.0","11016.0"
"2.0","1.0","AL","ALABAMA","231.0","578.0","12028.0"
"2.0","39.0","OH","OHIO","221.0","425.0","9477.0"
"2.0","42.0","PA","PENNSYLVANIA","201.0","360.0","9452.0"
"2.0","45.0","SC","SOUTH CAROLINA","191.0","434.0","7866.0"
"2.0","22.0","LA","LOUISIANA","188.0","437.0","8050.0"
"2.0","55.0","WI","WISCONSIN","180.0","298.0","6720.0"
"2.0","24.0","MD","MARYLAND","172.0","385.0","9338.0"
"2.0","21.0","KY","KENTUCKY","170.0","421.0","7031.0"
"2.0","20.0","KS","KANSAS","165.0","431.0","8792.0"
"2.0","38.0","ND","NORTH DAKOTA","138.0","293.0","7005.0"
"2.0","5.0","AR","ARKANSAS","127.0","269.0","5582.0"
"2.0","18.0","IN","INDIANA","121.0","238.0","5014.0"
"2.0","56.0","WY","WYOMING","119.0","228.0","5949.0"
"2.0","25.0","MA","MASSACHUSETTS","102.0","151.0","4273.0"
"2.0","28.0","MS","MISSISSIPPI","102.0","230.0","4643.0"
"2.0","34.0","NJ","NEW JERSEY","99.0","206.0","3852.0"
"2.0","23.0","ME","MAINE","94.0","178.0","4487.0"
"2.0","46.0","SD","SOUTH DAKOTA","87.0","191.0","4429.0"
"2.0","19.0","IA","IOWA","78.0","150.0","2783.0"
"2.0","31.0","NE","NEBRASKA","78.0","177.0","3011.0"
"2.0","54.0","WV","WEST VIRGINIA","61.0","128.0","2904.0"
"2.0","9.0","CT","CONNECTICUT","48.0","75.0","1902.0"
"2.0","33.0","NH","NEW HAMPSHIRE","48.0","74.0","2181.0"
"2.0","11.0","DC","DISTRICT OF COLUMBIA","42.0","57.0","1866.0"
"2.0","50.0","VT","VERMONT","42.0","85.0","2238.0"
"2.0","10.0","DE","DELAWARE","30.0","70.0","1412.0"
"2.0","44.0","RI","RHODE ISLAND","23.0","49.0","991.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
