"ILLINOIS OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Illinois (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"17.0","96.0","IL","IL Total Mig - US & For","119487.0","215596.0","6576331.0"
"17.0","97.0","IL","IL Total Mig - US","116056.0","209921.0","6381579.0"
"17.0","98.0","IL","IL Total Mig - Foreign","3431.0","5675.0","194753.0"
"17.0","17.0","IL","IL Non-Migrants","4808090.0","10618213.0","301246668.0"
"17.0","12.0","FL","FLORIDA","9931.0","16581.0","696968.0"
"17.0","6.0","CA","CALIFORNIA","9619.0","16063.0","600848.0"
"17.0","18.0","IN","INDIANA","9255.0","18555.0","367347.0"
"17.0","48.0","TX","TEXAS","8535.0","17455.0","561402.0"
"17.0","55.0","WI","WISCONSIN","7958.0","14931.0","372280.0"
"17.0","29.0","MO","MISSOURI","7482.0","12963.0","305438.0"
"17.0","19.0","IA","IOWA","4761.0","8636.0","186652.0"
"17.0","26.0","MI","MICHIGAN","4406.0","7780.0","232167.0"
"17.0","36.0","NY","NEW YORK","4299.0","6057.0","283369.0"
"17.0","4.0","AZ","ARIZONA","3970.0","7119.0","214634.0"
"17.0","13.0","GA","GEORGIA","3495.0","6807.0","194408.0"
"17.0","57.0","FR","Foreign","3431.0","5675.0","194753.0"
"17.0","8.0","CO","COLORADO","3186.0","5307.0","163553.0"
"17.0","39.0","OH","OHIO","3159.0","5819.0","189522.0"
"17.0","47.0","TN","TENNESSEE","2844.0","5489.0","149051.0"
"17.0","51.0","VA","VIRGINIA","2672.0","5052.0","154424.0"
"17.0","37.0","NC","NORTH CAROLINA","2618.0","5004.0","159353.0"
"17.0","27.0","MN","MINNESOTA","2583.0","4746.0","140094.0"
"17.0","53.0","WA","WASHINGTON","1996.0","3555.0","114504.0"
"17.0","21.0","KY","KENTUCKY","1920.0","3771.0","82171.0"
"17.0","42.0","PA","PENNSYLVANIA","1888.0","3372.0","131242.0"
"17.0","25.0","MA","MASSACHUSETTS","1565.0","2372.0","113333.0"
"17.0","34.0","NJ","NEW JERSEY","1446.0","2685.0","117264.0"
"17.0","32.0","NV","NEVADA","1316.0","2329.0","64477.0"
"17.0","24.0","MD","MARYLAND","1303.0","2253.0","86914.0"
"17.0","5.0","AR","ARKANSAS","1144.0","2295.0","54398.0"
"17.0","45.0","SC","SOUTH CAROLINA","1135.0","2142.0","63387.0"
"17.0","20.0","KS","KANSAS","991.0","1988.0","49214.0"
"17.0","41.0","OR","OREGON","956.0","1461.0","44204.0"
"17.0","28.0","MS","MISSISSIPPI","938.0","1781.0","32073.0"
"17.0","1.0","AL","ALABAMA","928.0","1846.0","39830.0"
"17.0","22.0","LA","LOUISIANA","842.0","1490.0","36324.0"
"17.0","40.0","OK","OKLAHOMA","796.0","1603.0","35303.0"
"17.0","11.0","DC","DISTRICT OF COLUMBIA","711.0","843.0","39246.0"
"17.0","9.0","CT","CONNECTICUT","674.0","1215.0","68134.0"
"17.0","31.0","NE","NEBRASKA","670.0","1290.0","33860.0"
"17.0","35.0","NM","NEW MEXICO","555.0","980.0","26571.0"
"17.0","15.0","HI","HAWAII","543.0","939.0","21463.0"
"17.0","49.0","UT","UTAH","482.0","989.0","24634.0"
"17.0","2.0","AK","ALASKA","328.0","557.0","12581.0"
"17.0","16.0","ID","IDAHO","266.0","507.0","18584.0"
"17.0","30.0","MT","MONTANA","253.0","389.0","9195.0"
"17.0","46.0","SD","SOUTH DAKOTA","241.0","458.0","11898.0"
"17.0","56.0","WY","WYOMING","223.0","361.0","12135.0"
"17.0","54.0","WV","WEST VIRGINIA","196.0","391.0","9193.0"
"17.0","38.0","ND","NORTH DAKOTA","184.0","330.0","6893.0"
"17.0","23.0","ME","MAINE","181.0","297.0","10216.0"
"17.0","33.0","NH","NEW HAMPSHIRE","177.0","316.0","11413.0"
"17.0","10.0","DE","DELAWARE","167.0","336.0","10040.0"
"17.0","44.0","RI","RHODE ISLAND","148.0","247.0","9971.0"
"17.0","50.0","VT","VERMONT","120.0","169.0","9399.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
