"MARYLAND INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Maryland (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"24.0","96.0","MD","MD Total Mig - US & For","73693.0","132051.0","3715759.0"
"24.0","97.0","MD","MD Total Mig - US","71334.0","126969.0","3595022.0"
"24.0","98.0","MD","MD Total Mig - Foreign","2359.0","5082.0","120737.0"
"24.0","24.0","MD","MD Non-Migrants","2145935.0","4507095.0","149871461.0"
"24.0","51.0","VA","VIRGINIA","10847.0","18993.0","590450.0"
"24.0","11.0","DC","DISTRICT OF COLUMBIA","8466.0","15334.0","459026.0"
"24.0","42.0","PA","PENNSYLVANIA","6724.0","10970.0","310865.0"
"24.0","12.0","FL","FLORIDA","4582.0","8134.0","207166.0"
"24.0","36.0","NY","NEW YORK","4512.0","7505.0","219424.0"
"24.0","6.0","CA","CALIFORNIA","3640.0","6496.0","197047.0"
"24.0","37.0","NC","NORTH CAROLINA","3104.0","5879.0","128513.0"
"24.0","34.0","NJ","NEW JERSEY","3006.0","5243.0","195360.0"
"24.0","48.0","TX","TEXAS","2767.0","5531.0","148005.0"
"24.0","57.0","FR","Foreign","2359.0","5082.0","120737.0"
"24.0","13.0","GA","GEORGIA","2319.0","4434.0","95503.0"
"24.0","10.0","DE","DELAWARE","2164.0","3885.0","87646.0"
"24.0","39.0","OH","OHIO","1531.0","2527.0","74737.0"
"24.0","25.0","MA","MASSACHUSETTS","1337.0","2149.0","76171.0"
"24.0","54.0","WV","WEST VIRGINIA","1337.0","2368.0","49963.0"
"24.0","17.0","IL","ILLINOIS","1320.0","2252.0","76740.0"
"24.0","26.0","MI","MICHIGAN","1164.0","1986.0","56658.0"
"24.0","45.0","SC","SOUTH CAROLINA","1014.0","1802.0","37709.0"
"24.0","47.0","TN","TENNESSEE","872.0","1714.0","42391.0"
"24.0","53.0","WA","WASHINGTON","814.0","1589.0","45877.0"
"24.0","9.0","CT","CONNECTICUT","799.0","1369.0","49203.0"
"24.0","8.0","CO","COLORADO","792.0","1445.0","42027.0"
"24.0","4.0","AZ","ARIZONA","783.0","1437.0","40931.0"
"24.0","29.0","MO","MISSOURI","526.0","977.0","30243.0"
"24.0","18.0","IN","INDIANA","498.0","881.0","23792.0"
"24.0","1.0","AL","ALABAMA","459.0","875.0","20248.0"
"24.0","27.0","MN","MINNESOTA","455.0","771.0","24805.0"
"24.0","15.0","HI","HAWAII","444.0","1034.0","23183.0"
"24.0","55.0","WI","WISCONSIN","423.0","712.0","19930.0"
"24.0","21.0","KY","KENTUCKY","399.0","795.0","18311.0"
"24.0","22.0","LA","LOUISIANA","396.0","736.0","17358.0"
"24.0","32.0","NV","NEVADA","363.0","655.0","16918.0"
"24.0","41.0","OR","OREGON","314.0","574.0","14453.0"
"24.0","20.0","KS","KANSAS","281.0","560.0","17187.0"
"24.0","28.0","MS","MISSISSIPPI","268.0","524.0","11403.0"
"24.0","23.0","ME","MAINE","267.0","495.0","10351.0"
"24.0","40.0","OK","OKLAHOMA","266.0","537.0","12950.0"
"24.0","49.0","UT","UTAH","261.0","553.0","14316.0"
"24.0","44.0","RI","RHODE ISLAND","257.0","408.0","12930.0"
"24.0","35.0","NM","NEW MEXICO","242.0","478.0","16707.0"
"24.0","33.0","NH","NEW HAMPSHIRE","227.0","367.0","11912.0"
"24.0","19.0","IA","IOWA","200.0","338.0","8422.0"
"24.0","5.0","AR","ARKANSAS","173.0","310.0","6880.0"
"24.0","2.0","AK","ALASKA","131.0","296.0","6452.0"
"24.0","31.0","NE","NEBRASKA","125.0","231.0","5838.0"
"24.0","50.0","VT","VERMONT","117.0","179.0","4780.0"
"24.0","16.0","ID","IDAHO","91.0","184.0","3782.0"
"24.0","30.0","MT","MONTANA","85.0","149.0","3616.0"
"24.0","38.0","ND","NORTH DAKOTA","69.0","133.0","2454.0"
"24.0","56.0","WY","WYOMING","58.0","92.0","1558.0"
"24.0","46.0","SD","SOUTH DAKOTA","45.0","83.0","2829.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
