"MICHIGAN INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Michigan (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"26.0","96.0","MI","MI Total Mig - US & For","50947.0","94372.0","2095778.0"
"26.0","97.0","MI","MI Total Mig - US","49753.0","91775.0","2017622.0"
"26.0","98.0","MI","MI Total Mig - Foreign","1194.0","2597.0","78156.0"
"26.0","26.0","MI","MI Non-Migrants","3681829.0","7947031.0","189464370.0"
"26.0","12.0","FL","FLORIDA","5091.0","8811.0","163950.0"
"26.0","39.0","OH","OHIO","4278.0","8042.0","187823.0"
"26.0","17.0","IL","ILLINOIS","3930.0","6730.0","187208.0"
"26.0","18.0","IN","INDIANA","3283.0","6584.0","136839.0"
"26.0","6.0","CA","CALIFORNIA","3243.0","5651.0","150892.0"
"26.0","48.0","TX","TEXAS","2760.0","5397.0","104816.0"
"26.0","55.0","WI","WISCONSIN","1827.0","3332.0","76039.0"
"26.0","36.0","NY","NEW YORK","1801.0","3029.0","82045.0"
"26.0","4.0","AZ","ARIZONA","1726.0","3068.0","59582.0"
"26.0","13.0","GA","GEORGIA","1682.0","3364.0","52171.0"
"26.0","37.0","NC","NORTH CAROLINA","1678.0","3282.0","56726.0"
"26.0","47.0","TN","TENNESSEE","1665.0","3277.0","63197.0"
"26.0","51.0","VA","VIRGINIA","1331.0","2485.0","62484.0"
"26.0","57.0","FR","Foreign","1194.0","2597.0","78156.0"
"26.0","8.0","CO","COLORADO","1101.0","1967.0","45333.0"
"26.0","42.0","PA","PENNSYLVANIA","1057.0","1964.0","59560.0"
"26.0","29.0","MO","MISSOURI","867.0","1700.0","41213.0"
"26.0","32.0","NV","NEVADA","852.0","1587.0","26281.0"
"26.0","21.0","KY","KENTUCKY","826.0","1662.0","29717.0"
"26.0","53.0","WA","WASHINGTON","819.0","1494.0","32666.0"
"26.0","27.0","MN","MINNESOTA","772.0","1380.0","34414.0"
"26.0","45.0","SC","SOUTH CAROLINA","731.0","1403.0","25496.0"
"26.0","1.0","AL","ALABAMA","691.0","1391.0","21065.0"
"26.0","34.0","NJ","NEW JERSEY","649.0","1208.0","39583.0"
"26.0","24.0","MD","MARYLAND","643.0","1192.0","30048.0"
"26.0","25.0","MA","MASSACHUSETTS","593.0","914.0","32505.0"
"26.0","19.0","IA","IOWA","470.0","905.0","20156.0"
"26.0","41.0","OR","OREGON","397.0","688.0","12949.0"
"26.0","22.0","LA","LOUISIANA","393.0","751.0","12463.0"
"26.0","5.0","AR","ARKANSAS","366.0","738.0","11546.0"
"26.0","20.0","KS","KANSAS","347.0","640.0","14749.0"
"26.0","40.0","OK","OKLAHOMA","346.0","682.0","10482.0"
"26.0","28.0","MS","MISSISSIPPI","337.0","672.0","9347.0"
"26.0","9.0","CT","CONNECTICUT","329.0","577.0","18999.0"
"26.0","56.0","WY","WYOMING","309.0","564.0","7975.0"
"26.0","49.0","UT","UTAH","296.0","636.0","12116.0"
"26.0","15.0","HI","HAWAII","256.0","444.0","8557.0"
"26.0","35.0","NM","NEW MEXICO","255.0","444.0","8674.0"
"26.0","2.0","AK","ALASKA","218.0","411.0","7800.0"
"26.0","31.0","NE","NEBRASKA","196.0","358.0","7445.0"
"26.0","30.0","MT","MONTANA","182.0","309.0","4481.0"
"26.0","11.0","DC","DISTRICT OF COLUMBIA","175.0","208.0","8104.0"
"26.0","54.0","WV","WEST VIRGINIA","172.0","363.0","7128.0"
"26.0","33.0","NH","NEW HAMPSHIRE","146.0","274.0","7806.0"
"26.0","16.0","ID","IDAHO","125.0","232.0","3942.0"
"26.0","23.0","ME","MAINE","112.0","207.0","4398.0"
"26.0","46.0","SD","SOUTH DAKOTA","105.0","183.0","3454.0"
"26.0","38.0","ND","NORTH DAKOTA","89.0","161.0","2758.0"
"26.0","50.0","VT","VERMONT","87.0","147.0","3340.0"
"26.0","10.0","DE","DELAWARE","76.0","142.0","4291.0"
"26.0","44.0","RI","RHODE ISLAND","73.0","125.0","3009.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
