"VIRGINIA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Virginia (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"51.0","96.0","VA","VA Total Mig - US & For","119714.0","229801.0","6243011.0"
"51.0","97.0","VA","VA Total Mig - US","113099.0","214761.0","5850485.0"
"51.0","98.0","VA","VA Total Mig - Foreign","6615.0","15040.0","392526.0"
"51.0","51.0","VA","VA Non-Migrants","2903069.0","6198312.0","193065429.0"
"51.0","24.0","MD","MARYLAND","12592.0","22417.0","684091.0"
"51.0","37.0","NC","NORTH CAROLINA","9745.0","19511.0","405613.0"
"51.0","12.0","FL","FLORIDA","9195.0","17548.0","424965.0"
"51.0","6.0","CA","CALIFORNIA","7111.0","14051.0","408834.0"
"51.0","36.0","NY","NEW YORK","6972.0","11954.0","338386.0"
"51.0","57.0","FR","Foreign","6615.0","15040.0","392526.0"
"51.0","48.0","TX","TEXAS","5823.0","12476.0","308381.0"
"51.0","42.0","PA","PENNSYLVANIA","5792.0","9500.0","278326.0"
"51.0","11.0","DC","DISTRICT OF COLUMBIA","4756.0","7030.0","430529.0"
"51.0","13.0","GA","GEORGIA","4483.0","9321.0","209933.0"
"51.0","34.0","NJ","NEW JERSEY","3591.0","6389.0","207374.0"
"51.0","39.0","OH","OHIO","3178.0","5818.0","150117.0"
"51.0","47.0","TN","TENNESSEE","3156.0","6428.0","134665.0"
"51.0","45.0","SC","SOUTH CAROLINA","3000.0","5823.0","126076.0"
"51.0","17.0","IL","ILLINOIS","2797.0","5125.0","152082.0"
"51.0","26.0","MI","MICHIGAN","2343.0","4414.0","112588.0"
"51.0","54.0","WV","WEST VIRGINIA","2202.0","4142.0","85026.0"
"51.0","25.0","MA","MASSACHUSETTS","2141.0","3523.0","124604.0"
"51.0","53.0","WA","WASHINGTON","1711.0","3731.0","97476.0"
"51.0","8.0","CO","COLORADO","1691.0","3439.0","96303.0"
"51.0","4.0","AZ","ARIZONA","1526.0","3007.0","85072.0"
"51.0","9.0","CT","CONNECTICUT","1378.0","2429.0","85913.0"
"51.0","18.0","IN","INDIANA","1217.0","2290.0","53455.0"
"51.0","1.0","AL","ALABAMA","1179.0","2503.0","62589.0"
"51.0","21.0","KY","KENTUCKY","1154.0","2352.0","50618.0"
"51.0","29.0","MO","MISSOURI","1098.0","2166.0","57577.0"
"51.0","15.0","HI","HAWAII","1073.0","2742.0","59507.0"
"51.0","22.0","LA","LOUISIANA","1034.0","2150.0","53293.0"
"51.0","55.0","WI","WISCONSIN","771.0","1398.0","37369.0"
"51.0","28.0","MS","MISSISSIPPI","756.0","1573.0","31928.0"
"51.0","27.0","MN","MINNESOTA","749.0","1358.0","42922.0"
"51.0","20.0","KS","KANSAS","748.0","1760.0","41579.0"
"51.0","32.0","NV","NEVADA","721.0","1475.0","36406.0"
"51.0","40.0","OK","OKLAHOMA","668.0","1475.0","33252.0"
"51.0","49.0","UT","UTAH","633.0","1451.0","27857.0"
"51.0","10.0","DE","DELAWARE","609.0","1083.0","30200.0"
"51.0","23.0","ME","MAINE","592.0","1080.0","26330.0"
"51.0","41.0","OR","OREGON","566.0","1002.0","23878.0"
"51.0","33.0","NH","NEW HAMPSHIRE","526.0","966.0","28115.0"
"51.0","44.0","RI","RHODE ISLAND","524.0","1150.0","30690.0"
"51.0","35.0","NM","NEW MEXICO","481.0","1014.0","32007.0"
"51.0","19.0","IA","IOWA","452.0","842.0","23564.0"
"51.0","5.0","AR","ARKANSAS","429.0","868.0","23398.0"
"51.0","2.0","AK","ALASKA","384.0","891.0","18699.0"
"51.0","31.0","NE","NEBRASKA","373.0","766.0","19593.0"
"51.0","16.0","ID","IDAHO","319.0","717.0","21205.0"
"51.0","50.0","VT","VERMONT","263.0","438.0","12004.0"
"51.0","30.0","MT","MONTANA","182.0","355.0","7823.0"
"51.0","56.0","WY","WYOMING","142.0","283.0","6322.0"
"51.0","46.0","SD","SOUTH DAKOTA","141.0","258.0","5813.0"
"51.0","38.0","ND","NORTH DAKOTA","132.0","279.0","6139.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
