"CONNECTICUT INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Connecticut (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"9.0","96.0","CT","CT Total Mig - US & For","32415.0","56130.0","2134638.0"
"9.0","97.0","CT","CT Total Mig - US","31561.0","54324.0","2038822.0"
"9.0","98.0","CT","CT Total Mig - Foreign","854.0","1806.0","95816.0"
"9.0","9.0","CT","CT Non-Migrants","1348693.0","2789649.0","101699729.0"
"9.0","36.0","NY","NEW YORK","8767.0","15468.0","756704.0"
"9.0","25.0","MA","MASSACHUSETTS","3607.0","5602.0","193241.0"
"9.0","12.0","FL","FLORIDA","2850.0","4923.0","110567.0"
"9.0","34.0","NJ","NEW JERSEY","1644.0","2996.0","149864.0"
"9.0","6.0","CA","CALIFORNIA","1616.0","2734.0","116880.0"
"9.0","42.0","PA","PENNSYLVANIA","1165.0","1913.0","64332.0"
"9.0","44.0","RI","RHODE ISLAND","1074.0","1714.0","50674.0"
"9.0","51.0","VA","VIRGINIA","865.0","1609.0","48116.0"
"9.0","37.0","NC","NORTH CAROLINA","861.0","1536.0","42989.0"
"9.0","57.0","FR","Foreign","854.0","1806.0","95816.0"
"9.0","48.0","TX","TEXAS","787.0","1429.0","56198.0"
"9.0","13.0","GA","GEORGIA","661.0","1282.0","35923.0"
"9.0","17.0","IL","ILLINOIS","598.0","1045.0","49686.0"
"9.0","39.0","OH","OHIO","492.0","841.0","40884.0"
"9.0","24.0","MD","MARYLAND","491.0","862.0","27962.0"
"9.0","33.0","NH","NEW HAMPSHIRE","481.0","736.0","23640.0"
"9.0","45.0","SC","SOUTH CAROLINA","463.0","865.0","14909.0"
"9.0","23.0","ME","MAINE","413.0","650.0","15252.0"
"9.0","26.0","MI","MICHIGAN","406.0","719.0","25225.0"
"9.0","4.0","AZ","ARIZONA","378.0","592.0","16573.0"
"9.0","53.0","WA","WASHINGTON","334.0","691.0","19201.0"
"9.0","8.0","CO","COLORADO","329.0","495.0","15909.0"
"9.0","50.0","VT","VERMONT","284.0","423.0","12193.0"
"9.0","18.0","IN","INDIANA","230.0","408.0","13774.0"
"9.0","47.0","TN","TENNESSEE","216.0","419.0","10178.0"
"9.0","27.0","MN","MINNESOTA","203.0","350.0","16222.0"
"9.0","55.0","WI","WISCONSIN","199.0","355.0","12829.0"
"9.0","29.0","MO","MISSOURI","186.0","322.0","12724.0"
"9.0","11.0","DC","DISTRICT OF COLUMBIA","179.0","226.0","12006.0"
"9.0","32.0","NV","NEVADA","163.0","279.0","7835.0"
"9.0","19.0","IA","IOWA","140.0","220.0","5102.0"
"9.0","41.0","OR","OREGON","136.0","228.0","4735.0"
"9.0","15.0","HI","HAWAII","133.0","282.0","5764.0"
"9.0","1.0","AL","ALABAMA","123.0","224.0","5008.0"
"9.0","21.0","KY","KENTUCKY","121.0","205.0","5026.0"
"9.0","49.0","UT","UTAH","120.0","254.0","3901.0"
"9.0","22.0","LA","LOUISIANA","111.0","184.0","4284.0"
"9.0","10.0","DE","DELAWARE","100.0","160.0","4066.0"
"9.0","35.0","NM","NEW MEXICO","87.0","137.0","4252.0"
"9.0","40.0","OK","OKLAHOMA","77.0","130.0","3584.0"
"9.0","20.0","KS","KANSAS","73.0","141.0","3577.0"
"9.0","28.0","MS","MISSISSIPPI","68.0","123.0","2105.0"
"9.0","31.0","NE","NEBRASKA","62.0","111.0","3027.0"
"9.0","54.0","WV","WEST VIRGINIA","57.0","94.0","2691.0"
"9.0","5.0","AR","ARKANSAS","45.0","75.0","2390.0"
"9.0","2.0","AK","ALASKA","42.0","65.0","1631.0"
"9.0","16.0","ID","IDAHO","36.0","70.0","2519.0"
"9.0","30.0","MT","MONTANA","30.0","43.0","769.0"
"9.0","56.0","WY","WYOMING","26.0","42.0","957.0"
"9.0","46.0","SD","SOUTH DAKOTA","23.0","37.0","728.0"
"9.0","38.0","ND","NORTH DAKOTA","d","d","d"
"d - Data has been suppressed to prevent disclosure.","","","","","",""
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
