"TEXAS INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Texas (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"48.0","96.0","TX","TX Total Mig - US & For","212740.0","439456.0","9831395.0"
"48.0","97.0","TX","TX Total Mig - US","204851.0","421684.0","9385698.0"
"48.0","98.0","TX","TX Total Mig - Foreign","7889.0","17772.0","445697.0"
"48.0","48.0","TX","TX Non-Migrants","8198563.0","19011187.0","437066323.0"
"48.0","6.0","CA","CALIFORNIA","23626.0","48877.0","1162082.0"
"48.0","12.0","FL","FLORIDA","14929.0","29981.0","590882.0"
"48.0","22.0","LA","LOUISIANA","10475.0","21288.0","442959.0"
"48.0","40.0","OK","OKLAHOMA","9144.0","18447.0","405890.0"
"48.0","17.0","IL","ILLINOIS","8288.0","16853.0","418569.0"
"48.0","57.0","FR","Foreign","7889.0","17772.0","445697.0"
"48.0","13.0","GA","GEORGIA","7857.0","17570.0","344288.0"
"48.0","36.0","NY","NEW YORK","7616.0","13886.0","402808.0"
"48.0","8.0","CO","COLORADO","7141.0","14962.0","346473.0"
"48.0","4.0","AZ","ARIZONA","6965.0","15131.0","292854.0"
"48.0","51.0","VA","VIRGINIA","6664.0","14279.0","391765.0"
"48.0","35.0","NM","NEW MEXICO","6215.0","13341.0","236433.0"
"48.0","26.0","MI","MICHIGAN","6137.0","12471.0","273180.0"
"48.0","37.0","NC","NORTH CAROLINA","6068.0","13410.0","251766.0"
"48.0","5.0","AR","ARKANSAS","5514.0","11317.0","208297.0"
"48.0","39.0","OH","OHIO","5279.0","10071.0","257893.0"
"48.0","29.0","MO","MISSOURI","5086.0","10200.0","228186.0"
"48.0","53.0","WA","WASHINGTON","5076.0","10558.0","231443.0"
"48.0","47.0","TN","TENNESSEE","4477.0","9385.0","190327.0"
"48.0","20.0","KS","KANSAS","4243.0","9176.0","185024.0"
"48.0","42.0","PA","PENNSYLVANIA","3901.0","7258.0","200573.0"
"48.0","32.0","NV","NEVADA","3457.0","7245.0","139002.0"
"48.0","18.0","IN","INDIANA","3408.0","7035.0","134801.0"
"48.0","1.0","AL","ALABAMA","3180.0","6730.0","138898.0"
"48.0","34.0","NJ","NEW JERSEY","3099.0","6145.0","199010.0"
"48.0","24.0","MD","MARYLAND","3086.0","6391.0","173187.0"
"48.0","28.0","MS","MISSISSIPPI","2976.0","6306.0","110127.0"
"48.0","27.0","MN","MINNESOTA","2809.0","5731.0","119533.0"
"48.0","55.0","WI","WISCONSIN","2716.0","5352.0","122728.0"
"48.0","45.0","SC","SOUTH CAROLINA","2483.0","5195.0","102873.0"
"48.0","25.0","MA","MASSACHUSETTS","2349.0","4200.0","135744.0"
"48.0","21.0","KY","KENTUCKY","2241.0","4912.0","96216.0"
"48.0","19.0","IA","IOWA","2014.0","3918.0","79968.0"
"48.0","49.0","UT","UTAH","2010.0","4850.0","82776.0"
"48.0","41.0","OR","OREGON","1958.0","3918.0","85803.0"
"48.0","15.0","HI","HAWAII","1751.0","3922.0","65683.0"
"48.0","31.0","NE","NEBRASKA","1645.0","3446.0","76632.0"
"48.0","9.0","CT","CONNECTICUT","1277.0","2504.0","93697.0"
"48.0","2.0","AK","ALASKA","1124.0","2580.0","62079.0"
"48.0","16.0","ID","IDAHO","943.0","2181.0","29005.0"
"48.0","56.0","WY","WYOMING","765.0","1641.0","37425.0"
"48.0","30.0","MT","MONTANA","613.0","1174.0","22736.0"
"48.0","46.0","SD","SOUTH DAKOTA","607.0","1203.0","22521.0"
"48.0","33.0","NH","NEW HAMPSHIRE","557.0","993.0","34474.0"
"48.0","23.0","ME","MAINE","538.0","943.0","18679.0"
"48.0","11.0","DC","DISTRICT OF COLUMBIA","526.0","749.0","36699.0"
"48.0","38.0","ND","NORTH DAKOTA","484.0","996.0","18617.0"
"48.0","54.0","WV","WEST VIRGINIA","483.0","904.0","21815.0"
"48.0","10.0","DE","DELAWARE","415.0","874.0","19591.0"
"48.0","44.0","RI","RHODE ISLAND","399.0","761.0","18144.0"
"48.0","50.0","VT","VERMONT","237.0","424.0","25543.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
