"NORTH DAKOTA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into North Dakota (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"38.0","96.0","ND","ND Total Mig - US & For","11286.0","20333.0","398307.0"
"38.0","97.0","ND","ND Total Mig - US","10937.0","19524.0","385434.0"
"38.0","98.0","ND","ND Total Mig - Foreign","349.0","809.0","12873.0"
"38.0","38.0","ND","ND Non-Migrants","258203.0","534299.0","14653419.0"
"38.0","27.0","MN","MINNESOTA","3579.0","5627.0","115750.0"
"38.0","46.0","SD","SOUTH DAKOTA","672.0","1225.0","21263.0"
"38.0","30.0","MT","MONTANA","526.0","930.0","17730.0"
"38.0","48.0","TX","TEXAS","461.0","926.0","17028.0"
"38.0","6.0","CA","CALIFORNIA","454.0","816.0","14254.0"
"38.0","8.0","CO","COLORADO","416.0","758.0","17157.0"
"38.0","57.0","FR","Foreign","349.0","809.0","12873.0"
"38.0","12.0","FL","FLORIDA","319.0","577.0","9917.0"
"38.0","4.0","AZ","ARIZONA","307.0","545.0","11187.0"
"38.0","53.0","WA","WASHINGTON","290.0","542.0","9875.0"
"38.0","56.0","WY","WYOMING","284.0","580.0","13889.0"
"38.0","55.0","WI","WISCONSIN","282.0","498.0","9864.0"
"38.0","26.0","MI","MICHIGAN","215.0","400.0","8017.0"
"38.0","17.0","IL","ILLINOIS","195.0","365.0","7093.0"
"38.0","31.0","NE","NEBRASKA","177.0","368.0","7890.0"
"38.0","32.0","NV","NEVADA","165.0","319.0","5796.0"
"38.0","19.0","IA","IOWA","164.0","323.0","6209.0"
"38.0","39.0","OH","OHIO","161.0","286.0","4654.0"
"38.0","29.0","MO","MISSOURI","135.0","265.0","5522.0"
"38.0","37.0","NC","NORTH CAROLINA","134.0","298.0","4919.0"
"38.0","16.0","ID","IDAHO","126.0","282.0","4480.0"
"38.0","41.0","OR","OREGON","124.0","216.0","3488.0"
"38.0","13.0","GA","GEORGIA","121.0","241.0","3855.0"
"38.0","51.0","VA","VIRGINIA","120.0","256.0","5651.0"
"38.0","2.0","AK","ALASKA","109.0","222.0","5634.0"
"38.0","22.0","LA","LOUISIANA","107.0","210.0","5309.0"
"38.0","49.0","UT","UTAH","107.0","238.0","4899.0"
"38.0","36.0","NY","NEW YORK","106.0","189.0","4874.0"
"38.0","42.0","PA","PENNSYLVANIA","105.0","170.0","3712.0"
"38.0","40.0","OK","OKLAHOMA","104.0","204.0","4265.0"
"38.0","18.0","IN","INDIANA","96.0","178.0","3012.0"
"38.0","20.0","KS","KANSAS","92.0","174.0","3435.0"
"38.0","47.0","TN","TENNESSEE","86.0","154.0","2318.0"
"38.0","35.0","NM","NEW MEXICO","67.0","134.0","2733.0"
"38.0","24.0","MD","MARYLAND","59.0","114.0","2924.0"
"38.0","5.0","AR","ARKANSAS","54.0","110.0","1661.0"
"38.0","1.0","AL","ALABAMA","52.0","97.0","1430.0"
"38.0","28.0","MS","MISSISSIPPI","48.0","99.0","1805.0"
"38.0","45.0","SC","SOUTH CAROLINA","47.0","91.0","1443.0"
"38.0","15.0","HI","HAWAII","46.0","103.0","1478.0"
"38.0","34.0","NJ","NEW JERSEY","43.0","77.0","2396.0"
"38.0","25.0","MA","MASSACHUSETTS","36.0","53.0","1015.0"
"38.0","21.0","KY","KENTUCKY","35.0","51.0","866.0"
"38.0","23.0","ME","MAINE","22.0","43.0","733.0"
"38.0","54.0","WV","WEST VIRGINIA","21.0","34.0","735.0"
"38.0","9.0","CT","CONNECTICUT","20.0","34.0","599.0"
"38.0","33.0","NH","NEW HAMPSHIRE","15.0","28.0","930.0"
"38.0","10.0","DE","DELAWARE","14.0","33.0","745.0"
"38.0","11.0","DC","DISTRICT OF COLUMBIA","d","d","d"
"38.0","50.0","VT","VERMONT","d","d","d"
"38.0","44.0","RI","RHODE ISLAND","d","d","d"
"d - Data has been suppressed to prevent disclosure.","","","","","",""
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
