"SOUTH DAKOTA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into South Dakota (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"46.0","96.0","SD","SD Total Mig - US & For","11753.0","21861.0","481669.0"
"46.0","97.0","SD","SD Total Mig - US","11511.0","21355.0","472209.0"
"46.0","98.0","SD","SD Total Mig - Foreign","242.0","506.0","9460.0"
"46.0","46.0","SD","SD Non-Migrants","307893.0","658648.0","15974402.0"
"46.0","27.0","MN","MINNESOTA","1751.0","2951.0","63508.0"
"46.0","19.0","IA","IOWA","1083.0","1959.0","53115.0"
"46.0","31.0","NE","NEBRASKA","808.0","1515.0","32504.0"
"46.0","6.0","CA","CALIFORNIA","640.0","1216.0","26390.0"
"46.0","38.0","ND","NORTH DAKOTA","616.0","1183.0","30021.0"
"46.0","8.0","CO","COLORADO","564.0","1054.0","23365.0"
"46.0","48.0","TX","TEXAS","540.0","1086.0","22214.0"
"46.0","56.0","WY","WYOMING","538.0","970.0","18983.0"
"46.0","4.0","AZ","ARIZONA","427.0","776.0","17828.0"
"46.0","12.0","FL","FLORIDA","377.0","629.0","11604.0"
"46.0","53.0","WA","WASHINGTON","298.0","561.0","11790.0"
"46.0","55.0","WI","WISCONSIN","270.0","491.0","10868.0"
"46.0","30.0","MT","MONTANA","255.0","498.0","9435.0"
"46.0","57.0","FR","Foreign","242.0","506.0","9460.0"
"46.0","17.0","IL","ILLINOIS","231.0","422.0","10847.0"
"46.0","29.0","MO","MISSOURI","214.0","408.0","10505.0"
"46.0","32.0","NV","NEVADA","194.0","343.0","6290.0"
"46.0","20.0","KS","KANSAS","192.0","386.0","8672.0"
"46.0","26.0","MI","MICHIGAN","171.0","345.0","7175.0"
"46.0","39.0","OH","OHIO","167.0","295.0","8959.0"
"46.0","41.0","OR","OREGON","150.0","260.0","4479.0"
"46.0","13.0","GA","GEORGIA","139.0","256.0","4983.0"
"46.0","36.0","NY","NEW YORK","138.0","253.0","5992.0"
"46.0","18.0","IN","INDIANA","135.0","291.0","5030.0"
"46.0","51.0","VA","VIRGINIA","122.0","237.0","5858.0"
"46.0","2.0","AK","ALASKA","107.0","199.0","5704.0"
"46.0","37.0","NC","NORTH CAROLINA","107.0","223.0","4199.0"
"46.0","49.0","UT","UTAH","107.0","240.0","3783.0"
"46.0","16.0","ID","IDAHO","106.0","225.0","3848.0"
"46.0","47.0","TN","TENNESSEE","106.0","207.0","3623.0"
"46.0","42.0","PA","PENNSYLVANIA","104.0","181.0","3506.0"
"46.0","40.0","OK","OKLAHOMA","101.0","211.0","3908.0"
"46.0","35.0","NM","NEW MEXICO","96.0","199.0","4206.0"
"46.0","21.0","KY","KENTUCKY","70.0","137.0","3154.0"
"46.0","24.0","MD","MARYLAND","68.0","137.0","3633.0"
"46.0","1.0","AL","ALABAMA","64.0","122.0","3217.0"
"46.0","5.0","AR","ARKANSAS","63.0","134.0","2990.0"
"46.0","45.0","SC","SOUTH CAROLINA","57.0","116.0","2149.0"
"46.0","15.0","HI","HAWAII","48.0","98.0","2026.0"
"46.0","28.0","MS","MISSISSIPPI","45.0","80.0","1348.0"
"46.0","34.0","NJ","NEW JERSEY","38.0","74.0","1247.0"
"46.0","25.0","MA","MASSACHUSETTS","37.0","74.0","2136.0"
"46.0","22.0","LA","LOUISIANA","35.0","75.0","1052.0"
"46.0","9.0","CT","CONNECTICUT","26.0","44.0","1666.0"
"46.0","33.0","NH","NEW HAMPSHIRE","24.0","44.0","736.0"
"46.0","23.0","ME","MAINE","22.0","39.0","917.0"
"46.0","11.0","DC","DISTRICT OF COLUMBIA","17.0","25.0","1022.0"
"46.0","54.0","WV","WEST VIRGINIA","13.0","22.0","370.0"
"46.0","50.0","VT","VERMONT","12.0","18.0","422.0"
"46.0","10.0","DE","DELAWARE","11.0","31.0","492.0"
"46.0","44.0","RI","RHODE ISLAND","d","d","d"
"d - Data has been suppressed to prevent disclosure.","","","","","",""
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
