"IDAHO INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Idaho (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"16.0","96.0","ID","ID Total Mig - US & For","20306.0","42397.0","797033.0"
"16.0","97.0","ID","ID Total Mig - US","19947.0","41624.0","781341.0"
"16.0","98.0","ID","ID Total Mig - Foreign","359.0","773.0","15692.0"
"16.0","16.0","ID","ID Non-Migrants","517395.0","1216227.0","24265614.0"
"16.0","53.0","WA","WASHINGTON","3553.0","6967.0","125307.0"
"16.0","6.0","CA","CALIFORNIA","3265.0","6735.0","139570.0"
"16.0","49.0","UT","UTAH","1879.0","4548.0","61800.0"
"16.0","41.0","OR","OREGON","1808.0","3663.0","64133.0"
"16.0","32.0","NV","NEVADA","924.0","2005.0","34692.0"
"16.0","4.0","AZ","ARIZONA","892.0","2017.0","31674.0"
"16.0","48.0","TX","TEXAS","746.0","1639.0","31177.0"
"16.0","30.0","MT","MONTANA","713.0","1408.0","22018.0"
"16.0","8.0","CO","COLORADO","646.0","1362.0","37774.0"
"16.0","56.0","WY","WYOMING","522.0","1070.0","19158.0"
"16.0","12.0","FL","FLORIDA","396.0","770.0","12626.0"
"16.0","57.0","FR","Foreign","359.0","773.0","15692.0"
"16.0","2.0","AK","ALASKA","357.0","718.0","19924.0"
"16.0","37.0","NC","NORTH CAROLINA","247.0","565.0","11468.0"
"16.0","51.0","VA","VIRGINIA","240.0","499.0","14695.0"
"16.0","17.0","IL","ILLINOIS","208.0","393.0","12320.0"
"16.0","26.0","MI","MICHIGAN","200.0","377.0","8101.0"
"16.0","36.0","NY","NEW YORK","195.0","334.0","6811.0"
"16.0","27.0","MN","MINNESOTA","191.0","359.0","7772.0"
"16.0","13.0","GA","GEORGIA","190.0","427.0","8822.0"
"16.0","29.0","MO","MISSOURI","173.0","383.0","7428.0"
"16.0","42.0","PA","PENNSYLVANIA","167.0","350.0","7996.0"
"16.0","39.0","OH","OHIO","166.0","373.0","5849.0"
"16.0","35.0","NM","NEW MEXICO","157.0","327.0","8449.0"
"16.0","40.0","OK","OKLAHOMA","153.0","305.0","4364.0"
"16.0","15.0","HI","HAWAII","148.0","297.0","4827.0"
"16.0","55.0","WI","WISCONSIN","147.0","283.0","5362.0"
"16.0","18.0","IN","INDIANA","137.0","297.0","5071.0"
"16.0","47.0","TN","TENNESSEE","124.0","266.0","5058.0"
"16.0","20.0","KS","KANSAS","123.0","273.0","4375.0"
"16.0","31.0","NE","NEBRASKA","117.0","288.0","4036.0"
"16.0","46.0","SD","SOUTH DAKOTA","110.0","221.0","7004.0"
"16.0","19.0","IA","IOWA","108.0","244.0","4484.0"
"16.0","38.0","ND","NORTH DAKOTA","93.0","168.0","3606.0"
"16.0","21.0","KY","KENTUCKY","81.0","168.0","2785.0"
"16.0","24.0","MD","MARYLAND","77.0","156.0","4523.0"
"16.0","25.0","MA","MASSACHUSETTS","76.0","141.0","2323.0"
"16.0","34.0","NJ","NEW JERSEY","76.0","134.0","3658.0"
"16.0","22.0","LA","LOUISIANA","72.0","141.0","2616.0"
"16.0","45.0","SC","SOUTH CAROLINA","72.0","162.0","2757.0"
"16.0","5.0","AR","ARKANSAS","66.0","150.0","1600.0"
"16.0","1.0","AL","ALABAMA","60.0","143.0","2132.0"
"16.0","28.0","MS","MISSISSIPPI","51.0","100.0","1742.0"
"16.0","23.0","ME","MAINE","43.0","76.0","1742.0"
"16.0","9.0","CT","CONNECTICUT","39.0","66.0","1514.0"
"16.0","33.0","NH","NEW HAMPSHIRE","34.0","53.0","1175.0"
"16.0","54.0","WV","WEST VIRGINIA","32.0","63.0","1165.0"
"16.0","50.0","VT","VERMONT","23.0","43.0","1098.0"
"16.0","44.0","RI","RHODE ISLAND","22.0","48.0","1096.0"
"16.0","11.0","DC","DISTRICT OF COLUMBIA","17.0","22.0","1121.0"
"16.0","10.0","DE","DELAWARE","11.0","27.0","542.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
