"ILLINOIS INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Illinois (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"17.0","96.0","IL","IL Total Mig - US & For","90489.0","159673.0","4114954.0"
"17.0","97.0","IL","IL Total Mig - US","88260.0","155553.0","4002288.0"
"17.0","98.0","IL","IL Total Mig - Foreign","2229.0","4120.0","112666.0"
"17.0","17.0","IL","IL Non-Migrants","4826865.0","10626804.0","290425561.0"
"17.0","18.0","IN","INDIANA","7641.0","14389.0","281296.0"
"17.0","6.0","CA","CALIFORNIA","6827.0","11775.0","354212.0"
"17.0","55.0","WI","WISCONSIN","6218.0","10920.0","281153.0"
"17.0","29.0","MO","MISSOURI","5949.0","10378.0","226055.0"
"17.0","12.0","FL","FLORIDA","5881.0","10041.0","234436.0"
"17.0","26.0","MI","MICHIGAN","5514.0","8625.0","253817.0"
"17.0","48.0","TX","TEXAS","4749.0","9238.0","230082.0"
"17.0","19.0","IA","IOWA","3749.0","6797.0","143091.0"
"17.0","39.0","OH","OHIO","3595.0","5740.0","171216.0"
"17.0","36.0","NY","NEW YORK","3390.0","5037.0","218212.0"
"17.0","13.0","GA","GEORGIA","2489.0","4699.0","106448.0"
"17.0","4.0","AZ","ARIZONA","2364.0","4172.0","87857.0"
"17.0","27.0","MN","MINNESOTA","2255.0","4022.0","111146.0"
"17.0","57.0","FR","Foreign","2229.0","4120.0","112666.0"
"17.0","51.0","VA","VIRGINIA","2096.0","3891.0","118664.0"
"17.0","47.0","TN","TENNESSEE","1923.0","3608.0","66610.0"
"17.0","8.0","CO","COLORADO","1786.0","3084.0","84844.0"
"17.0","37.0","NC","NORTH CAROLINA","1762.0","3223.0","74783.0"
"17.0","42.0","PA","PENNSYLVANIA","1734.0","2988.0","102176.0"
"17.0","53.0","WA","WASHINGTON","1402.0","2592.0","68868.0"
"17.0","21.0","KY","KENTUCKY","1386.0","2605.0","50500.0"
"17.0","25.0","MA","MASSACHUSETTS","1352.0","1986.0","85830.0"
"17.0","34.0","NJ","NEW JERSEY","1306.0","2412.0","92594.0"
"17.0","32.0","NV","NEVADA","1118.0","2029.0","37210.0"
"17.0","24.0","MD","MARYLAND","989.0","1691.0","57957.0"
"17.0","20.0","KS","KANSAS","969.0","1807.0","42658.0"
"17.0","45.0","SC","SOUTH CAROLINA","764.0","1340.0","31535.0"
"17.0","1.0","AL","ALABAMA","755.0","1491.0","27916.0"
"17.0","5.0","AR","ARKANSAS","749.0","1489.0","31995.0"
"17.0","28.0","MS","MISSISSIPPI","743.0","1463.0","19685.0"
"17.0","9.0","CT","CONNECTICUT","684.0","1197.0","62345.0"
"17.0","40.0","OK","OKLAHOMA","669.0","1244.0","24196.0"
"17.0","22.0","LA","LOUISIANA","637.0","1171.0","23063.0"
"17.0","31.0","NE","NEBRASKA","609.0","1055.0","28378.0"
"17.0","41.0","OR","OREGON","569.0","907.0","21222.0"
"17.0","35.0","NM","NEW MEXICO","413.0","740.0","15789.0"
"17.0","49.0","UT","UTAH","406.0","870.0","15238.0"
"17.0","11.0","DC","DISTRICT OF COLUMBIA","401.0","487.0","21482.0"
"17.0","15.0","HI","HAWAII","390.0","737.0","14317.0"
"17.0","16.0","ID","IDAHO","238.0","480.0","8278.0"
"17.0","2.0","AK","ALASKA","224.0","440.0","9644.0"
"17.0","54.0","WV","WEST VIRGINIA","186.0","345.0","9047.0"
"17.0","46.0","SD","SOUTH DAKOTA","179.0","313.0","6478.0"
"17.0","30.0","MT","MONTANA","174.0","286.0","4919.0"
"17.0","10.0","DE","DELAWARE","171.0","339.0","8928.0"
"17.0","23.0","ME","MAINE","159.0","277.0","5791.0"
"17.0","33.0","NH","NEW HAMPSHIRE","159.0","226.0","7469.0"
"17.0","38.0","ND","NORTH DAKOTA","155.0","286.0","6004.0"
"17.0","44.0","RI","RHODE ISLAND","149.0","247.0","8992.0"
"17.0","56.0","WY","WYOMING","148.0","228.0","4411.0"
"17.0","50.0","VT","VERMONT","85.0","146.0","3451.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
