"PENNSYLVANIA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Pennsylvania (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"42.0","96.0","PA","PA Total Mig - US & For","93062.0","165373.0","4545812.0"
"42.0","97.0","PA","PA Total Mig - US","90853.0","160974.0","4446728.0"
"42.0","98.0","PA","PA Total Mig - Foreign","2209.0","4399.0","99084.0"
"42.0","42.0","PA","PA Non-Migrants","4910642.0","10166698.0","279465311.0"
"42.0","34.0","NJ","NEW JERSEY","13936.0","23932.0","825814.0"
"42.0","36.0","NY","NEW YORK","13005.0","23347.0","582941.0"
"42.0","12.0","FL","FLORIDA","7451.0","12953.0","260481.0"
"42.0","24.0","MD","MARYLAND","6634.0","11821.0","333057.0"
"42.0","39.0","OH","OHIO","4660.0","8087.0","215007.0"
"42.0","51.0","VA","VIRGINIA","4476.0","7888.0","227754.0"
"42.0","6.0","CA","CALIFORNIA","4223.0","7031.0","227177.0"
"42.0","37.0","NC","NORTH CAROLINA","3405.0","6334.0","141904.0"
"42.0","48.0","TX","TEXAS","2894.0","5619.0","165944.0"
"42.0","10.0","DE","DELAWARE","2762.0","5107.0","141807.0"
"42.0","13.0","GA","GEORGIA","2299.0","4298.0","96064.0"
"42.0","57.0","FR","Foreign","2209.0","4399.0","99084.0"
"42.0","25.0","MA","MASSACHUSETTS","2035.0","3220.0","108224.0"
"42.0","17.0","IL","ILLINOIS","1741.0","3020.0","108718.0"
"42.0","26.0","MI","MICHIGAN","1610.0","2982.0","99312.0"
"42.0","54.0","WV","WEST VIRGINIA","1468.0","2418.0","57754.0"
"42.0","45.0","SC","SOUTH CAROLINA","1404.0","2496.0","48643.0"
"42.0","9.0","CT","CONNECTICUT","1387.0","2421.0","97705.0"
"42.0","4.0","AZ","ARIZONA","1333.0","2335.0","51943.0"
"42.0","8.0","CO","COLORADO","1164.0","2117.0","57473.0"
"42.0","18.0","IN","INDIANA","991.0","1877.0","49386.0"
"42.0","47.0","TN","TENNESSEE","981.0","1884.0","41516.0"
"42.0","53.0","WA","WASHINGTON","968.0","1713.0","43545.0"
"42.0","29.0","MO","MISSOURI","668.0","1237.0","35346.0"
"42.0","32.0","NV","NEVADA","648.0","1157.0","24425.0"
"42.0","55.0","WI","WISCONSIN","640.0","1156.0","39535.0"
"42.0","27.0","MN","MINNESOTA","617.0","1115.0","36424.0"
"42.0","11.0","DC","DISTRICT OF COLUMBIA","607.0","791.0","31664.0"
"42.0","21.0","KY","KENTUCKY","599.0","1115.0","26840.0"
"42.0","1.0","AL","ALABAMA","483.0","979.0","21159.0"
"42.0","22.0","LA","LOUISIANA","415.0","782.0","18237.0"
"42.0","40.0","OK","OKLAHOMA","393.0","716.0","17470.0"
"42.0","33.0","NH","NEW HAMPSHIRE","387.0","665.0","20365.0"
"42.0","41.0","OR","OREGON","383.0","667.0","13293.0"
"42.0","49.0","UT","UTAH","383.0","875.0","17758.0"
"42.0","23.0","ME","MAINE","377.0","648.0","13732.0"
"42.0","20.0","KS","KANSAS","372.0","723.0","16960.0"
"42.0","44.0","RI","RHODE ISLAND","328.0","555.0","15016.0"
"42.0","15.0","HI","HAWAII","325.0","582.0","14055.0"
"42.0","19.0","IA","IOWA","313.0","572.0","12904.0"
"42.0","35.0","NM","NEW MEXICO","294.0","527.0","12133.0"
"42.0","50.0","VT","VERMONT","253.0","350.0","9028.0"
"42.0","28.0","MS","MISSISSIPPI","250.0","466.0","10157.0"
"42.0","5.0","AR","ARKANSAS","244.0","474.0","15837.0"
"42.0","2.0","AK","ALASKA","195.0","336.0","7943.0"
"42.0","56.0","WY","WYOMING","188.0","358.0","8389.0"
"42.0","31.0","NE","NEBRASKA","185.0","359.0","8812.0"
"42.0","30.0","MT","MONTANA","163.0","287.0","5090.0"
"42.0","16.0","ID","IDAHO","158.0","293.0","6618.0"
"42.0","38.0","ND","NORTH DAKOTA","81.0","157.0","3022.0"
"42.0","46.0","SD","SOUTH DAKOTA","77.0","132.0","2348.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
