"FLORIDA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Florida (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"12.0","96.0","FL","FL Total Mig - US & For","223136.0","405424.0","11270514.0"
"12.0","97.0","FL","FL Total Mig - US","215654.0","389429.0","10968479.0"
"12.0","98.0","FL","FL Total Mig - Foreign","7482.0","15995.0","302035.0"
"12.0","12.0","FL","FL Non-Migrants","6810387.0","13786030.0","334846422.0"
"12.0","36.0","NY","NEW YORK","23512.0","40195.0","1309115.0"
"12.0","13.0","GA","GEORGIA","16786.0","32264.0","670177.0"
"12.0","48.0","TX","TEXAS","11206.0","21580.0","481883.0"
"12.0","34.0","NJ","NEW JERSEY","10511.0","18496.0","778603.0"
"12.0","6.0","CA","CALIFORNIA","10305.0","17815.0","501979.0"
"12.0","37.0","NC","NORTH CAROLINA","10061.0","19050.0","396682.0"
"12.0","42.0","PA","PENNSYLVANIA","9801.0","17026.0","556005.0"
"12.0","39.0","OH","OHIO","9724.0","17147.0","503033.0"
"12.0","51.0","VA","VIRGINIA","9023.0","17253.0","519921.0"
"12.0","26.0","MI","MICHIGAN","8512.0","15354.0","424984.0"
"12.0","17.0","IL","ILLINOIS","8182.0","14174.0","528831.0"
"12.0","57.0","FR","Foreign","7482.0","15995.0","302035.0"
"12.0","25.0","MA","MASSACHUSETTS","7332.0","12298.0","403802.0"
"12.0","47.0","TN","TENNESSEE","6060.0","11554.0","237179.0"
"12.0","1.0","AL","ALABAMA","5526.0","10677.0","208504.0"
"12.0","24.0","MD","MARYLAND","5428.0","9593.0","337559.0"
"12.0","18.0","IN","INDIANA","5248.0","9423.0","243867.0"
"12.0","45.0","SC","SOUTH CAROLINA","4891.0","9201.0","180623.0"
"12.0","9.0","CT","CONNECTICUT","4673.0","8127.0","300155.0"
"12.0","8.0","CO","COLORADO","3336.0","5872.0","147777.0"
"12.0","21.0","KY","KENTUCKY","3138.0","5809.0","162524.0"
"12.0","29.0","MO","MISSOURI","3134.0","5624.0","177056.0"
"12.0","4.0","AZ","ARIZONA","2961.0","5255.0","120448.0"
"12.0","55.0","WI","WISCONSIN","2936.0","5166.0","191096.0"
"12.0","53.0","WA","WASHINGTON","2701.0","5011.0","116432.0"
"12.0","22.0","LA","LOUISIANA","2433.0","4509.0","96009.0"
"12.0","23.0","ME","MAINE","2284.0","4258.0","95153.0"
"12.0","27.0","MN","MINNESOTA","2248.0","3845.0","170376.0"
"12.0","32.0","NV","NEVADA","2133.0","3644.0","86013.0"
"12.0","33.0","NH","NEW HAMPSHIRE","2125.0","3557.0","92351.0"
"12.0","28.0","MS","MISSISSIPPI","1956.0","3759.0","80447.0"
"12.0","44.0","RI","RHODE ISLAND","1652.0","2961.0","95748.0"
"12.0","20.0","KS","KANSAS","1455.0","2814.0","101843.0"
"12.0","40.0","OK","OKLAHOMA","1427.0","2775.0","55463.0"
"12.0","5.0","AR","ARKANSAS","1288.0","2381.0","94865.0"
"12.0","54.0","WV","WEST VIRGINIA","1187.0","2075.0","46634.0"
"12.0","19.0","IA","IOWA","1156.0","2048.0","60409.0"
"12.0","15.0","HI","HAWAII","1062.0","2079.0","45904.0"
"12.0","35.0","NM","NEW MEXICO","1059.0","1970.0","44856.0"
"12.0","41.0","OR","OREGON","1009.0","1687.0","35164.0"
"12.0","49.0","UT","UTAH","903.0","1880.0","31028.0"
"12.0","10.0","DE","DELAWARE","870.0","1518.0","39691.0"
"12.0","31.0","NE","NEBRASKA","773.0","1392.0","31914.0"
"12.0","50.0","VT","VERMONT","757.0","1194.0","31988.0"
"12.0","2.0","AK","ALASKA","577.0","1118.0","25223.0"
"12.0","11.0","DC","DISTRICT OF COLUMBIA","565.0","815.0","43502.0"
"12.0","16.0","ID","IDAHO","432.0","863.0","17919.0"
"12.0","46.0","SD","SOUTH DAKOTA","379.0","647.0","14021.0"
"12.0","30.0","MT","MONTANA","373.0","684.0","12179.0"
"12.0","56.0","WY","WYOMING","296.0","519.0","10161.0"
"12.0","38.0","ND","NORTH DAKOTA","268.0","473.0","11381.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
