"WASHINGTON OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Washington (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"53.0","96.0","WA","WA Total Mig - US & For","78690.0","149725.0","3597917.0"
"53.0","97.0","WA","WA Total Mig - US","75099.0","142475.0","3414678.0"
"53.0","98.0","WA","WA Total Mig - Foreign","3591.0","7250.0","183238.0"
"53.0","53.0","WA","WA Non-Migrants","2444622.0","5251310.0","153514866.0"
"53.0","6.0","CA","CALIFORNIA","13333.0","24688.0","664350.0"
"53.0","41.0","OR","OREGON","9825.0","17128.0","375043.0"
"53.0","48.0","TX","TEXAS","5117.0","10876.0","236196.0"
"53.0","4.0","AZ","ARIZONA","4198.0","7905.0","191359.0"
"53.0","16.0","ID","IDAHO","3742.0","7322.0","145400.0"
"53.0","57.0","FR","Foreign","3591.0","7250.0","183238.0"
"53.0","12.0","FL","FLORIDA","3334.0","5686.0","141247.0"
"53.0","8.0","CO","COLORADO","2323.0","4331.0","107661.0"
"53.0","36.0","NY","NEW YORK","1982.0","3040.0","90877.0"
"53.0","32.0","NV","NEVADA","1813.0","3297.0","81911.0"
"53.0","15.0","HI","HAWAII","1770.0","3606.0","67510.0"
"53.0","51.0","VA","VIRGINIA","1705.0","3706.0","108498.0"
"53.0","30.0","MT","MONTANA","1641.0","2963.0","61156.0"
"53.0","2.0","AK","ALASKA","1550.0","2817.0","63378.0"
"53.0","13.0","GA","GEORGIA","1538.0","3318.0","67421.0"
"53.0","17.0","IL","ILLINOIS","1455.0","2675.0","80312.0"
"53.0","37.0","NC","NORTH CAROLINA","1449.0","2979.0","60477.0"
"53.0","49.0","UT","UTAH","1385.0","3007.0","59039.0"
"53.0","42.0","PA","PENNSYLVANIA","925.0","1648.0","46444.0"
"53.0","26.0","MI","MICHIGAN","903.0","1648.0","39978.0"
"53.0","45.0","SC","SOUTH CAROLINA","872.0","1945.0","61469.0"
"53.0","27.0","MN","MINNESOTA","871.0","1601.0","37866.0"
"53.0","29.0","MO","MISSOURI","867.0","1762.0","33808.0"
"53.0","39.0","OH","OHIO","850.0","1660.0","49843.0"
"53.0","25.0","MA","MASSACHUSETTS","816.0","1249.0","46848.0"
"53.0","24.0","MD","MARYLAND","812.0","1672.0","47734.0"
"53.0","47.0","TN","TENNESSEE","801.0","1675.0","42909.0"
"53.0","40.0","OK","OKLAHOMA","750.0","1601.0","28290.0"
"53.0","35.0","NM","NEW MEXICO","686.0","1274.0","30039.0"
"53.0","55.0","WI","WISCONSIN","669.0","1273.0","29455.0"
"53.0","20.0","KS","KANSAS","610.0","1379.0","28683.0"
"53.0","18.0","IN","INDIANA","596.0","1225.0","26418.0"
"53.0","22.0","LA","LOUISIANA","543.0","1061.0","19830.0"
"53.0","34.0","NJ","NEW JERSEY","528.0","1007.0","38036.0"
"53.0","1.0","AL","ALABAMA","488.0","1092.0","20516.0"
"53.0","19.0","IA","IOWA","477.0","823.0","17178.0"
"53.0","21.0","KY","KENTUCKY","431.0","962.0","16907.0"
"53.0","31.0","NE","NEBRASKA","395.0","792.0","14899.0"
"53.0","9.0","CT","CONNECTICUT","384.0","792.0","26481.0"
"53.0","56.0","WY","WYOMING","374.0","721.0","13027.0"
"53.0","11.0","DC","DISTRICT OF COLUMBIA","346.0","465.0","19339.0"
"53.0","5.0","AR","ARKANSAS","344.0","714.0","12070.0"
"53.0","38.0","ND","NORTH DAKOTA","332.0","643.0","12438.0"
"53.0","46.0","SD","SOUTH DAKOTA","278.0","583.0","12772.0"
"53.0","28.0","MS","MISSISSIPPI","257.0","553.0","8963.0"
"53.0","23.0","ME","MAINE","176.0","302.0","6273.0"
"53.0","33.0","NH","NEW HAMPSHIRE","158.0","268.0","7035.0"
"53.0","44.0","RI","RHODE ISLAND","120.0","227.0","5762.0"
"53.0","50.0","VT","VERMONT","109.0","178.0","3819.0"
"53.0","54.0","WV","WEST VIRGINIA","103.0","225.0","4425.0"
"53.0","10.0","DE","DELAWARE","68.0","111.0","3290.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
