"OHIO OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Ohio (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"39.0","96.0","OH","OH Total Mig - US & For","92029.0","164825.0","4539423.0"
"39.0","97.0","OH","OH Total Mig - US","90160.0","161486.0","4445253.0"
"39.0","98.0","OH","OH Total Mig - Foreign","1869.0","3339.0","94170.0"
"39.0","39.0","OH","OH Non-Migrants","4378776.0","9102417.0","231711961.0"
"39.0","12.0","FL","FLORIDA","11131.0","18746.0","598515.0"
"39.0","21.0","KY","KENTUCKY","6116.0","10954.0","225058.0"
"39.0","48.0","TX","TEXAS","5383.0","10259.0","274588.0"
"39.0","42.0","PA","PENNSYLVANIA","4823.0","8288.0","233464.0"
"39.0","26.0","MI","MICHIGAN","4808.0","9120.0","239447.0"
"39.0","6.0","CA","CALIFORNIA","4728.0","7710.0","241000.0"
"39.0","18.0","IN","INDIANA","4694.0","9074.0","200144.0"
"39.0","37.0","NC","NORTH CAROLINA","4480.0","8326.0","213323.0"
"39.0","13.0","GA","GEORGIA","3803.0","7462.0","189516.0"
"39.0","17.0","IL","ILLINOIS","3728.0","6157.0","214284.0"
"39.0","36.0","NY","NEW YORK","3507.0","5487.0","158799.0"
"39.0","51.0","VA","VIRGINIA","3102.0","5504.0","154057.0"
"39.0","47.0","TN","TENNESSEE","2733.0","5127.0","137349.0"
"39.0","54.0","WV","WEST VIRGINIA","2625.0","4981.0","84483.0"
"39.0","45.0","SC","SOUTH CAROLINA","2339.0","4276.0","116282.0"
"39.0","4.0","AZ","ARIZONA","2272.0","3931.0","129577.0"
"39.0","8.0","CO","COLORADO","1881.0","3145.0","90033.0"
"39.0","57.0","FR","Foreign","1869.0","3339.0","94170.0"
"39.0","24.0","MD","MARYLAND","1543.0","2612.0","80524.0"
"39.0","53.0","WA","WASHINGTON","1324.0","2424.0","67366.0"
"39.0","25.0","MA","MASSACHUSETTS","1109.0","1790.0","64344.0"
"39.0","29.0","MO","MISSOURI","1100.0","2082.0","56664.0"
"39.0","34.0","NJ","NEW JERSEY","1036.0","1967.0","66026.0"
"39.0","1.0","AL","ALABAMA","1008.0","2069.0","46702.0"
"39.0","55.0","WI","WISCONSIN","932.0","1733.0","54787.0"
"39.0","32.0","NV","NEVADA","782.0","1321.0","31783.0"
"39.0","27.0","MN","MINNESOTA","780.0","1514.0","52117.0"
"39.0","22.0","LA","LOUISIANA","669.0","1290.0","30466.0"
"39.0","41.0","OR","OREGON","641.0","1063.0","29157.0"
"39.0","40.0","OK","OKLAHOMA","630.0","1385.0","23480.0"
"39.0","9.0","CT","CONNECTICUT","542.0","998.0","38499.0"
"39.0","20.0","KS","KANSAS","540.0","1062.0","24733.0"
"39.0","11.0","DC","DISTRICT OF COLUMBIA","482.0","568.0","18671.0"
"39.0","28.0","MS","MISSISSIPPI","469.0","887.0","16905.0"
"39.0","5.0","AR","ARKANSAS","449.0","873.0","23540.0"
"39.0","19.0","IA","IOWA","444.0","900.0","21903.0"
"39.0","35.0","NM","NEW MEXICO","442.0","827.0","18501.0"
"39.0","49.0","UT","UTAH","427.0","820.0","20463.0"
"39.0","15.0","HI","HAWAII","387.0","684.0","14648.0"
"39.0","31.0","NE","NEBRASKA","308.0","602.0","50327.0"
"39.0","2.0","AK","ALASKA","269.0","481.0","10588.0"
"39.0","23.0","ME","MAINE","221.0","348.0","9545.0"
"39.0","33.0","NH","NEW HAMPSHIRE","220.0","383.0","14167.0"
"39.0","30.0","MT","MONTANA","185.0","333.0","7230.0"
"39.0","10.0","DE","DELAWARE","182.0","355.0","9321.0"
"39.0","56.0","WY","WYOMING","162.0","270.0","7634.0"
"39.0","16.0","ID","IDAHO","157.0","347.0","7557.0"
"39.0","46.0","SD","SOUTH DAKOTA","156.0","260.0","6496.0"
"39.0","44.0","RI","RHODE ISLAND","153.0","261.0","7289.0"
"39.0","38.0","ND","NORTH DAKOTA","144.0","248.0","4099.0"
"39.0","50.0","VT","VERMONT","114.0","182.0","9801.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
