"IDAHO OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Idaho (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"16.0","96.0","ID","ID Total Mig - US & For","21500.0","44488.0","766669.0"
"16.0","97.0","ID","ID Total Mig - US","21023.0","43529.0","750293.0"
"16.0","98.0","ID","ID Total Mig - Foreign","477.0","959.0","16377.0"
"16.0","16.0","ID","ID Non-Migrants","517136.0","1225411.0","25094092.0"
"16.0","53.0","WA","WASHINGTON","3885.0","7616.0","138976.0"
"16.0","49.0","UT","UTAH","2298.0","5220.0","73501.0"
"16.0","6.0","CA","CALIFORNIA","2279.0","4517.0","79242.0"
"16.0","41.0","OR","OREGON","1895.0","3786.0","57283.0"
"16.0","48.0","TX","TEXAS","1004.0","2292.0","39898.0"
"16.0","4.0","AZ","ARIZONA","1000.0","2100.0","35348.0"
"16.0","30.0","MT","MONTANA","833.0","1595.0","26985.0"
"16.0","32.0","NV","NEVADA","784.0","1600.0","30236.0"
"16.0","8.0","CO","COLORADO","770.0","1684.0","35135.0"
"16.0","12.0","FL","FLORIDA","582.0","1035.0","19367.0"
"16.0","56.0","WY","WYOMING","545.0","1196.0","21673.0"
"16.0","57.0","FR","Foreign","477.0","959.0","16377.0"
"16.0","2.0","AK","ALASKA","352.0","679.0","13706.0"
"16.0","37.0","NC","NORTH CAROLINA","267.0","584.0","10808.0"
"16.0","38.0","ND","NORTH DAKOTA","253.0","584.0","10350.0"
"16.0","51.0","VA","VIRGINIA","244.0","550.0","11475.0"
"16.0","35.0","NM","NEW MEXICO","224.0","503.0","9442.0"
"16.0","29.0","MO","MISSOURI","214.0","490.0","7637.0"
"16.0","17.0","IL","ILLINOIS","206.0","417.0","7555.0"
"16.0","36.0","NY","NEW YORK","202.0","347.0","6159.0"
"16.0","13.0","GA","GEORGIA","200.0","406.0","5786.0"
"16.0","39.0","OH","OHIO","196.0","425.0","7369.0"
"16.0","27.0","MN","MINNESOTA","194.0","410.0","8170.0"
"16.0","42.0","PA","PENNSYLVANIA","185.0","374.0","7879.0"
"16.0","15.0","HI","HAWAII","180.0","329.0","5747.0"
"16.0","26.0","MI","MICHIGAN","165.0","331.0","4817.0"
"16.0","55.0","WI","WISCONSIN","157.0","315.0","6566.0"
"16.0","40.0","OK","OKLAHOMA","156.0","372.0","6103.0"
"16.0","47.0","TN","TENNESSEE","144.0","325.0","4872.0"
"16.0","18.0","IN","INDIANA","131.0","259.0","5469.0"
"16.0","20.0","KS","KANSAS","131.0","298.0","3921.0"
"16.0","31.0","NE","NEBRASKA","123.0","273.0","4132.0"
"16.0","46.0","SD","SOUTH DAKOTA","115.0","255.0","4787.0"
"16.0","19.0","IA","IOWA","114.0","281.0","40.0"
"16.0","45.0","SC","SOUTH CAROLINA","106.0","246.0","5031.0"
"16.0","5.0","AR","ARKANSAS","105.0","247.0","3384.0"
"16.0","24.0","MD","MARYLAND","100.0","193.0","4835.0"
"16.0","1.0","AL","ALABAMA","93.0","237.0","4242.0"
"16.0","25.0","MA","MASSACHUSETTS","89.0","151.0","3673.0"
"16.0","21.0","KY","KENTUCKY","85.0","187.0","3022.0"
"16.0","22.0","LA","LOUISIANA","70.0","137.0","2420.0"
"16.0","34.0","NJ","NEW JERSEY","70.0","144.0","3626.0"
"16.0","28.0","MS","MISSISSIPPI","52.0","105.0","1386.0"
"16.0","9.0","CT","CONNECTICUT","47.0","96.0","1696.0"
"16.0","54.0","WV","WEST VIRGINIA","38.0","67.0","1024.0"
"16.0","23.0","ME","MAINE","33.0","70.0","1874.0"
"16.0","33.0","NH","NEW HAMPSHIRE","30.0","60.0","1206.0"
"16.0","50.0","VT","VERMONT","26.0","52.0","638.0"
"16.0","10.0","DE","DELAWARE","21.0","45.0","834.0"
"16.0","11.0","DC","DISTRICT OF COLUMBIA","21.0","22.0","601.0"
"16.0","44.0","RI","RHODE ISLAND","9.0","22.0","368.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
