"MASSACHUSETTS OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Massachusetts (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"25.0","96.0","MA","MA Total Mig - US & For","69946.0","109555.0","3964832.0"
"25.0","97.0","MA","MA Total Mig - US","67098.0","104986.0","3826321.0"
"25.0","98.0","MA","MA Total Mig - Foreign","2848.0","4569.0","138511.0"
"25.0","25.0","MA","MA Non-Migrants","2505040.0","5066472.0","184681573.0"
"25.0","12.0","FL","FLORIDA","8826.0","13641.0","451598.0"
"25.0","36.0","NY","NEW YORK","7872.0","10821.0","433252.0"
"25.0","6.0","CA","CALIFORNIA","6135.0","8933.0","405746.0"
"25.0","33.0","NH","NEW HAMPSHIRE","5993.0","9744.0","345357.0"
"25.0","9.0","CT","CONNECTICUT","3713.0","5707.0","208753.0"
"25.0","44.0","RI","RHODE ISLAND","3600.0","5722.0","174086.0"
"25.0","57.0","FR","Foreign","2848.0","4569.0","138511.0"
"25.0","48.0","TX","TEXAS","2489.0","4419.0","154737.0"
"25.0","42.0","PA","PENNSYLVANIA","2186.0","3535.0","129142.0"
"25.0","34.0","NJ","NEW JERSEY","2105.0","3506.0","136340.0"
"25.0","51.0","VA","VIRGINIA","2091.0","3481.0","123252.0"
"25.0","37.0","NC","NORTH CAROLINA","2068.0","3727.0","114049.0"
"25.0","23.0","ME","MAINE","1932.0","2992.0","105122.0"
"25.0","17.0","IL","ILLINOIS","1473.0","2195.0","94522.0"
"25.0","13.0","GA","GEORGIA","1440.0","2565.0","72696.0"
"25.0","24.0","MD","MARYLAND","1389.0","2205.0","87516.0"
"25.0","8.0","CO","COLORADO","1102.0","1709.0","70571.0"
"25.0","50.0","VT","VERMONT","1068.0","1516.0","56612.0"
"25.0","11.0","DC","DISTRICT OF COLUMBIA","1030.0","1162.0","57453.0"
"25.0","53.0","WA","WASHINGTON","1017.0","1599.0","63428.0"
"25.0","4.0","AZ","ARIZONA","959.0","1596.0","60844.0"
"25.0","39.0","OH","OHIO","916.0","1566.0","66013.0"
"25.0","45.0","SC","SOUTH CAROLINA","804.0","1437.0","49675.0"
"25.0","26.0","MI","MICHIGAN","668.0","1092.0","36084.0"
"25.0","47.0","TN","TENNESSEE","574.0","965.0","30787.0"
"25.0","27.0","MN","MINNESOTA","492.0","784.0","34107.0"
"25.0","41.0","OR","OREGON","475.0","666.0","27255.0"
"25.0","18.0","IN","INDIANA","403.0","703.0","25436.0"
"25.0","32.0","NV","NEVADA","379.0","578.0","18255.0"
"25.0","55.0","WI","WISCONSIN","370.0","586.0","21558.0"
"25.0","29.0","MO","MISSOURI","358.0","560.0","23322.0"
"25.0","22.0","LA","LOUISIANA","357.0","555.0","13611.0"
"25.0","15.0","HI","HAWAII","284.0","418.0","11986.0"
"25.0","49.0","UT","UTAH","261.0","506.0","14546.0"
"25.0","1.0","AL","ALABAMA","247.0","442.0","13891.0"
"25.0","21.0","KY","KENTUCKY","241.0","428.0","11592.0"
"25.0","35.0","NM","NEW MEXICO","237.0","387.0","12011.0"
"25.0","40.0","OK","OKLAHOMA","175.0","313.0","7567.0"
"25.0","20.0","KS","KANSAS","171.0","307.0","9069.0"
"25.0","10.0","DE","DELAWARE","167.0","282.0","9381.0"
"25.0","19.0","IA","IOWA","148.0","251.0","6341.0"
"25.0","2.0","AK","ALASKA","140.0","220.0","5691.0"
"25.0","5.0","AR","ARKANSAS","116.0","204.0","5431.0"
"25.0","28.0","MS","MISSISSIPPI","92.0","154.0","3168.0"
"25.0","31.0","NE","NEBRASKA","92.0","172.0","6237.0"
"25.0","30.0","MT","MONTANA","89.0","127.0","4192.0"
"25.0","54.0","WV","WEST VIRGINIA","89.0","125.0","3460.0"
"25.0","16.0","ID","IDAHO","80.0","124.0","4282.0"
"25.0","56.0","WY","WYOMING","73.0","97.0","2587.0"
"25.0","46.0","SD","SOUTH DAKOTA","68.0","99.0","2348.0"
"25.0","38.0","ND","NORTH DAKOTA","44.0","63.0","1358.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
