"FLORIDA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"[Money amounts are in thousands of dollars]","","","","","",""
"Origin from Florida (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"12.0","96.0","FL","FL Total Mig - US & For","211335.0","379568.0","8413126.0"
"12.0","97.0","FL","FL Total Mig - US","202928.0","364715.0","8094269.0"
"12.0","98.0","FL","FL Total Mig - Foreign","8407.0","14853.0","318856.0"
"12.0","12.0","FL","FL Non-Migrants","6850795.0","13822107.0","343925520.0"
"12.0","13.0","GA","GEORGIA","19709.0","36699.0","731121.0"
"12.0","36.0","NY","NEW YORK","17786.0","29124.0","584060.0"
"12.0","48.0","TX","TEXAS","15581.0","29726.0","656112.0"
"12.0","37.0","NC","NORTH CAROLINA","11837.0","22640.0","484507.0"
"12.0","6.0","CA","CALIFORNIA","11223.0","19091.0","526603.0"
"12.0","51.0","VA","VIRGINIA","9466.0","17859.0","459273.0"
"12.0","57.0","FR","Foreign","8407.0","14853.0","318856.0"
"12.0","42.0","PA","PENNSYLVANIA","7411.0","12940.0","291171.0"
"12.0","47.0","TN","TENNESSEE","7280.0","13876.0","298926.0"
"12.0","39.0","OH","OHIO","6811.0","11970.0","254739.0"
"12.0","34.0","NJ","NEW JERSEY","6805.0","11737.0","278054.0"
"12.0","1.0","AL","ALABAMA","6115.0","12189.0","234780.0"
"12.0","17.0","IL","ILLINOIS","6040.0","10016.0","263514.0"
"12.0","26.0","MI","MICHIGAN","5799.0","10193.0","207012.0"
"12.0","25.0","MA","MASSACHUSETTS","5729.0","9504.0","212935.0"
"12.0","45.0","SC","SOUTH CAROLINA","5322.0","10078.0","223707.0"
"12.0","24.0","MD","MARYLAND","4622.0","8254.0","219429.0"
"12.0","8.0","CO","COLORADO","4310.0","7600.0","189190.0"
"12.0","18.0","IN","INDIANA","3883.0","7116.0","143210.0"
"12.0","53.0","WA","WASHINGTON","3505.0","6414.0","147866.0"
"12.0","22.0","LA","LOUISIANA","2987.0","5607.0","110405.0"
"12.0","9.0","CT","CONNECTICUT","2943.0","5169.0","120892.0"
"12.0","4.0","AZ","ARIZONA","2941.0","5215.0","135519.0"
"12.0","21.0","KY","KENTUCKY","2901.0","5490.0","105219.0"
"12.0","29.0","MO","MISSOURI","2615.0","4662.0","104657.0"
"12.0","32.0","NV","NEVADA","2271.0","3632.0","87115.0"
"12.0","28.0","MS","MISSISSIPPI","2143.0","4217.0","77259.0"
"12.0","55.0","WI","WISCONSIN","2085.0","3720.0","86185.0"
"12.0","27.0","MN","MINNESOTA","1669.0","2903.0","75454.0"
"12.0","40.0","OK","OKLAHOMA","1664.0","3357.0","58979.0"
"12.0","54.0","WV","WEST VIRGINIA","1376.0","2300.0","42626.0"
"12.0","5.0","AR","ARKANSAS","1347.0","2621.0","47003.0"
"12.0","33.0","NH","NEW HAMPSHIRE","1326.0","2168.0","54106.0"
"12.0","15.0","HI","HAWAII","1288.0","2350.0","47884.0"
"12.0","23.0","ME","MAINE","1286.0","2136.0","53829.0"
"12.0","41.0","OR","OREGON","1219.0","1999.0","44187.0"
"12.0","20.0","KS","KANSAS","1167.0","2369.0","44915.0"
"12.0","44.0","RI","RHODE ISLAND","1048.0","1801.0","35333.0"
"12.0","35.0","NM","NEW MEXICO","1045.0","1931.0","40576.0"
"12.0","2.0","AK","ALASKA","1023.0","1705.0","35311.0"
"12.0","19.0","IA","IOWA","939.0","1633.0","35239.0"
"12.0","11.0","DC","DISTRICT OF COLUMBIA","932.0","1189.0","42219.0"
"12.0","49.0","UT","UTAH","860.0","1765.0","38716.0"
"12.0","31.0","NE","NEBRASKA","810.0","1512.0","25129.0"
"12.0","10.0","DE","DELAWARE","746.0","1322.0","30200.0"
"12.0","46.0","SD","SOUTH DAKOTA","723.0","1018.0","24556.0"
"12.0","56.0","WY","WYOMING","628.0","902.0","20837.0"
"12.0","50.0","VT","VERMONT","504.0","795.0","17600.0"
"12.0","30.0","MT","MONTANA","453.0","784.0","18381.0"
"12.0","16.0","ID","IDAHO","404.0","794.0","16911.0"
"12.0","38.0","ND","NORTH DAKOTA","351.0","623.0","10821.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
