"1993 - 1994 State To State Migration Flows _ OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
",,,,,"
",,,,,AGGREGATE"
"FROM:,,OREGON,NUMBER OF,NUMBER OF,TOTAL MONEY"
" ,,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"41, ,Total Outflow,36675,71325,916805"
"53,Wa,Washington,9908,19358,280043"
"6,Ca,California,6719,12681,147417"
"16,Id,Idaho,1981,4312,42400"
"4,Az,Arizona,1763,3392,39010"
"48,Tx,Texas,1401,2958,40294"
"32,Nv,Nevada,1204,2242,24137"
"8,Co,Colorado,1057,2036,29655"
"2,Ak,Alaska,1018,2029,24798"
"57,FR,Foreign,997,1637,21659"
"12,Fl,Florida,775,1424,17758"
"30,Mt,Montana,743,1463,16498"
"49,Ut,Utah,694,1470,15742"
"15,Hi,Hawaii,504,861,10956"
"36,NY,New York,476,715,11696"
"17,Il,Illinois,442,843,11735"
"35,NM,New Mexico,428,855,11722"
"29,Mo,Missouri,402,911,8063"
"51,Va,Virginia,359,688,10435"
"27,Mn,Minnesota,354,693,9868"
"13,Ga,Georgia,335,632,9403"
"37,NC,North Carolina,326,641,9292"
"39,Oh,Ohio,314,658,9052"
"26,Mi,Michigan,284,566,8077"
"47,Tn,Tennessee,280,618,9438"
"42,Pa,Pennsylvania,276,502,7296"
"40,Ok,Oklahoma,275,568,4659"
"25,Ma,Massachusetts,271,488,8765"
"20,Ks,Kansas,244,513,5347"
"55,Wi,Wisconsin,236,491,6956"
"5,Ar,Arkansas,209,457,5055"
"18,In,Indiana,196,419,4702"
"19,Ia,Iowa,193,408,4600"
"56,Wy,Wyoming,188,415,4577"
"31,Ne,Nebraska,181,364,3288"
"24,Md,Maryland,160,269,4551"
"21,Ky,Kentucky,154,285,3412"
"22,La,Louisiana,152,308,3479"
"34,NJ,New Jersey,152,288,5655"
"1,Al,Alabama,132,267,2689"
"38,ND,North Dakota,122,242,2690"
"46,SD,South Dakota,120,237,2159"
"9,Ct,Connecticut,117,206,4246"
"45,SC,South Carolina,99,179,2144"
"11,DC,District of Columbia,88,102,2031"
"28,Ms,Mississippi,76,152,1634"
"23,Me,Maine,71,116,1829"
"50,Vt,Vermont,61,105,1731"
"33,NH,New Hampshire,57,105,1453"
"54,WV,West Virginia,33,70,1120"
"44,RI,Rhode Island,29,55,1057"
"10,De,Delaware,19,31,532"
"41,Or,State Non-Migrant,1020836,2278667,34760401"
",,,,,"
"     ,,INTERNAL REVENUE SERVICE,,,"
" ,,STATISTICS OF INCOME,,,"
