"IDAHO OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Idaho (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"16.0","96.0","ID","ID Total Mig - US & For","20779.0","42950.0","728098.0"
"16.0","97.0","ID","ID Total Mig - US","20287.0","41987.0","711568.0"
"16.0","98.0","ID","ID Total Mig - Foreign","492.0","963.0","16530.0"
"16.0","16.0","ID","ID Non-Migrants","517395.0","1216227.0","24265614.0"
"16.0","53.0","WA","WASHINGTON","3848.0","7472.0","136765.0"
"16.0","49.0","UT","UTAH","2386.0","5297.0","75512.0"
"16.0","6.0","CA","CALIFORNIA","2254.0","4505.0","77325.0"
"16.0","41.0","OR","OREGON","1814.0","3538.0","52685.0"
"16.0","4.0","AZ","ARIZONA","971.0","2151.0","34212.0"
"16.0","48.0","TX","TEXAS","943.0","2181.0","29005.0"
"16.0","32.0","NV","NEVADA","801.0","1636.0","32113.0"
"16.0","30.0","MT","MONTANA","750.0","1501.0","23912.0"
"16.0","8.0","CO","COLORADO","700.0","1450.0","26887.0"
"16.0","57.0","FR","Foreign","492.0","963.0","16530.0"
"16.0","56.0","WY","WYOMING","445.0","1011.0","18290.0"
"16.0","12.0","FL","FLORIDA","432.0","863.0","17919.0"
"16.0","2.0","AK","ALASKA","362.0","705.0","13614.0"
"16.0","51.0","VA","VIRGINIA","319.0","717.0","21205.0"
"16.0","37.0","NC","NORTH CAROLINA","248.0","519.0","8350.0"
"16.0","17.0","IL","ILLINOIS","238.0","480.0","8278.0"
"16.0","36.0","NY","NEW YORK","215.0","347.0","7569.0"
"16.0","35.0","NM","NEW MEXICO","213.0","478.0","8134.0"
"16.0","29.0","MO","MISSOURI","200.0","437.0","6445.0"
"16.0","39.0","OH","OHIO","185.0","442.0","6060.0"
"16.0","40.0","OK","OKLAHOMA","183.0","433.0","6735.0"
"16.0","15.0","HI","HAWAII","177.0","337.0","4837.0"
"16.0","27.0","MN","MINNESOTA","173.0","331.0","6883.0"
"16.0","13.0","GA","GEORGIA","171.0","382.0","4948.0"
"16.0","42.0","PA","PENNSYLVANIA","158.0","293.0","6618.0"
"16.0","47.0","TN","TENNESSEE","155.0","312.0","5919.0"
"16.0","20.0","KS","KANSAS","145.0","337.0","4565.0"
"16.0","18.0","IN","INDIANA","130.0","315.0","5442.0"
"16.0","55.0","WI","WISCONSIN","128.0","254.0","4442.0"
"16.0","38.0","ND","NORTH DAKOTA","126.0","282.0","4480.0"
"16.0","26.0","MI","MICHIGAN","125.0","232.0","3942.0"
"16.0","19.0","IA","IOWA","119.0","269.0","2912.0"
"16.0","31.0","NE","NEBRASKA","119.0","297.0","4217.0"
"16.0","45.0","SC","SOUTH CAROLINA","106.0","243.0","3709.0"
"16.0","46.0","SD","SOUTH DAKOTA","106.0","225.0","3848.0"
"16.0","21.0","KY","KENTUCKY","103.0","229.0","2580.0"
"16.0","22.0","LA","LOUISIANA","95.0","176.0","3362.0"
"16.0","25.0","MA","MASSACHUSETTS","95.0","180.0","4212.0"
"16.0","5.0","AR","ARKANSAS","94.0","213.0","4334.0"
"16.0","24.0","MD","MARYLAND","91.0","184.0","3782.0"
"16.0","1.0","AL","ALABAMA","75.0","171.0","2635.0"
"16.0","28.0","MS","MISSISSIPPI","58.0","126.0","1994.0"
"16.0","34.0","NJ","NEW JERSEY","58.0","109.0","2889.0"
"16.0","9.0","CT","CONNECTICUT","36.0","70.0","2519.0"
"16.0","33.0","NH","NEW HAMPSHIRE","26.0","48.0","1163.0"
"16.0","54.0","WV","WEST VIRGINIA","24.0","57.0","854.0"
"16.0","11.0","DC","DISTRICT OF COLUMBIA","23.0","27.0","860.0"
"16.0","23.0","ME","MAINE","23.0","49.0","1084.0"
"16.0","50.0","VT","VERMONT","17.0","36.0","549.0"
"16.0","10.0","DE","DELAWARE","14.0","26.0","521.0"
"16.0","44.0","RI","RHODE ISLAND","10.0","14.0","452.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
