"SOUTH CAROLINA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from South Carolina (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"45.0","96.0","SC","SC Total Mig - US & For","49770.0","95698.0","1861864.0"
"45.0","97.0","SC","SC Total Mig - US","48149.0","92537.0","1799828.0"
"45.0","98.0","SC","SC Total Mig - Foreign","1621.0","3161.0","62036.0"
"45.0","45.0","SC","SC Non-Migrants","1575352.0","3459703.0","74723133.0"
"45.0","37.0","NC","NORTH CAROLINA","9370.0","18101.0","335134.0"
"45.0","13.0","GA","GEORGIA","5883.0","11556.0","210660.0"
"45.0","12.0","FL","FLORIDA","4891.0","9201.0","180623.0"
"45.0","51.0","VA","VIRGINIA","3000.0","5823.0","126076.0"
"45.0","48.0","TX","TEXAS","2483.0","5195.0","102873.0"
"45.0","36.0","NY","NEW YORK","2274.0","3910.0","66066.0"
"45.0","6.0","CA","CALIFORNIA","1750.0","3280.0","76513.0"
"45.0","57.0","FR","Foreign","1621.0","3161.0","62036.0"
"45.0","47.0","TN","TENNESSEE","1562.0","3152.0","65560.0"
"45.0","42.0","PA","PENNSYLVANIA","1404.0","2496.0","48643.0"
"45.0","39.0","OH","OHIO","1300.0","2425.0","49156.0"
"45.0","24.0","MD","MARYLAND","1014.0","1802.0","37709.0"
"45.0","34.0","NJ","NEW JERSEY","855.0","1516.0","29316.0"
"45.0","1.0","AL","ALABAMA","840.0","1826.0","35883.0"
"45.0","17.0","IL","ILLINOIS","764.0","1340.0","31535.0"
"45.0","26.0","MI","MICHIGAN","731.0","1403.0","25496.0"
"45.0","53.0","WA","WASHINGTON","671.0","1384.0","30517.0"
"45.0","8.0","CO","COLORADO","658.0","1335.0","24165.0"
"45.0","21.0","KY","KENTUCKY","605.0","1214.0","21966.0"
"45.0","22.0","LA","LOUISIANA","572.0","1166.0","21168.0"
"45.0","25.0","MA","MASSACHUSETTS","565.0","930.0","21543.0"
"45.0","18.0","IN","INDIANA","535.0","1055.0","22362.0"
"45.0","4.0","AZ","ARIZONA","493.0","931.0","19065.0"
"45.0","54.0","WV","WEST VIRGINIA","471.0","860.0","13771.0"
"45.0","29.0","MO","MISSOURI","466.0","960.0","18237.0"
"45.0","9.0","CT","CONNECTICUT","463.0","865.0","14909.0"
"45.0","28.0","MS","MISSISSIPPI","369.0","723.0","14357.0"
"45.0","15.0","HI","HAWAII","333.0","722.0","12749.0"
"45.0","40.0","OK","OKLAHOMA","307.0","631.0","9870.0"
"45.0","20.0","KS","KANSAS","298.0","702.0","13109.0"
"45.0","55.0","WI","WISCONSIN","281.0","523.0","10165.0"
"45.0","5.0","AR","ARKANSAS","276.0","550.0","10219.0"
"45.0","32.0","NV","NEVADA","252.0","435.0","9861.0"
"45.0","11.0","DC","DISTRICT OF COLUMBIA","222.0","303.0","8023.0"
"45.0","41.0","OR","OREGON","222.0","362.0","7227.0"
"45.0","27.0","MN","MINNESOTA","211.0","385.0","10733.0"
"45.0","2.0","AK","ALASKA","185.0","431.0","6528.0"
"45.0","35.0","NM","NEW MEXICO","175.0","371.0","7402.0"
"45.0","19.0","IA","IOWA","169.0","298.0","6040.0"
"45.0","33.0","NH","NEW HAMPSHIRE","167.0","290.0","6941.0"
"45.0","49.0","UT","UTAH","167.0","362.0","6361.0"
"45.0","23.0","ME","MAINE","145.0","261.0","4378.0"
"45.0","10.0","DE","DELAWARE","122.0","255.0","4106.0"
"45.0","31.0","NE","NEBRASKA","103.0","225.0","3974.0"
"45.0","50.0","VT","VERMONT","94.0","164.0","3787.0"
"45.0","44.0","RI","RHODE ISLAND","91.0","169.0","3582.0"
"45.0","30.0","MT","MONTANA","87.0","145.0","2607.0"
"45.0","56.0","WY","WYOMING","77.0","135.0","2511.0"
"45.0","16.0","ID","IDAHO","72.0","162.0","2757.0"
"45.0","46.0","SD","SOUTH DAKOTA","57.0","116.0","2149.0"
"45.0","38.0","ND","NORTH DAKOTA","47.0","91.0","1443.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
