"MISSISSIPPI OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Mississippi (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"28.0","96.0","MS","MS Total Mig - US & For","28582.0","58190.0","1004244.0"
"28.0","97.0","MS","MS Total Mig - US","27848.0","56817.0","978845.0"
"28.0","98.0","MS","MS Total Mig - Foreign","734.0","1373.0","25399.0"
"28.0","28.0","MS","MS Non-Migrants","969077.0","2214468.0","41942298.0"
"28.0","47.0","TN","TENNESSEE","4641.0","9537.0","142011.0"
"28.0","22.0","LA","LOUISIANA","3380.0","7020.0","120818.0"
"28.0","48.0","TX","TEXAS","2976.0","6306.0","110127.0"
"28.0","1.0","AL","ALABAMA","2597.0","5504.0","99163.0"
"28.0","12.0","FL","FLORIDA","1956.0","3759.0","80447.0"
"28.0","13.0","GA","GEORGIA","1487.0","2988.0","46042.0"
"28.0","6.0","CA","CALIFORNIA","999.0","1990.0","37162.0"
"28.0","5.0","AR","ARKANSAS","966.0","2006.0","33344.0"
"28.0","51.0","VA","VIRGINIA","756.0","1573.0","31928.0"
"28.0","37.0","NC","NORTH CAROLINA","747.0","1497.0","26387.0"
"28.0","17.0","IL","ILLINOIS","743.0","1463.0","19685.0"
"28.0","57.0","FR","Foreign","734.0","1373.0","25399.0"
"28.0","29.0","MO","MISSOURI","501.0","1123.0","17318.0"
"28.0","39.0","OH","OHIO","364.0","699.0","11566.0"
"28.0","36.0","NY","NEW YORK","362.0","643.0","10091.0"
"28.0","21.0","KY","KENTUCKY","351.0","751.0","13361.0"
"28.0","40.0","OK","OKLAHOMA","350.0","751.0","12216.0"
"28.0","45.0","SC","SOUTH CAROLINA","342.0","726.0","13916.0"
"28.0","26.0","MI","MICHIGAN","337.0","672.0","9347.0"
"28.0","18.0","IN","INDIANA","310.0","679.0","10912.0"
"28.0","4.0","AZ","ARIZONA","301.0","578.0","11795.0"
"28.0","8.0","CO","COLORADO","301.0","571.0","10850.0"
"28.0","53.0","WA","WASHINGTON","285.0","513.0","10280.0"
"28.0","24.0","MD","MARYLAND","268.0","524.0","11403.0"
"28.0","42.0","PA","PENNSYLVANIA","250.0","466.0","10157.0"
"28.0","55.0","WI","WISCONSIN","233.0","470.0","7144.0"
"28.0","20.0","KS","KANSAS","204.0","433.0","7086.0"
"28.0","32.0","NV","NEVADA","178.0","325.0","7580.0"
"28.0","35.0","NM","NEW MEXICO","138.0","257.0","5016.0"
"28.0","25.0","MA","MASSACHUSETTS","133.0","200.0","3907.0"
"28.0","15.0","HI","HAWAII","123.0","245.0","2903.0"
"28.0","19.0","IA","IOWA","116.0","227.0","3216.0"
"28.0","34.0","NJ","NEW JERSEY","115.0","238.0","4622.0"
"28.0","31.0","NE","NEBRASKA","114.0","220.0","3538.0"
"28.0","2.0","AK","ALASKA","110.0","237.0","4202.0"
"28.0","27.0","MN","MINNESOTA","106.0","230.0","3209.0"
"28.0","49.0","UT","UTAH","93.0","196.0","3052.0"
"28.0","9.0","CT","CONNECTICUT","68.0","123.0","2105.0"
"28.0","41.0","OR","OREGON","66.0","128.0","1557.0"
"28.0","54.0","WV","WEST VIRGINIA","60.0","109.0","2203.0"
"28.0","11.0","DC","DISTRICT OF COLUMBIA","59.0","86.0","1961.0"
"28.0","16.0","ID","IDAHO","51.0","100.0","1742.0"
"28.0","38.0","ND","NORTH DAKOTA","48.0","99.0","1805.0"
"28.0","30.0","MT","MONTANA","45.0","79.0","1902.0"
"28.0","46.0","SD","SOUTH DAKOTA","45.0","80.0","1348.0"
"28.0","56.0","WY","WYOMING","41.0","94.0","1950.0"
"28.0","23.0","ME","MAINE","40.0","87.0","2426.0"
"28.0","10.0","DE","DELAWARE","32.0","75.0","1086.0"
"28.0","44.0","RI","RHODE ISLAND","23.0","59.0","1592.0"
"28.0","33.0","NH","NEW HAMPSHIRE","22.0","51.0","1008.0"
"28.0","50.0","VT","VERMONT","15.0","30.0","359.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
