"KENTUCKY OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Kentucky (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"21.0","96.0","KY","KY Total Mig - US & For","38909.0","77675.0","1508362.0"
"21.0","97.0","KY","KY Total Mig - US","38145.0","76056.0","1478638.0"
"21.0","98.0","KY","KY Total Mig - Foreign","764.0","1619.0","29724.0"
"21.0","21.0","KY","KY Non-Migrants","1485933.0","3272253.0","72238280.0"
"21.0","39.0","OH","OHIO","4869.0","8824.0","175180.0"
"21.0","18.0","IN","INDIANA","4588.0","9012.0","154439.0"
"21.0","47.0","TN","TENNESSEE","4494.0","9099.0","145429.0"
"21.0","12.0","FL","FLORIDA","3138.0","5809.0","162524.0"
"21.0","48.0","TX","TEXAS","2241.0","4912.0","96216.0"
"21.0","13.0","GA","GEORGIA","1534.0","3429.0","58838.0"
"21.0","17.0","IL","ILLINOIS","1386.0","2605.0","50500.0"
"21.0","37.0","NC","NORTH CAROLINA","1302.0","2616.0","50591.0"
"21.0","6.0","CA","CALIFORNIA","1284.0","2435.0","48960.0"
"21.0","51.0","VA","VIRGINIA","1154.0","2352.0","50618.0"
"21.0","1.0","AL","ALABAMA","848.0","1841.0","35217.0"
"21.0","26.0","MI","MICHIGAN","826.0","1662.0","29717.0"
"21.0","29.0","MO","MISSOURI","780.0","1641.0","30393.0"
"21.0","57.0","FR","Foreign","764.0","1619.0","29724.0"
"21.0","36.0","NY","NEW YORK","745.0","1390.0","26167.0"
"21.0","45.0","SC","SOUTH CAROLINA","706.0","1448.0","31445.0"
"21.0","8.0","CO","COLORADO","649.0","1457.0","26158.0"
"21.0","54.0","WV","WEST VIRGINIA","633.0","1332.0","23060.0"
"21.0","42.0","PA","PENNSYLVANIA","599.0","1115.0","26840.0"
"21.0","4.0","AZ","ARIZONA","536.0","1079.0","25983.0"
"21.0","22.0","LA","LOUISIANA","463.0","1046.0","19427.0"
"21.0","53.0","WA","WASHINGTON","457.0","994.0","16959.0"
"21.0","24.0","MD","MARYLAND","399.0","795.0","18311.0"
"21.0","20.0","KS","KANSAS","381.0","1000.0","15288.0"
"21.0","40.0","OK","OKLAHOMA","361.0","830.0","13857.0"
"21.0","28.0","MS","MISSISSIPPI","334.0","671.0","13147.0"
"21.0","55.0","WI","WISCONSIN","295.0","633.0","11250.0"
"21.0","5.0","AR","ARKANSAS","282.0","610.0","9897.0"
"21.0","34.0","NJ","NEW JERSEY","254.0","473.0","11182.0"
"21.0","32.0","NV","NEVADA","216.0","396.0","8324.0"
"21.0","19.0","IA","IOWA","214.0","422.0","8619.0"
"21.0","27.0","MN","MINNESOTA","209.0","413.0","10502.0"
"21.0","25.0","MA","MASSACHUSETTS","201.0","314.0","9432.0"
"21.0","41.0","OR","OREGON","191.0","330.0","6152.0"
"21.0","15.0","HI","HAWAII","189.0","426.0","6138.0"
"21.0","2.0","AK","ALASKA","173.0","414.0","6727.0"
"21.0","35.0","NM","NEW MEXICO","160.0","304.0","5653.0"
"21.0","49.0","UT","UTAH","126.0","298.0","5307.0"
"21.0","9.0","CT","CONNECTICUT","121.0","205.0","5026.0"
"21.0","31.0","NE","NEBRASKA","105.0","200.0","3049.0"
"21.0","11.0","DC","DISTRICT OF COLUMBIA","91.0","104.0","3777.0"
"21.0","23.0","ME","MAINE","84.0","152.0","3351.0"
"21.0","16.0","ID","IDAHO","81.0","168.0","2785.0"
"21.0","30.0","MT","MONTANA","74.0","148.0","2220.0"
"21.0","46.0","SD","SOUTH DAKOTA","70.0","137.0","3154.0"
"21.0","33.0","NH","NEW HAMPSHIRE","68.0","105.0","2466.0"
"21.0","10.0","DE","DELAWARE","59.0","109.0","2808.0"
"21.0","56.0","WY","WYOMING","55.0","110.0","2074.0"
"21.0","44.0","RI","RHODE ISLAND","45.0","76.0","1405.0"
"21.0","50.0","VT","VERMONT","40.0","64.0","1208.0"
"21.0","38.0","ND","NORTH DAKOTA","35.0","51.0","866.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
