"HAWAII OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Hawaii (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"15.0","96.0","HI","HI Total Mig - US & For","23994.0","48898.0","934943.0"
"15.0","97.0","HI","HI Total Mig - US","22486.0","45824.0","874691.0"
"15.0","98.0","HI","HI Total Mig - Foreign","1508.0","3074.0","60253.0"
"15.0","15.0","HI","HI Non-Migrants","500172.0","1022810.0","26235657.0"
"15.0","6.0","CA","CALIFORNIA","4736.0","8599.0","180629.0"
"15.0","48.0","TX","TEXAS","1751.0","3922.0","65683.0"
"15.0","53.0","WA","WASHINGTON","1604.0","3222.0","60591.0"
"15.0","57.0","FR","Foreign","1508.0","3074.0","60253.0"
"15.0","51.0","VA","VIRGINIA","1073.0","2742.0","59507.0"
"15.0","12.0","FL","FLORIDA","1062.0","2079.0","45904.0"
"15.0","32.0","NV","NEVADA","992.0","1804.0","36446.0"
"15.0","8.0","CO","COLORADO","830.0","1721.0","34125.0"
"15.0","4.0","AZ","ARIZONA","742.0","1411.0","28236.0"
"15.0","41.0","OR","OREGON","723.0","1224.0","23630.0"
"15.0","37.0","NC","NORTH CAROLINA","694.0","1589.0","25760.0"
"15.0","13.0","GA","GEORGIA","662.0","1743.0","24555.0"
"15.0","36.0","NY","NEW YORK","662.0","1076.0","21891.0"
"15.0","24.0","MD","MARYLAND","444.0","1034.0","23183.0"
"15.0","17.0","IL","ILLINOIS","390.0","737.0","14317.0"
"15.0","49.0","UT","UTAH","368.0","865.0","11408.0"
"15.0","45.0","SC","SOUTH CAROLINA","337.0","790.0","13477.0"
"15.0","47.0","TN","TENNESSEE","326.0","773.0","12964.0"
"15.0","42.0","PA","PENNSYLVANIA","325.0","582.0","14055.0"
"15.0","2.0","AK","ALASKA","300.0","646.0","10697.0"
"15.0","39.0","OH","OHIO","296.0","559.0","10039.0"
"15.0","29.0","MO","MISSOURI","289.0","672.0","10316.0"
"15.0","40.0","OK","OKLAHOMA","270.0","631.0","8409.0"
"15.0","26.0","MI","MICHIGAN","256.0","444.0","8557.0"
"15.0","20.0","KS","KANSAS","254.0","666.0","10607.0"
"15.0","1.0","AL","ALABAMA","249.0","617.0","10516.0"
"15.0","34.0","NJ","NEW JERSEY","225.0","416.0","9221.0"
"15.0","21.0","KY","KENTUCKY","216.0","541.0","7020.0"
"15.0","25.0","MA","MASSACHUSETTS","212.0","335.0","8753.0"
"15.0","22.0","LA","LOUISIANA","208.0","456.0","7492.0"
"15.0","27.0","MN","MINNESOTA","202.0","346.0","8526.0"
"15.0","35.0","NM","NEW MEXICO","195.0","389.0","7969.0"
"15.0","18.0","IN","INDIANA","190.0","326.0","6023.0"
"15.0","55.0","WI","WISCONSIN","162.0","303.0","5824.0"
"15.0","16.0","ID","IDAHO","148.0","297.0","4827.0"
"15.0","9.0","CT","CONNECTICUT","133.0","282.0","5764.0"
"15.0","5.0","AR","ARKANSAS","119.0","276.0","3192.0"
"15.0","31.0","NE","NEBRASKA","109.0","245.0","4657.0"
"15.0","28.0","MS","MISSISSIPPI","102.0","231.0","3657.0"
"15.0","30.0","MT","MONTANA","97.0","185.0","4335.0"
"15.0","19.0","IA","IOWA","89.0","166.0","3019.0"
"15.0","11.0","DC","DISTRICT OF COLUMBIA","65.0","96.0","3518.0"
"15.0","56.0","WY","WYOMING","54.0","100.0","1969.0"
"15.0","44.0","RI","RHODE ISLAND","53.0","144.0","3282.0"
"15.0","23.0","ME","MAINE","48.0","102.0","2015.0"
"15.0","46.0","SD","SOUTH DAKOTA","48.0","98.0","2026.0"
"15.0","38.0","ND","NORTH DAKOTA","46.0","103.0","1478.0"
"15.0","33.0","NH","NEW HAMPSHIRE","45.0","78.0","1801.0"
"15.0","54.0","WV","WEST VIRGINIA","38.0","74.0","1097.0"
"15.0","50.0","VT","VERMONT","28.0","42.0","649.0"
"15.0","10.0","DE","DELAWARE","19.0","45.0","1076.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
