"VIRGINIA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Virginia (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"51.0","96.0","VA","VA Total Mig - US & For","108740.0","207246.0","5708319.0"
"51.0","97.0","VA","VA Total Mig - US","102827.0","194590.0","5347442.0"
"51.0","98.0","VA","VA Total Mig - Foreign","5913.0","12656.0","360877.0"
"51.0","51.0","VA","VA Non-Migrants","2903069.0","6198312.0","193065429.0"
"51.0","24.0","MD","MARYLAND","10847.0","18993.0","590450.0"
"51.0","37.0","NC","NORTH CAROLINA","10705.0","21310.0","470822.0"
"51.0","12.0","FL","FLORIDA","9023.0","17253.0","519921.0"
"51.0","6.0","CA","CALIFORNIA","6793.0","13228.0","366727.0"
"51.0","48.0","TX","TEXAS","6664.0","14279.0","391765.0"
"51.0","57.0","FR","Foreign","5913.0","12656.0","360877.0"
"51.0","11.0","DC","DISTRICT OF COLUMBIA","5295.0","6650.0","323771.0"
"51.0","36.0","NY","NEW YORK","5241.0","8708.0","210387.0"
"51.0","42.0","PA","PENNSYLVANIA","4476.0","7888.0","227754.0"
"51.0","13.0","GA","GEORGIA","4145.0","8663.0","195946.0"
"51.0","47.0","TN","TENNESSEE","3336.0","6533.0","145754.0"
"51.0","45.0","SC","SOUTH CAROLINA","2787.0","5364.0","151155.0"
"51.0","54.0","WV","WEST VIRGINIA","2489.0","4766.0","96371.0"
"51.0","39.0","OH","OHIO","2333.0","4526.0","112283.0"
"51.0","34.0","NJ","NEW JERSEY","2207.0","3916.0","115465.0"
"51.0","17.0","IL","ILLINOIS","2096.0","3891.0","118664.0"
"51.0","8.0","CO","COLORADO","1888.0","3734.0","120547.0"
"51.0","25.0","MA","MASSACHUSETTS","1632.0","2605.0","89022.0"
"51.0","53.0","WA","WASHINGTON","1563.0","3269.0","93463.0"
"51.0","26.0","MI","MICHIGAN","1331.0","2485.0","62484.0"
"51.0","4.0","AZ","ARIZONA","1323.0","2487.0","80275.0"
"51.0","1.0","AL","ALABAMA","1240.0","2669.0","74025.0"
"51.0","21.0","KY","KENTUCKY","1095.0","2329.0","50734.0"
"51.0","22.0","LA","LOUISIANA","1080.0","2196.0","49286.0"
"51.0","29.0","MO","MISSOURI","1036.0","2070.0","56654.0"
"51.0","15.0","HI","HAWAII","968.0","2254.0","52647.0"
"51.0","18.0","IN","INDIANA","909.0","1830.0","41023.0"
"51.0","9.0","CT","CONNECTICUT","865.0","1609.0","48116.0"
"51.0","40.0","OK","OKLAHOMA","711.0","1540.0","30702.0"
"51.0","20.0","KS","KANSAS","652.0","1557.0","37752.0"
"51.0","32.0","NV","NEVADA","630.0","1160.0","33452.0"
"51.0","28.0","MS","MISSISSIPPI","621.0","1308.0","26867.0"
"51.0","10.0","DE","DELAWARE","618.0","1167.0","33263.0"
"51.0","55.0","WI","WISCONSIN","597.0","1180.0","31177.0"
"51.0","41.0","OR","OREGON","565.0","996.0","29199.0"
"51.0","27.0","MN","MINNESOTA","555.0","1027.0","32654.0"
"51.0","49.0","UT","UTAH","495.0","1060.0","25762.0"
"51.0","35.0","NM","NEW MEXICO","481.0","946.0","29793.0"
"51.0","5.0","AR","ARKANSAS","408.0","840.0","18908.0"
"51.0","2.0","AK","ALASKA","392.0","876.0","16736.0"
"51.0","19.0","IA","IOWA","383.0","753.0","18504.0"
"51.0","23.0","ME","MAINE","361.0","675.0","16763.0"
"51.0","44.0","RI","RHODE ISLAND","354.0","750.0","20765.0"
"51.0","33.0","NH","NEW HAMPSHIRE","352.0","653.0","20505.0"
"51.0","31.0","NE","NEBRASKA","302.0","680.0","17129.0"
"51.0","16.0","ID","IDAHO","240.0","499.0","14695.0"
"51.0","50.0","VT","VERMONT","192.0","326.0","9921.0"
"51.0","30.0","MT","MONTANA","182.0","353.0","9717.0"
"51.0","56.0","WY","WYOMING","127.0","246.0","6160.0"
"51.0","46.0","SD","SOUTH DAKOTA","122.0","237.0","5858.0"
"51.0","38.0","ND","NORTH DAKOTA","120.0","256.0","5651.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
