"NORTH CAROLINA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from North Carolina (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"37.0","96.0","NC","NC Total Mig - US & For","99500.0","196753.0","4036908.0"
"37.0","97.0","NC","NC Total Mig - US","95945.0","189458.0","3892068.0"
"37.0","98.0","NC","NC Total Mig - Foreign","3555.0","7295.0","144840.0"
"37.0","37.0","NC","NC Non-Migrants","3231387.0","7218211.0","164140024.0"
"37.0","45.0","SC","SOUTH CAROLINA","10238.0","20355.0","423790.0"
"37.0","12.0","FL","FLORIDA","10061.0","19050.0","396682.0"
"37.0","51.0","VA","VIRGINIA","9745.0","19511.0","405613.0"
"37.0","13.0","GA","GEORGIA","6146.0","12458.0","251283.0"
"37.0","48.0","TX","TEXAS","6068.0","13410.0","251766.0"
"37.0","36.0","NY","NEW YORK","5615.0","9886.0","184591.0"
"37.0","6.0","CA","CALIFORNIA","5078.0","10056.0","231953.0"
"37.0","57.0","FR","Foreign","3555.0","7295.0","144840.0"
"37.0","42.0","PA","PENNSYLVANIA","3405.0","6334.0","141904.0"
"37.0","47.0","TN","TENNESSEE","3289.0","6580.0","138917.0"
"37.0","24.0","MD","MARYLAND","3104.0","5879.0","128513.0"
"37.0","39.0","OH","OHIO","2744.0","5254.0","102493.0"
"37.0","34.0","NJ","NEW JERSEY","2070.0","3885.0","93323.0"
"37.0","17.0","IL","ILLINOIS","1762.0","3223.0","74783.0"
"37.0","26.0","MI","MICHIGAN","1678.0","3282.0","56726.0"
"37.0","8.0","CO","COLORADO","1637.0","3282.0","69708.0"
"37.0","25.0","MA","MASSACHUSETTS","1501.0","2541.0","63819.0"
"37.0","1.0","AL","ALABAMA","1476.0","3208.0","64372.0"
"37.0","4.0","AZ","ARIZONA","1443.0","2941.0","59939.0"
"37.0","21.0","KY","KENTUCKY","1287.0","2800.0","50854.0"
"37.0","53.0","WA","WASHINGTON","1283.0","2629.0","56836.0"
"37.0","18.0","IN","INDIANA","1212.0","2492.0","49602.0"
"37.0","54.0","WV","WEST VIRGINIA","1199.0","2443.0","34833.0"
"37.0","29.0","MO","MISSOURI","1064.0","2191.0","44625.0"
"37.0","22.0","LA","LOUISIANA","1051.0","2254.0","37534.0"
"37.0","9.0","CT","CONNECTICUT","861.0","1536.0","42989.0"
"37.0","55.0","WI","WISCONSIN","759.0","1428.0","29588.0"
"37.0","40.0","OK","OKLAHOMA","756.0","1736.0","27249.0"
"37.0","11.0","DC","DISTRICT OF COLUMBIA","705.0","934.0","25161.0"
"37.0","20.0","KS","KANSAS","670.0","1639.0","29012.0"
"37.0","28.0","MS","MISSISSIPPI","645.0","1351.0","23140.0"
"37.0","15.0","HI","HAWAII","632.0","1424.0","22734.0"
"37.0","27.0","MN","MINNESOTA","604.0","1170.0","26895.0"
"37.0","5.0","AR","ARKANSAS","589.0","1264.0","25444.0"
"37.0","41.0","OR","OREGON","559.0","1022.0","19255.0"
"37.0","32.0","NV","NEVADA","525.0","987.0","20699.0"
"37.0","19.0","IA","IOWA","520.0","1092.0","22875.0"
"37.0","35.0","NM","NEW MEXICO","439.0","879.0","17435.0"
"37.0","33.0","NH","NEW HAMPSHIRE","421.0","747.0","20297.0"
"37.0","23.0","ME","MAINE","396.0","768.0","15387.0"
"37.0","49.0","UT","UTAH","391.0","896.0","15902.0"
"37.0","2.0","AK","ALASKA","386.0","840.0","13944.0"
"37.0","10.0","DE","DELAWARE","352.0","668.0","13642.0"
"37.0","31.0","NE","NEBRASKA","273.0","593.0","11353.0"
"37.0","16.0","ID","IDAHO","247.0","565.0","11468.0"
"37.0","44.0","RI","RHODE ISLAND","245.0","457.0","8062.0"
"37.0","50.0","VT","VERMONT","209.0","351.0","8870.0"
"37.0","30.0","MT","MONTANA","194.0","327.0","7515.0"
"37.0","56.0","WY","WYOMING","170.0","319.0","9573.0"
"37.0","38.0","ND","NORTH DAKOTA","134.0","298.0","4919.0"
"37.0","46.0","SD","SOUTH DAKOTA","107.0","223.0","4199.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
