"MISSOURI OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Missouri (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"29.0","96.0","MO","MO Total Mig - US & For","57807.0","108936.0","2509063.0"
"29.0","97.0","MO","MO Total Mig - US","56599.0","106692.0","2456658.0"
"29.0","98.0","MO","MO Total Mig - Foreign","1208.0","2244.0","52405.0"
"29.0","29.0","MO","MO Non-Migrants","2159636.0","4640066.0","113361904.0"
"29.0","20.0","KS","KANSAS","8691.0","15725.0","356359.0"
"29.0","17.0","IL","ILLINOIS","5949.0","10378.0","226055.0"
"29.0","48.0","TX","TEXAS","5086.0","10200.0","228186.0"
"29.0","6.0","CA","CALIFORNIA","3207.0","5682.0","150162.0"
"29.0","12.0","FL","FLORIDA","3134.0","5624.0","177056.0"
"29.0","5.0","AR","ARKANSAS","2713.0","5476.0","83005.0"
"29.0","40.0","OK","OKLAHOMA","1985.0","4023.0","67480.0"
"29.0","8.0","CO","COLORADO","1716.0","3127.0","79931.0"
"29.0","19.0","IA","IOWA","1501.0","2762.0","50993.0"
"29.0","4.0","AZ","ARIZONA","1411.0","2632.0","61583.0"
"29.0","47.0","TN","TENNESSEE","1373.0","2685.0","59483.0"
"29.0","13.0","GA","GEORGIA","1320.0","2690.0","59595.0"
"29.0","57.0","FR","Foreign","1208.0","2244.0","52405.0"
"29.0","37.0","NC","NORTH CAROLINA","1170.0","2450.0","55283.0"
"29.0","18.0","IN","INDIANA","1139.0","2255.0","58264.0"
"29.0","51.0","VA","VIRGINIA","1098.0","2166.0","57577.0"
"29.0","36.0","NY","NEW YORK","1092.0","1783.0","47077.0"
"29.0","39.0","OH","OHIO","972.0","1831.0","48684.0"
"29.0","53.0","WA","WASHINGTON","962.0","1968.0","41097.0"
"29.0","31.0","NE","NEBRASKA","897.0","1713.0","33430.0"
"29.0","26.0","MI","MICHIGAN","867.0","1700.0","41213.0"
"29.0","21.0","KY","KENTUCKY","788.0","1613.0","30254.0"
"29.0","22.0","LA","LOUISIANA","689.0","1384.0","27776.0"
"29.0","55.0","WI","WISCONSIN","669.0","1272.0","30204.0"
"29.0","42.0","PA","PENNSYLVANIA","668.0","1237.0","35346.0"
"29.0","27.0","MN","MINNESOTA","665.0","1327.0","27024.0"
"29.0","1.0","AL","ALABAMA","619.0","1238.0","26936.0"
"29.0","24.0","MD","MARYLAND","526.0","977.0","30243.0"
"29.0","32.0","NV","NEVADA","493.0","881.0","32725.0"
"29.0","45.0","SC","SOUTH CAROLINA","492.0","952.0","22784.0"
"29.0","41.0","OR","OREGON","485.0","896.0","16945.0"
"29.0","28.0","MS","MISSISSIPPI","482.0","994.0","17585.0"
"29.0","25.0","MA","MASSACHUSETTS","428.0","699.0","23801.0"
"29.0","34.0","NJ","NEW JERSEY","365.0","665.0","20843.0"
"29.0","35.0","NM","NEW MEXICO","346.0","630.0","14459.0"
"29.0","49.0","UT","UTAH","332.0","743.0","12922.0"
"29.0","15.0","HI","HAWAII","305.0","606.0","12086.0"
"29.0","2.0","AK","ALASKA","263.0","606.0","10039.0"
"29.0","46.0","SD","SOUTH DAKOTA","214.0","408.0","10505.0"
"29.0","11.0","DC","DISTRICT OF COLUMBIA","210.0","249.0","9193.0"
"29.0","9.0","CT","CONNECTICUT","186.0","322.0","12724.0"
"29.0","56.0","WY","WYOMING","175.0","326.0","6375.0"
"29.0","16.0","ID","IDAHO","173.0","383.0","7428.0"
"29.0","30.0","MT","MONTANA","173.0","323.0","10811.0"
"29.0","38.0","ND","NORTH DAKOTA","135.0","265.0","5522.0"
"29.0","54.0","WV","WEST VIRGINIA","119.0","230.0","4477.0"
"29.0","33.0","NH","NEW HAMPSHIRE","76.0","130.0","4296.0"
"29.0","23.0","ME","MAINE","71.0","137.0","2285.0"
"29.0","10.0","DE","DELAWARE","66.0","120.0","3111.0"
"29.0","44.0","RI","RHODE ISLAND","62.0","123.0","3134.0"
"29.0","50.0","VT","VERMONT","41.0","86.0","2310.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
