"COLORADO OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Colorado (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"8.0","96.0","CO","CO Total Mig - US & For","66479.0","124964.0","3206684.0"
"8.0","97.0","CO","CO Total Mig - US","64332.0","120974.0","3116583.0"
"8.0","98.0","CO","CO Total Mig - Foreign","2147.0","3990.0","90101.0"
"8.0","8.0","CO","CO Non-Migrants","1775382.0","3826019.0","108367489.0"
"8.0","6.0","CA","CALIFORNIA","7497.0","13275.0","338515.0"
"8.0","48.0","TX","TEXAS","7141.0","14962.0","346473.0"
"8.0","4.0","AZ","ARIZONA","3672.0","6961.0","157065.0"
"8.0","12.0","FL","FLORIDA","3336.0","5872.0","147777.0"
"8.0","35.0","NM","NEW MEXICO","2403.0","4838.0","92818.0"
"8.0","53.0","WA","WASHINGTON","2268.0","4199.0","103507.0"
"8.0","57.0","FR","Foreign","2147.0","3990.0","90101.0"
"8.0","20.0","KS","KANSAS","1816.0","3804.0","69996.0"
"8.0","17.0","IL","ILLINOIS","1786.0","3084.0","84844.0"
"8.0","36.0","NY","NEW YORK","1708.0","2528.0","65857.0"
"8.0","51.0","VA","VIRGINIA","1691.0","3439.0","96303.0"
"8.0","56.0","WY","WYOMING","1675.0","3167.0","67919.0"
"8.0","49.0","UT","UTAH","1507.0","3191.0","61788.0"
"8.0","40.0","OK","OKLAHOMA","1440.0","2994.0","51048.0"
"8.0","31.0","NE","NEBRASKA","1425.0","2726.0","52901.0"
"8.0","13.0","GA","GEORGIA","1385.0","2746.0","66727.0"
"8.0","29.0","MO","MISSOURI","1331.0","2514.0","52410.0"
"8.0","41.0","OR","OREGON","1308.0","2226.0","53717.0"
"8.0","37.0","NC","NORTH CAROLINA","1305.0","2573.0","56387.0"
"8.0","32.0","NV","NEVADA","1208.0","2175.0","59538.0"
"8.0","42.0","PA","PENNSYLVANIA","1164.0","2117.0","57473.0"
"8.0","26.0","MI","MICHIGAN","1101.0","1967.0","45333.0"
"8.0","39.0","OH","OHIO","1082.0","1886.0","42628.0"
"8.0","27.0","MN","MINNESOTA","1080.0","1879.0","47331.0"
"8.0","47.0","TN","TENNESSEE","898.0","1763.0","38465.0"
"8.0","19.0","IA","IOWA","826.0","1560.0","32692.0"
"8.0","55.0","WI","WISCONSIN","795.0","1378.0","29261.0"
"8.0","24.0","MD","MARYLAND","792.0","1445.0","42027.0"
"8.0","25.0","MA","MASSACHUSETTS","786.0","1207.0","39741.0"
"8.0","30.0","MT","MONTANA","786.0","1309.0","316950.0"
"8.0","18.0","IN","INDIANA","726.0","1356.0","30875.0"
"8.0","22.0","LA","LOUISIANA","723.0","1417.0","28759.0"
"8.0","16.0","ID","IDAHO","646.0","1362.0","37774.0"
"8.0","15.0","HI","HAWAII","645.0","1235.0","27575.0"
"8.0","2.0","AK","ALASKA","617.0","1153.0","26165.0"
"8.0","46.0","SD","SOUTH DAKOTA","564.0","1054.0","23365.0"
"8.0","1.0","AL","ALABAMA","563.0","1251.0","24828.0"
"8.0","21.0","KY","KENTUCKY","563.0","1225.0","21063.0"
"8.0","5.0","AR","ARKANSAS","560.0","1194.0","25661.0"
"8.0","34.0","NJ","NEW JERSEY","547.0","912.0","30181.0"
"8.0","45.0","SC","SOUTH CAROLINA","540.0","1112.0","26360.0"
"8.0","38.0","ND","NORTH DAKOTA","416.0","758.0","17157.0"
"8.0","28.0","MS","MISSISSIPPI","406.0","724.0","13895.0"
"8.0","9.0","CT","CONNECTICUT","329.0","495.0","15909.0"
"8.0","11.0","DC","DISTRICT OF COLUMBIA","279.0","340.0","12146.0"
"8.0","23.0","ME","MAINE","229.0","354.0","8284.0"
"8.0","33.0","NH","NEW HAMPSHIRE","229.0","337.0","7813.0"
"8.0","50.0","VT","VERMONT","196.0","261.0","5968.0"
"8.0","54.0","WV","WEST VIRGINIA","167.0","359.0","7350.0"
"8.0","44.0","RI","RHODE ISLAND","102.0","165.0","4475.0"
"8.0","10.0","DE","DELAWARE","73.0","125.0","3488.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
