"NEW JERSEY OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from New Jersey (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"34.0","96.0","NJ","NJ Total Mig - US & For","90646.0","156784.0","5747678.0"
"34.0","97.0","NJ","NJ Total Mig - US","87630.0","151111.0","5542167.0"
"34.0","98.0","NJ","NJ Total Mig - Foreign","3016.0","5673.0","205510.0"
"34.0","34.0","NJ","NJ Non-Migrants","3338239.0","7163921.0","245417037.0"
"34.0","36.0","NY","NEW YORK","20872.0","32234.0","1282775.0"
"34.0","42.0","PA","PENNSYLVANIA","13936.0","23932.0","825814.0"
"34.0","12.0","FL","FLORIDA","10511.0","18496.0","778603.0"
"34.0","6.0","CA","CALIFORNIA","4575.0","7715.0","356195.0"
"34.0","37.0","NC","NORTH CAROLINA","3944.0","7631.0","215702.0"
"34.0","51.0","VA","VIRGINIA","3591.0","6389.0","207374.0"
"34.0","48.0","TX","TEXAS","3099.0","6145.0","199010.0"
"34.0","57.0","FR","Foreign","3016.0","5673.0","205510.0"
"34.0","24.0","MD","MARYLAND","3006.0","5243.0","195360.0"
"34.0","13.0","GA","GEORGIA","2558.0","5106.0","139555.0"
"34.0","25.0","MA","MASSACHUSETTS","2468.0","3888.0","161863.0"
"34.0","45.0","SC","SOUTH CAROLINA","1730.0","3293.0","103374.0"
"34.0","9.0","CT","CONNECTICUT","1644.0","2996.0","149864.0"
"34.0","10.0","DE","DELAWARE","1538.0","2757.0","81489.0"
"34.0","17.0","IL","ILLINOIS","1306.0","2412.0","92594.0"
"34.0","39.0","OH","OHIO","1135.0","2146.0","70161.0"
"34.0","4.0","AZ","ARIZONA","1050.0","1911.0","67195.0"
"34.0","8.0","CO","COLORADO","900.0","1505.0","64725.0"
"34.0","47.0","TN","TENNESSEE","749.0","1441.0","46746.0"
"34.0","26.0","MI","MICHIGAN","649.0","1208.0","39583.0"
"34.0","53.0","WA","WASHINGTON","648.0","1202.0","44018.0"
"34.0","11.0","DC","DISTRICT OF COLUMBIA","613.0","705.0","27942.0"
"34.0","32.0","NV","NEVADA","515.0","871.0","27178.0"
"34.0","18.0","IN","INDIANA","433.0","840.0","29400.0"
"34.0","29.0","MO","MISSOURI","399.0","756.0","25530.0"
"34.0","27.0","MN","MINNESOTA","381.0","721.0","27734.0"
"34.0","21.0","KY","KENTUCKY","358.0","637.0","18321.0"
"34.0","22.0","LA","LOUISIANA","344.0","576.0","14277.0"
"34.0","44.0","RI","RHODE ISLAND","343.0","556.0","19910.0"
"34.0","1.0","AL","ALABAMA","328.0","625.0","15025.0"
"34.0","33.0","NH","NEW HAMPSHIRE","318.0","531.0","20609.0"
"34.0","19.0","IA","IOWA","304.0","580.0","14613.0"
"34.0","15.0","HI","HAWAII","300.0","463.0","11076.0"
"34.0","23.0","ME","MAINE","292.0","515.0","17563.0"
"34.0","55.0","WI","WISCONSIN","272.0","510.0","16754.0"
"34.0","50.0","VT","VERMONT","269.0","424.0","13609.0"
"34.0","41.0","OR","OREGON","268.0","456.0","14009.0"
"34.0","54.0","WV","WEST VIRGINIA","253.0","491.0","10136.0"
"34.0","49.0","UT","UTAH","251.0","478.0","15609.0"
"34.0","40.0","OK","OKLAHOMA","230.0","448.0","9277.0"
"34.0","20.0","KS","KANSAS","206.0","411.0","11861.0"
"34.0","35.0","NM","NEW MEXICO","205.0","338.0","12883.0"
"34.0","5.0","AR","ARKANSAS","197.0","366.0","15000.0"
"34.0","28.0","MS","MISSISSIPPI","132.0","245.0","6172.0"
"34.0","2.0","AK","ALASKA","115.0","232.0","4448.0"
"34.0","31.0","NE","NEBRASKA","115.0","202.0","6998.0"
"34.0","30.0","MT","MONTANA","79.0","129.0","3322.0"
"34.0","16.0","ID","IDAHO","76.0","134.0","3658.0"
"34.0","56.0","WY","WYOMING","44.0","70.0","3612.0"
"34.0","38.0","ND","NORTH DAKOTA","43.0","77.0","2396.0"
"34.0","46.0","SD","SOUTH DAKOTA","38.0","74.0","1247.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
