"DISTRICT OF COLUMBIA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from District of Columbia (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"11.0","96.0","DC","DC Total Mig - US & For","23379.0","36080.0","1502329.0"
"11.0","97.0","DC","DC Total Mig - US","22606.0","34840.0","1450389.0"
"11.0","98.0","DC","DC Total Mig - Foreign","773.0","1240.0","51940.0"
"11.0","11.0","DC","DC Non-Migrants","216804.0","363059.0","15362457.0"
"11.0","24.0","MD","MARYLAND","8466.0","15334.0","459026.0"
"11.0","51.0","VA","VIRGINIA","4756.0","7030.0","430529.0"
"11.0","36.0","NY","NEW YORK","1389.0","1668.0","82665.0"
"11.0","6.0","CA","CALIFORNIA","1199.0","1510.0","76146.0"
"11.0","57.0","FR","Foreign","773.0","1240.0","51940.0"
"11.0","42.0","PA","PENNSYLVANIA","607.0","791.0","31664.0"
"11.0","12.0","FL","FLORIDA","565.0","815.0","43502.0"
"11.0","25.0","MA","MASSACHUSETTS","531.0","675.0","38420.0"
"11.0","48.0","TX","TEXAS","526.0","749.0","36699.0"
"11.0","37.0","NC","NORTH CAROLINA","496.0","779.0","22603.0"
"11.0","17.0","IL","ILLINOIS","401.0","487.0","21482.0"
"11.0","13.0","GA","GEORGIA","320.0","477.0","15739.0"
"11.0","34.0","NJ","NEW JERSEY","283.0","354.0","17068.0"
"11.0","39.0","OH","OHIO","240.0","315.0","12273.0"
"11.0","53.0","WA","WASHINGTON","234.0","310.0","14842.0"
"11.0","8.0","CO","COLORADO","212.0","312.0","16839.0"
"11.0","9.0","CT","CONNECTICUT","179.0","226.0","12006.0"
"11.0","26.0","MI","MICHIGAN","175.0","208.0","8104.0"
"11.0","47.0","TN","TENNESSEE","154.0","187.0","7638.0"
"11.0","45.0","SC","SOUTH CAROLINA","153.0","237.0","8376.0"
"11.0","22.0","LA","LOUISIANA","119.0","172.0","5917.0"
"11.0","4.0","AZ","ARIZONA","110.0","149.0","6437.0"
"11.0","29.0","MO","MISSOURI","109.0","142.0","5803.0"
"11.0","27.0","MN","MINNESOTA","108.0","148.0","4960.0"
"11.0","41.0","OR","OREGON","96.0","135.0","5658.0"
"11.0","18.0","IN","INDIANA","90.0","125.0","4530.0"
"11.0","55.0","WI","WISCONSIN","90.0","112.0","4555.0"
"11.0","10.0","DE","DELAWARE","75.0","103.0","6497.0"
"11.0","21.0","KY","KENTUCKY","74.0","90.0","3822.0"
"11.0","1.0","AL","ALABAMA","71.0","99.0","4168.0"
"11.0","35.0","NM","NEW MEXICO","61.0","81.0","3530.0"
"11.0","54.0","WV","WEST VIRGINIA","61.0","89.0","2118.0"
"11.0","15.0","HI","HAWAII","58.0","93.0","2861.0"
"11.0","20.0","KS","KANSAS","51.0","71.0","2444.0"
"11.0","32.0","NV","NEVADA","51.0","60.0","2541.0"
"11.0","33.0","NH","NEW HAMPSHIRE","51.0","69.0","3334.0"
"11.0","19.0","IA","IOWA","49.0","59.0","1832.0"
"11.0","23.0","ME","MAINE","49.0","64.0","3527.0"
"11.0","50.0","VT","VERMONT","47.0","62.0","3764.0"
"11.0","44.0","RI","RHODE ISLAND","46.0","53.0","2382.0"
"11.0","28.0","MS","MISSISSIPPI","38.0","59.0","1916.0"
"11.0","5.0","AR","ARKANSAS","37.0","54.0","1565.0"
"11.0","49.0","UT","UTAH","30.0","38.0","1259.0"
"11.0","40.0","OK","OKLAHOMA","29.0","42.0","1480.0"
"11.0","2.0","AK","ALASKA","26.0","48.0","1458.0"
"11.0","31.0","NE","NEBRASKA","22.0","46.0","1587.0"
"11.0","30.0","MT","MONTANA","18.0","27.0","1351.0"
"11.0","16.0","ID","IDAHO","17.0","22.0","1121.0"
"11.0","46.0","SD","SOUTH DAKOTA","17.0","25.0","1022.0"
"11.0","56.0","WY","WYOMING","12.0","20.0","752.0"
"11.0","38.0","ND","NORTH DAKOTA","d","d","d"
"d - Data has been suppressed to prevent disclosure.","","","","","",""
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
