"UTAH OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Utah (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"49.0","96.0","UT","UT Total Mig - US & For","28018.0","62579.0","1084185.0"
"49.0","97.0","UT","UT Total Mig - US","27234.0","60982.0","1053787.0"
"49.0","98.0","UT","UT Total Mig - Foreign","784.0","1597.0","30399.0"
"49.0","49.0","UT","UT Non-Migrants","868991.0","2262366.0","47473853.0"
"49.0","6.0","CA","CALIFORNIA","4226.0","9174.0","158249.0"
"49.0","4.0","AZ","ARIZONA","2263.0","5229.0","89291.0"
"49.0","48.0","TX","TEXAS","2010.0","4850.0","82776.0"
"49.0","16.0","ID","IDAHO","1879.0","4548.0","61800.0"
"49.0","32.0","NV","NEVADA","1758.0","3840.0","72905.0"
"49.0","53.0","WA","WASHINGTON","1550.0","3450.0","59340.0"
"49.0","8.0","CO","COLORADO","1525.0","3372.0","61589.0"
"49.0","41.0","OR","OREGON","934.0","1901.0","32982.0"
"49.0","12.0","FL","FLORIDA","903.0","1880.0","31028.0"
"49.0","57.0","FR","Foreign","784.0","1597.0","30399.0"
"49.0","56.0","WY","WYOMING","731.0","1747.0","30157.0"
"49.0","51.0","VA","VIRGINIA","633.0","1451.0","27857.0"
"49.0","36.0","NY","NEW YORK","545.0","981.0","19121.0"
"49.0","35.0","NM","NEW MEXICO","522.0","1254.0","19262.0"
"49.0","17.0","IL","ILLINOIS","406.0","870.0","15238.0"
"49.0","37.0","NC","NORTH CAROLINA","405.0","894.0","16306.0"
"49.0","30.0","MT","MONTANA","392.0","834.0","16019.0"
"49.0","13.0","GA","GEORGIA","388.0","900.0","16321.0"
"49.0","42.0","PA","PENNSYLVANIA","383.0","875.0","17758.0"
"49.0","39.0","OH","OHIO","381.0","897.0","16773.0"
"49.0","29.0","MO","MISSOURI","355.0","842.0","12133.0"
"49.0","25.0","MA","MASSACHUSETTS","297.0","498.0","10660.0"
"49.0","26.0","MI","MICHIGAN","296.0","636.0","12116.0"
"49.0","40.0","OK","OKLAHOMA","278.0","729.0","9668.0"
"49.0","47.0","TN","TENNESSEE","275.0","616.0","10958.0"
"49.0","2.0","AK","ALASKA","272.0","661.0","10890.0"
"49.0","15.0","HI","HAWAII","271.0","598.0","9154.0"
"49.0","24.0","MD","MARYLAND","261.0","553.0","14316.0"
"49.0","18.0","IN","INDIANA","240.0","587.0","9506.0"
"49.0","27.0","MN","MINNESOTA","235.0","490.0","9898.0"
"49.0","20.0","KS","KANSAS","230.0","568.0","7934.0"
"49.0","19.0","IA","IOWA","214.0","533.0","7027.0"
"49.0","55.0","WI","WISCONSIN","200.0","410.0","8565.0"
"49.0","31.0","NE","NEBRASKA","193.0","471.0","5593.0"
"49.0","21.0","KY","KENTUCKY","179.0","409.0","5877.0"
"49.0","1.0","AL","ALABAMA","172.0","402.0","6355.0"
"49.0","34.0","NJ","NEW JERSEY","171.0","348.0","8317.0"
"49.0","45.0","SC","SOUTH CAROLINA","163.0","361.0","5755.0"
"49.0","5.0","AR","ARKANSAS","156.0","364.0","6555.0"
"49.0","22.0","LA","LOUISIANA","149.0","320.0","6132.0"
"49.0","9.0","CT","CONNECTICUT","120.0","254.0","3901.0"
"49.0","38.0","ND","NORTH DAKOTA","107.0","238.0","4899.0"
"49.0","46.0","SD","SOUTH DAKOTA","107.0","240.0","3783.0"
"49.0","28.0","MS","MISSISSIPPI","80.0","216.0","2278.0"
"49.0","33.0","NH","NEW HAMPSHIRE","72.0","135.0","5220.0"
"49.0","50.0","VT","VERMONT","71.0","123.0","2104.0"
"49.0","23.0","ME","MAINE","70.0","140.0","2431.0"
"49.0","11.0","DC","DISTRICT OF COLUMBIA","63.0","79.0","2290.0"
"49.0","54.0","WV","WEST VIRGINIA","51.0","113.0","2356.0"
"49.0","44.0","RI","RHODE ISLAND","28.0","46.0","1351.0"
"49.0","10.0","DE","DELAWARE","24.0","55.0","997.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
