"DELAWARE OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Delaware (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"10.0","96.0","DE","DE Total Mig - US & For","12387.0","22677.0","595578.0"
"10.0","97.0","DE","DE Total Mig - US","12068.0","22055.0","580630.0"
"10.0","98.0","DE","DE Total Mig - Foreign","319.0","622.0","14948.0"
"10.0","10.0","DE","DE Non-Migrants","330085.0","693039.0","19436589.0"
"10.0","42.0","PA","PENNSYLVANIA","2762.0","5107.0","141807.0"
"10.0","24.0","MD","MARYLAND","2164.0","3885.0","87646.0"
"10.0","34.0","NJ","NEW JERSEY","885.0","1569.0","37881.0"
"10.0","12.0","FL","FLORIDA","870.0","1518.0","39691.0"
"10.0","36.0","NY","NEW YORK","647.0","1066.0","26089.0"
"10.0","51.0","VA","VIRGINIA","609.0","1083.0","30200.0"
"10.0","37.0","NC","NORTH CAROLINA","430.0","847.0","17517.0"
"10.0","48.0","TX","TEXAS","415.0","874.0","19591.0"
"10.0","6.0","CA","CALIFORNIA","370.0","618.0","16236.0"
"10.0","13.0","GA","GEORGIA","330.0","658.0","14548.0"
"10.0","57.0","FR","Foreign","319.0","622.0","14948.0"
"10.0","39.0","OH","OHIO","201.0","404.0","9705.0"
"10.0","17.0","IL","ILLINOIS","171.0","339.0","8928.0"
"10.0","45.0","SC","SOUTH CAROLINA","171.0","346.0","8041.0"
"10.0","25.0","MA","MASSACHUSETTS","161.0","259.0","7051.0"
"10.0","18.0","IN","INDIANA","115.0","257.0","29547.0"
"10.0","8.0","CO","COLORADO","112.0","202.0","4918.0"
"10.0","4.0","AZ","ARIZONA","108.0","198.0","5768.0"
"10.0","11.0","DC","DISTRICT OF COLUMBIA","108.0","129.0","4656.0"
"10.0","47.0","TN","TENNESSEE","107.0","226.0","3795.0"
"10.0","9.0","CT","CONNECTICUT","100.0","160.0","4066.0"
"10.0","29.0","MO","MISSOURI","88.0","154.0","4911.0"
"10.0","53.0","WA","WASHINGTON","87.0","147.0","3885.0"
"10.0","26.0","MI","MICHIGAN","76.0","142.0","4291.0"
"10.0","54.0","WV","WEST VIRGINIA","71.0","131.0","2162.0"
"10.0","22.0","LA","LOUISIANA","61.0","114.0","2200.0"
"10.0","21.0","KY","KENTUCKY","60.0","129.0","2078.0"
"10.0","1.0","AL","ALABAMA","59.0","113.0","2327.0"
"10.0","19.0","IA","IOWA","57.0","102.0","2584.0"
"10.0","32.0","NV","NEVADA","55.0","107.0","2883.0"
"10.0","55.0","WI","WISCONSIN","50.0","84.0","3557.0"
"10.0","27.0","MN","MINNESOTA","46.0","83.0","2695.0"
"10.0","20.0","KS","KANSAS","44.0","93.0","2963.0"
"10.0","15.0","HI","HAWAII","43.0","83.0","9246.0"
"10.0","35.0","NM","NEW MEXICO","42.0","77.0","1601.0"
"10.0","40.0","OK","OKLAHOMA","41.0","81.0","1248.0"
"10.0","23.0","ME","MAINE","36.0","63.0","1586.0"
"10.0","41.0","OR","OREGON","34.0","49.0","1409.0"
"10.0","2.0","AK","ALASKA","33.0","66.0","1363.0"
"10.0","33.0","NH","NEW HAMPSHIRE","31.0","53.0","1858.0"
"10.0","49.0","UT","UTAH","30.0","63.0","1180.0"
"10.0","28.0","MS","MISSISSIPPI","29.0","61.0","931.0"
"10.0","5.0","AR","ARKANSAS","27.0","51.0","933.0"
"10.0","44.0","RI","RHODE ISLAND","27.0","49.0","1035.0"
"10.0","31.0","NE","NEBRASKA","22.0","53.0","411.0"
"10.0","50.0","VT","VERMONT","17.0","22.0","873.0"
"10.0","56.0","WY","WYOMING","16.0","28.0","669.0"
"10.0","30.0","MT","MONTANA","14.0","21.0","293.0"
"10.0","38.0","ND","NORTH DAKOTA","14.0","33.0","745.0"
"10.0","16.0","ID","IDAHO","11.0","27.0","542.0"
"10.0","46.0","SD","SOUTH DAKOTA","11.0","31.0","492.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
