"INDIANA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Indiana (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"18.0","96.0","IN","IN Total Mig - US & For","55627.0","105623.0","2235028.0"
"18.0","97.0","IN","IN Total Mig - US","54575.0","103840.0","2197350.0"
"18.0","98.0","IN","IN Total Mig - Foreign","1052.0","1783.0","37679.0"
"18.0","18.0","IN","IN Non-Migrants","2408045.0","5351964.0","122142269.0"
"18.0","17.0","IL","ILLINOIS","7641.0","14389.0","281296.0"
"18.0","12.0","FL","FLORIDA","5248.0","9423.0","243867.0"
"18.0","21.0","KY","KENTUCKY","4845.0","9147.0","155717.0"
"18.0","39.0","OH","OHIO","4134.0","7942.0","163289.0"
"18.0","48.0","TX","TEXAS","3408.0","7035.0","134801.0"
"18.0","26.0","MI","MICHIGAN","3283.0","6584.0","136839.0"
"18.0","6.0","CA","CALIFORNIA","2603.0","4543.0","102958.0"
"18.0","47.0","TN","TENNESSEE","1947.0","3889.0","77866.0"
"18.0","37.0","NC","NORTH CAROLINA","1608.0","3110.0","72309.0"
"18.0","13.0","GA","GEORGIA","1545.0","3138.0","59875.0"
"18.0","4.0","AZ","ARIZONA","1505.0","2856.0","67179.0"
"18.0","51.0","VA","VIRGINIA","1217.0","2290.0","53455.0"
"18.0","29.0","MO","MISSOURI","1156.0","2264.0","44127.0"
"18.0","36.0","NY","NEW YORK","1077.0","1783.0","39065.0"
"18.0","8.0","CO","COLORADO","1065.0","1892.0","46075.0"
"18.0","57.0","FR","Foreign","1052.0","1783.0","37679.0"
"18.0","42.0","PA","PENNSYLVANIA","991.0","1877.0","49386.0"
"18.0","55.0","WI","WISCONSIN","906.0","1742.0","37313.0"
"18.0","45.0","SC","SOUTH CAROLINA","788.0","1517.0","36668.0"
"18.0","53.0","WA","WASHINGTON","731.0","1332.0","28731.0"
"18.0","1.0","AL","ALABAMA","713.0","1406.0","27767.0"
"18.0","27.0","MN","MINNESOTA","560.0","1065.0","24202.0"
"18.0","19.0","IA","IOWA","542.0","1157.0","19977.0"
"18.0","24.0","MD","MARYLAND","498.0","881.0","23792.0"
"18.0","22.0","LA","LOUISIANA","492.0","988.0","19220.0"
"18.0","40.0","OK","OKLAHOMA","492.0","1061.0","16386.0"
"18.0","5.0","AR","ARKANSAS","458.0","956.0","17391.0"
"18.0","32.0","NV","NEVADA","451.0","783.0","15362.0"
"18.0","20.0","KS","KANSAS","436.0","926.0","20486.0"
"18.0","28.0","MS","MISSISSIPPI","410.0","856.0","14268.0"
"18.0","34.0","NJ","NEW JERSEY","405.0","689.0","23232.0"
"18.0","41.0","OR","OREGON","380.0","640.0","13980.0"
"18.0","25.0","MA","MASSACHUSETTS","371.0","589.0","24336.0"
"18.0","35.0","NM","NEW MEXICO","271.0","491.0","11418.0"
"18.0","54.0","WV","WEST VIRGINIA","257.0","545.0","9099.0"
"18.0","49.0","UT","UTAH","246.0","546.0","9911.0"
"18.0","9.0","CT","CONNECTICUT","230.0","408.0","13774.0"
"18.0","31.0","NE","NEBRASKA","220.0","443.0","8735.0"
"18.0","15.0","HI","HAWAII","196.0","367.0","5682.0"
"18.0","2.0","AK","ALASKA","166.0","301.0","5571.0"
"18.0","11.0","DC","DISTRICT OF COLUMBIA","160.0","182.0","5714.0"
"18.0","16.0","ID","IDAHO","137.0","297.0","5071.0"
"18.0","46.0","SD","SOUTH DAKOTA","135.0","291.0","5030.0"
"18.0","30.0","MT","MONTANA","121.0","225.0","3465.0"
"18.0","56.0","WY","WYOMING","103.0","185.0","3928.0"
"18.0","38.0","ND","NORTH DAKOTA","96.0","178.0","3012.0"
"18.0","33.0","NH","NEW HAMPSHIRE","95.0","184.0","5881.0"
"18.0","23.0","ME","MAINE","77.0","157.0","3364.0"
"18.0","10.0","DE","DELAWARE","61.0","102.0","1968.0"
"18.0","44.0","RI","RHODE ISLAND","56.0","114.0","2940.0"
"18.0","50.0","VT","VERMONT","42.0","74.0","1575.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
