"IOWA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Iowa (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"19.0","96.0","IA","IA Total Mig - US & For","29719.0","54071.0","1217601.0"
"19.0","97.0","IA","IA Total Mig - US","29173.0","53087.0","1193719.0"
"19.0","98.0","IA","IA Total Mig - Foreign","546.0","984.0","23881.0"
"19.0","19.0","IA","IA Non-Migrants","1147660.0","2494049.0","62722564.0"
"19.0","17.0","IL","ILLINOIS","3749.0","6797.0","143091.0"
"19.0","31.0","NE","NEBRASKA","2921.0","5385.0","100117.0"
"19.0","27.0","MN","MINNESOTA","2101.0","3473.0","80958.0"
"19.0","48.0","TX","TEXAS","2014.0","3918.0","79968.0"
"19.0","29.0","MO","MISSOURI","1712.0","3135.0","65971.0"
"19.0","6.0","CA","CALIFORNIA","1577.0","2759.0","51125.0"
"19.0","55.0","WI","WISCONSIN","1200.0","2150.0","51255.0"
"19.0","8.0","CO","COLORADO","1169.0","1923.0","46892.0"
"19.0","12.0","FL","FLORIDA","1156.0","2048.0","60409.0"
"19.0","46.0","SD","SOUTH DAKOTA","1083.0","1959.0","53115.0"
"19.0","4.0","AZ","ARIZONA","1013.0","1867.0","46456.0"
"19.0","20.0","KS","KANSAS","756.0","1433.0","37720.0"
"19.0","37.0","NC","NORTH CAROLINA","561.0","1108.0","25677.0"
"19.0","57.0","FR","Foreign","546.0","984.0","23881.0"
"19.0","18.0","IN","INDIANA","494.0","1004.0","22325.0"
"19.0","26.0","MI","MICHIGAN","470.0","905.0","20156.0"
"19.0","39.0","OH","OHIO","453.0","916.0","28264.0"
"19.0","51.0","VA","VIRGINIA","452.0","842.0","23564.0"
"19.0","36.0","NY","NEW YORK","445.0","657.0","13034.0"
"19.0","47.0","TN","TENNESSEE","440.0","846.0","18510.0"
"19.0","13.0","GA","GEORGIA","432.0","840.0","17995.0"
"19.0","53.0","WA","WASHINGTON","431.0","762.0","18865.0"
"19.0","40.0","OK","OKLAHOMA","377.0","734.0","13241.0"
"19.0","42.0","PA","PENNSYLVANIA","313.0","572.0","12904.0"
"19.0","5.0","AR","ARKANSAS","308.0","624.0","13325.0"
"19.0","41.0","OR","OREGON","292.0","503.0","10873.0"
"19.0","34.0","NJ","NEW JERSEY","245.0","407.0","7753.0"
"19.0","32.0","NV","NEVADA","244.0","381.0","10746.0"
"19.0","25.0","MA","MASSACHUSETTS","215.0","317.0","7687.0"
"19.0","1.0","AL","ALABAMA","202.0","420.0","10594.0"
"19.0","24.0","MD","MARYLAND","200.0","338.0","8422.0"
"19.0","45.0","SC","SOUTH CAROLINA","192.0","347.0","11113.0"
"19.0","21.0","KY","KENTUCKY","179.0","373.0","8029.0"
"19.0","22.0","LA","LOUISIANA","174.0","331.0","6513.0"
"19.0","35.0","NM","NEW MEXICO","174.0","319.0","10371.0"
"19.0","49.0","UT","UTAH","173.0","364.0","7553.0"
"19.0","38.0","ND","NORTH DAKOTA","164.0","323.0","6209.0"
"19.0","9.0","CT","CONNECTICUT","140.0","220.0","5102.0"
"19.0","56.0","WY","WYOMING","123.0","267.0","4745.0"
"19.0","30.0","MT","MONTANA","118.0","209.0","4497.0"
"19.0","16.0","ID","IDAHO","108.0","244.0","4484.0"
"19.0","28.0","MS","MISSISSIPPI","108.0","223.0","3193.0"
"19.0","2.0","AK","ALASKA","107.0","190.0","3176.0"
"19.0","15.0","HI","HAWAII","103.0","179.0","3491.0"
"19.0","11.0","DC","DISTRICT OF COLUMBIA","78.0","85.0","2886.0"
"19.0","54.0","WV","WEST VIRGINIA","43.0","80.0","1540.0"
"19.0","10.0","DE","DELAWARE","42.0","78.0","1258.0"
"19.0","33.0","NH","NEW HAMPSHIRE","39.0","80.0","2984.0"
"19.0","23.0","ME","MAINE","38.0","71.0","4215.0"
"19.0","44.0","RI","RHODE ISLAND","23.0","40.0","678.0"
"19.0","50.0","VT","VERMONT","22.0","41.0","673.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
