"WYOMING OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Wyoming (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"56.0","96.0","WY","WY Total Mig - US & For","12324.0","23118.0","456889.0"
"56.0","97.0","WY","WY Total Mig - US","12097.0","22738.0","450334.0"
"56.0","98.0","WY","WY Total Mig - Foreign","227.0","380.0","6554.0"
"56.0","56.0","WY","WY Non-Migrants","206439.0","438680.0","12100215.0"
"56.0","8.0","CO","COLORADO","1756.0","3079.0","68241.0"
"56.0","49.0","UT","UTAH","825.0","1714.0","28969.0"
"56.0","30.0","MT","MONTANA","812.0","1397.0","25978.0"
"56.0","48.0","TX","TEXAS","765.0","1641.0","37425.0"
"56.0","6.0","CA","CALIFORNIA","636.0","1086.0","19405.0"
"56.0","46.0","SD","SOUTH DAKOTA","538.0","970.0","18983.0"
"56.0","16.0","ID","IDAHO","522.0","1070.0","19158.0"
"56.0","31.0","NE","NEBRASKA","492.0","1001.0","18277.0"
"56.0","4.0","AZ","ARIZONA","479.0","878.0","18405.0"
"56.0","53.0","WA","WASHINGTON","425.0","821.0","14353.0"
"56.0","26.0","MI","MICHIGAN","309.0","564.0","7975.0"
"56.0","12.0","FL","FLORIDA","296.0","519.0","10161.0"
"56.0","38.0","ND","NORTH DAKOTA","284.0","580.0","13889.0"
"56.0","41.0","OR","OREGON","279.0","476.0","7284.0"
"56.0","32.0","NV","NEVADA","236.0","474.0","9612.0"
"56.0","57.0","FR","Foreign","227.0","380.0","6554.0"
"56.0","40.0","OK","OKLAHOMA","211.0","451.0","8611.0"
"56.0","35.0","NM","NEW MEXICO","191.0","377.0","7126.0"
"56.0","29.0","MO","MISSOURI","189.0","362.0","6118.0"
"56.0","42.0","PA","PENNSYLVANIA","188.0","358.0","8389.0"
"56.0","20.0","KS","KANSAS","174.0","319.0","5798.0"
"56.0","27.0","MN","MINNESOTA","173.0","309.0","5711.0"
"56.0","39.0","OH","OHIO","156.0","298.0","4828.0"
"56.0","17.0","IL","ILLINOIS","148.0","228.0","4411.0"
"56.0","22.0","LA","LOUISIANA","144.0","325.0","11001.0"
"56.0","51.0","VA","VIRGINIA","142.0","283.0","6322.0"
"56.0","55.0","WI","WISCONSIN","142.0","288.0","4639.0"
"56.0","47.0","TN","TENNESSEE","137.0","289.0","5107.0"
"56.0","37.0","NC","NORTH CAROLINA","134.0","246.0","4069.0"
"56.0","36.0","NY","NEW YORK","131.0","192.0","10637.0"
"56.0","2.0","AK","ALASKA","126.0","249.0","5158.0"
"56.0","19.0","IA","IOWA","125.0","253.0","3919.0"
"56.0","13.0","GA","GEORGIA","100.0","181.0","3215.0"
"56.0","5.0","AR","ARKANSAS","98.0","202.0","3293.0"
"56.0","18.0","IN","INDIANA","91.0","172.0","2579.0"
"56.0","1.0","AL","ALABAMA","73.0","144.0","2488.0"
"56.0","21.0","KY","KENTUCKY","68.0","131.0","2779.0"
"56.0","45.0","SC","SOUTH CAROLINA","68.0","114.0","2385.0"
"56.0","24.0","MD","MARYLAND","58.0","92.0","1558.0"
"56.0","25.0","MA","MASSACHUSETTS","56.0","80.0","1836.0"
"56.0","15.0","HI","HAWAII","49.0","74.0","1578.0"
"56.0","28.0","MS","MISSISSIPPI","48.0","96.0","1431.0"
"56.0","23.0","ME","MAINE","36.0","51.0","960.0"
"56.0","50.0","VT","VERMONT","36.0","46.0","693.0"
"56.0","33.0","NH","NEW HAMPSHIRE","33.0","55.0","746.0"
"56.0","34.0","NJ","NEW JERSEY","28.0","47.0","1694.0"
"56.0","54.0","WV","WEST VIRGINIA","28.0","59.0","1096.0"
"56.0","9.0","CT","CONNECTICUT","26.0","42.0","957.0"
"56.0","10.0","DE","DELAWARE","17.0","31.0","538.0"
"56.0","11.0","DC","DISTRICT OF COLUMBIA","16.0","21.0","482.0"
"56.0","44.0","RI","RHODE ISLAND","d","d","d"
"d - Data has been suppressed to prevent disclosure.","","","","","",""
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
