"MICHIGAN OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Michigan (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"26.0","96.0","MI","MI Total Mig - US & For","79699.0","146242.0","3564242.0"
"26.0","97.0","MI","MI Total Mig - US","77407.0","142183.0","3460081.0"
"26.0","98.0","MI","MI Total Mig - Foreign","2292.0","4059.0","104161.0"
"26.0","26.0","MI","MI Non-Migrants","3681829.0","7947031.0","189464370.0"
"26.0","12.0","FL","FLORIDA","8512.0","15354.0","424984.0"
"26.0","48.0","TX","TEXAS","6137.0","12471.0","273180.0"
"26.0","17.0","IL","ILLINOIS","5514.0","8625.0","253817.0"
"26.0","39.0","OH","OHIO","4814.0","8962.0","214217.0"
"26.0","6.0","CA","CALIFORNIA","4722.0","8047.0","219081.0"
"26.0","18.0","IN","INDIANA","3997.0","7812.0","162944.0"
"26.0","37.0","NC","NORTH CAROLINA","3236.0","6213.0","142338.0"
"26.0","4.0","AZ","ARIZONA","3067.0","5445.0","119341.0"
"26.0","13.0","GA","GEORGIA","2946.0","5887.0","119337.0"
"26.0","47.0","TN","TENNESSEE","2813.0","5736.0","116040.0"
"26.0","36.0","NY","NEW YORK","2453.0","3972.0","98536.0"
"26.0","51.0","VA","VIRGINIA","2343.0","4414.0","112588.0"
"26.0","57.0","FR","Foreign","2292.0","4059.0","104161.0"
"26.0","55.0","WI","WISCONSIN","2225.0","3974.0","92909.0"
"26.0","8.0","CO","COLORADO","2119.0","3409.0","77549.0"
"26.0","42.0","PA","PENNSYLVANIA","1610.0","2982.0","99312.0"
"26.0","45.0","SC","SOUTH CAROLINA","1493.0","2802.0","88253.0"
"26.0","21.0","KY","KENTUCKY","1445.0","2976.0","54379.0"
"26.0","53.0","WA","WASHINGTON","1359.0","2379.0","61324.0"
"26.0","29.0","MO","MISSOURI","1346.0","2676.0","68011.0"
"26.0","24.0","MD","MARYLAND","1164.0","1986.0","56658.0"
"26.0","1.0","AL","ALABAMA","1116.0","2295.0","41505.0"
"26.0","32.0","NV","NEVADA","1054.0","1825.0","44269.0"
"26.0","27.0","MN","MINNESOTA","990.0","1760.0","50867.0"
"26.0","25.0","MA","MASSACHUSETTS","850.0","1352.0","44525.0"
"26.0","34.0","NJ","NEW JERSEY","774.0","1420.0","53426.0"
"26.0","19.0","IA","IOWA","682.0","1393.0","28347.0"
"26.0","22.0","LA","LOUISIANA","677.0","1287.0","24531.0"
"26.0","41.0","OR","OREGON","664.0","1114.0","24162.0"
"26.0","20.0","KS","KANSAS","630.0","1339.0","30314.0"
"26.0","40.0","OK","OKLAHOMA","625.0","1257.0","22066.0"
"26.0","5.0","AR","ARKANSAS","583.0","1216.0","20542.0"
"26.0","28.0","MS","MISSISSIPPI","527.0","1022.0","15782.0"
"26.0","35.0","NM","NEW MEXICO","468.0","870.0","19600.0"
"26.0","2.0","AK","ALASKA","446.0","788.0","15222.0"
"26.0","56.0","WY","WYOMING","437.0","799.0","14736.0"
"26.0","49.0","UT","UTAH","422.0","858.0","20112.0"
"26.0","9.0","CT","CONNECTICUT","406.0","719.0","25225.0"
"26.0","11.0","DC","DISTRICT OF COLUMBIA","378.0","446.0","15445.0"
"26.0","15.0","HI","HAWAII","348.0","607.0","9103.0"
"26.0","31.0","NE","NEBRASKA","314.0","638.0","14421.0"
"26.0","30.0","MT","MONTANA","292.0","480.0","10288.0"
"26.0","54.0","WV","WEST VIRGINIA","256.0","499.0","11178.0"
"26.0","38.0","ND","NORTH DAKOTA","215.0","400.0","8017.0"
"26.0","16.0","ID","IDAHO","200.0","377.0","8101.0"
"26.0","46.0","SD","SOUTH DAKOTA","171.0","345.0","7175.0"
"26.0","33.0","NH","NEW HAMPSHIRE","154.0","265.0","6730.0"
"26.0","23.0","ME","MAINE","140.0","228.0","5666.0"
"26.0","10.0","DE","DELAWARE","105.0","189.0","5207.0"
"26.0","50.0","VT","VERMONT","87.0","133.0","2711.0"
"26.0","44.0","RI","RHODE ISLAND","81.0","140.0","6008.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
