"MARYLAND OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Maryland (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"24.0","96.0","MD","MD Total Mig - US & For","72437.0","129895.0","3730027.0"
"24.0","97.0","MD","MD Total Mig - US","69998.0","125020.0","3603524.0"
"24.0","98.0","MD","MD Total Mig - Foreign","2439.0","4875.0","126503.0"
"24.0","24.0","MD","MD Non-Migrants","2145935.0","4507095.0","149871461.0"
"24.0","51.0","VA","VIRGINIA","12592.0","22417.0","684091.0"
"24.0","11.0","DC","DISTRICT OF COLUMBIA","7520.0","12134.0","330459.0"
"24.0","42.0","PA","PENNSYLVANIA","6634.0","11821.0","333057.0"
"24.0","12.0","FL","FLORIDA","5428.0","9593.0","337559.0"
"24.0","36.0","NY","NEW YORK","3682.0","5659.0","148087.0"
"24.0","37.0","NC","NORTH CAROLINA","3615.0","6950.0","169556.0"
"24.0","6.0","CA","CALIFORNIA","3412.0","5663.0","176622.0"
"24.0","48.0","TX","TEXAS","3086.0","6391.0","173187.0"
"24.0","10.0","DE","DELAWARE","2506.0","4467.0","129190.0"
"24.0","57.0","FR","Foreign","2439.0","4875.0","126503.0"
"24.0","54.0","WV","WEST VIRGINIA","2138.0","4064.0","93914.0"
"24.0","13.0","GA","GEORGIA","2065.0","4154.0","99812.0"
"24.0","34.0","NJ","NEW JERSEY","1699.0","2906.0","86928.0"
"24.0","45.0","SC","SOUTH CAROLINA","1411.0","2577.0","74843.0"
"24.0","25.0","MA","MASSACHUSETTS","1124.0","1774.0","63639.0"
"24.0","39.0","OH","OHIO","1033.0","1881.0","52176.0"
"24.0","17.0","IL","ILLINOIS","989.0","1691.0","57957.0"
"24.0","8.0","CO","COLORADO","934.0","1679.0","50120.0"
"24.0","47.0","TN","TENNESSEE","877.0","1693.0","51849.0"
"24.0","53.0","WA","WASHINGTON","774.0","1459.0","42322.0"
"24.0","4.0","AZ","ARIZONA","687.0","1314.0","47009.0"
"24.0","26.0","MI","MICHIGAN","643.0","1192.0","30048.0"
"24.0","9.0","CT","CONNECTICUT","491.0","862.0","27962.0"
"24.0","1.0","AL","ALABAMA","443.0","897.0","24626.0"
"24.0","22.0","LA","LOUISIANA","430.0","783.0","19167.0"
"24.0","15.0","HI","HAWAII","426.0","890.0","25369.0"
"24.0","18.0","IN","INDIANA","415.0","763.0","20623.0"
"24.0","29.0","MO","MISSOURI","408.0","776.0","19689.0"
"24.0","21.0","KY","KENTUCKY","370.0","751.0","17983.0"
"24.0","32.0","NV","NEVADA","339.0","618.0","16218.0"
"24.0","40.0","OK","OKLAHOMA","328.0","653.0","15016.0"
"24.0","55.0","WI","WISCONSIN","300.0","549.0","16222.0"
"24.0","41.0","OR","OREGON","290.0","465.0","15701.0"
"24.0","27.0","MN","MINNESOTA","272.0","490.0","14146.0"
"24.0","35.0","NM","NEW MEXICO","261.0","482.0","14218.0"
"24.0","20.0","KS","KANSAS","250.0","564.0","12296.0"
"24.0","49.0","UT","UTAH","218.0","417.0","9807.0"
"24.0","28.0","MS","MISSISSIPPI","216.0","423.0","9090.0"
"24.0","19.0","IA","IOWA","192.0","364.0","8756.0"
"24.0","33.0","NH","NEW HAMPSHIRE","186.0","306.0","17823.0"
"24.0","23.0","ME","MAINE","184.0","333.0","9998.0"
"24.0","44.0","RI","RHODE ISLAND","181.0","322.0","9861.0"
"24.0","5.0","AR","ARKANSAS","180.0","363.0","8630.0"
"24.0","31.0","NE","NEBRASKA","160.0","312.0","8005.0"
"24.0","2.0","AK","ALASKA","153.0","314.0","6567.0"
"24.0","50.0","VT","VERMONT","115.0","184.0","5858.0"
"24.0","16.0","ID","IDAHO","77.0","156.0","4523.0"
"24.0","30.0","MT","MONTANA","69.0","116.0","3085.0"
"24.0","46.0","SD","SOUTH DAKOTA","68.0","137.0","3633.0"
"24.0","56.0","WY","WYOMING","68.0","137.0","3303.0"
"24.0","38.0","ND","NORTH DAKOTA","59.0","114.0","2924.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
