"GEORGIA OUTFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Outflow for Selected Income Items, Calendar Years 2009-2010","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Origin from Georgia (State Code)","Destination into","","","Number of returns","Number of exemptions","Aggregate Adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"13.0","96.0","GA","GA Total Mig - US & For","107293.0","216392.0","4320857.0"
"13.0","97.0","GA","GA Total Mig - US","103620.0","208830.0","4162285.0"
"13.0","98.0","GA","GA Total Mig - Foreign","3673.0","7562.0","158572.0"
"13.0","13.0","GA","GA Non-Migrants","3212469.0","7314324.0","165840855.0"
"13.0","12.0","FL","FLORIDA","16786.0","32264.0","670177.0"
"13.0","48.0","TX","TEXAS","7857.0","17570.0","344288.0"
"13.0","1.0","AL","ALABAMA","7269.0","15404.0","256014.0"
"13.0","37.0","NC","NORTH CAROLINA","6629.0","13594.0","268758.0"
"13.0","45.0","SC","SOUTH CAROLINA","6104.0","12229.0","245879.0"
"13.0","47.0","TN","TENNESSEE","5997.0","11934.0","237210.0"
"13.0","6.0","CA","CALIFORNIA","5227.0","9891.0","217959.0"
"13.0","36.0","NY","NEW YORK","4915.0","9142.0","164670.0"
"13.0","51.0","VA","VIRGINIA","4483.0","9321.0","209933.0"
"13.0","57.0","FR","Foreign","3673.0","7562.0","158572.0"
"13.0","17.0","IL","ILLINOIS","2489.0","4699.0","106448.0"
"13.0","39.0","OH","OHIO","2335.0","4596.0","93211.0"
"13.0","22.0","LA","LOUISIANA","2333.0","5031.0","76503.0"
"13.0","24.0","MD","MARYLAND","2319.0","4434.0","95503.0"
"13.0","42.0","PA","PENNSYLVANIA","2299.0","4298.0","96064.0"
"13.0","21.0","KY","KENTUCKY","1862.0","4206.0","76858.0"
"13.0","8.0","CO","COLORADO","1810.0","3708.0","71557.0"
"13.0","34.0","NJ","NEW JERSEY","1735.0","3399.0","76928.0"
"13.0","26.0","MI","MICHIGAN","1682.0","3364.0","52171.0"
"13.0","28.0","MS","MISSISSIPPI","1574.0","3400.0","52118.0"
"13.0","53.0","WA","WASHINGTON","1494.0","3144.0","71391.0"
"13.0","29.0","MO","MISSOURI","1305.0","2636.0","51495.0"
"13.0","18.0","IN","INDIANA","1291.0","2572.0","44357.0"
"13.0","4.0","AZ","ARIZONA","1289.0","2699.0","57759.0"
"13.0","25.0","MA","MASSACHUSETTS","1202.0","2110.0","52662.0"
"13.0","40.0","OK","OKLAHOMA","988.0","2300.0","34409.0"
"13.0","20.0","KS","KANSAS","917.0","2285.0","39203.0"
"13.0","5.0","AR","ARKANSAS","778.0","1695.0","36992.0"
"13.0","55.0","WI","WISCONSIN","690.0","1389.0","27186.0"
"13.0","15.0","HI","HAWAII","687.0","1587.0","25189.0"
"13.0","9.0","CT","CONNECTICUT","661.0","1282.0","35923.0"
"13.0","27.0","MN","MINNESOTA","625.0","1195.0","27127.0"
"13.0","32.0","NV","NEVADA","623.0","1168.0","27969.0"
"13.0","19.0","IA","IOWA","516.0","1056.0","21877.0"
"13.0","11.0","DC","DISTRICT OF COLUMBIA","515.0","680.0","20663.0"
"13.0","41.0","OR","OREGON","467.0","829.0","19612.0"
"13.0","2.0","AK","ALASKA","464.0","1039.0","20614.0"
"13.0","35.0","NM","NEW MEXICO","462.0","907.0","19278.0"
"13.0","49.0","UT","UTAH","423.0","910.0","17749.0"
"13.0","54.0","WV","WEST VIRGINIA","397.0","821.0","15262.0"
"13.0","31.0","NE","NEBRASKA","314.0","623.0","11467.0"
"13.0","10.0","DE","DELAWARE","245.0","503.0","10639.0"
"13.0","23.0","ME","MAINE","243.0","460.0","9396.0"
"13.0","33.0","NH","NEW HAMPSHIRE","232.0","364.0","10771.0"
"13.0","44.0","RI","RHODE ISLAND","216.0","387.0","8606.0"
"13.0","16.0","ID","IDAHO","190.0","427.0","8822.0"
"13.0","30.0","MT","MONTANA","182.0","341.0","6287.0"
"13.0","56.0","WY","WYOMING","140.0","258.0","4917.0"
"13.0","46.0","SD","SOUTH DAKOTA","139.0","256.0","4983.0"
"13.0","38.0","ND","NORTH DAKOTA","121.0","241.0","3855.0"
"13.0","50.0","VT","VERMONT","99.0","182.0","3574.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2010.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, October 2011","","","","","",""
