"1992 - 1993  State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,23-Maine,,,,AGGREGATE"
",,,,,TOTAL"
",,,NUMBER OF,NUMBER OF,MONEY"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"63,XX,Maine,15339,28653,384315"
"12,Fl,Florida,1951,3583,58740"
"33,NH,New Hampshire,1712,3026,43958"
"25,Ma,Massachusetts,1664,2549,39470"
"36,NY,New York,813,1459,20064"
"51,Va,Virginia,799,1775,20801"
"06,Ca,California,775,1359,16571"
"57,FR,Foreign,717,1383,15173"
"09,Ct,Connecticut,494,873,11702"
"48,Tx,Texas,474,999,11708"
"42,Pa,Pennsylvania,432,914,13206"
"37,NC,North Carolina,387,769,8037"
"24,Md,Maryland,303,625,7118"
"08,Co,Colorado,303,514,5884"
"04,Az,Arizona,283,516,7308"
"13,Ga,Georgia,267,525,6749"
"50,Vt,Vermont,254,443,5629"
"39,Oh,Ohio,245,517,6016"
"53,Wa,Washington,244,420,5345"
"44,RI,Rhode Island,234,424,6259"
"45,SC,South Carolina,227,516,6322"
"34,NJ,New Jersey,219,407,5702"
"17,Il,Illinois,188,353,4957"
"26,Mi,Michigan,173,351,4687"
"47,Tn,Tennessee,158,332,3529"
"18,In,Indiana,123,260,3639"
"35,NM,New Mexico,118,192,2565"
"01,Al,Alabama,110,264,3354"
"22,La,Louisiana,107,219,3050"
"41,Or,Oregon,103,183,2465"
"02,Ak,Alaska,102,205,2125"
"29,Mo,Missouri,100,216,2312"
"40,Ok,Oklahoma,95,201,2193"
"15,Hi,Hawaii,93,172,1840"
"27,Mn,Minnesota,92,166,3091"
"55,Wi,Wisconsin,91,187,2554"
"21,Ky,Kentucky,87,180,2314"
"32,Nv,Nevada,84,141,1620"
"49,Ut,Utah,81,152,1812"
"11,DC,District of Columbia,80,88,1790"
"28,Ms,Mississippi,69,185,1713"
"19,Ia,Iowa,68,143,1765"
"20,Ks,Kansas,58,118,1221"
"05,Ar,Arkansas,53,113,1039"
"54,WV,West Virginia,50,117,1342"
"30,Mt,Montana,47,85,750"
"56,Wy,Wyoming,43,84,856"
"16,Id,Idaho,42,85,967"
"31,Ne,Nebraska,41,91,936"
"10,De,Delaware,38,76,917"
"46,SD,South Dakota,30,70,810"
"38,ND,North Dakota,18,28,340"
"23,Me S,tate Non-Migrant,439736,974321,13381334"
