,State,Year,NOR(I),NOE(I),NOR(O),NOE(O),Drought,Earthquake,Fire,Flood,Human Cause,Hurricane,Ice,Mud/Landslide,Other,Snow,Storm,Terrorism,Tornado,Tsunami,Typhoon,Volcano,Water,Winter,Total disasters
0,MN,2010,41038.0,73463.0,45173.0,77893.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,AZ,2010,83528.0,158038.0,80278.0,162164.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AL,2010,42880.0,89794.0,43563.0,88001.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,MO,2010,55637.0,106395.0,60740.0,115708.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,NC,2010,114845.0,226709.0,101963.0,201396.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,WV,2010,17520.0,33030.0,17290.0,31302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,WA,2010,84338.0,161811.0,75099.0,142475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,TX,2010,210595.0,431973.0,169226.0,339560.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,NV,2010,46479.0,85959.0,47545.0,91923.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,OR,2010,48426.0,84662.0,42231.0,76798.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,TN,2010,71924.0,141345.0,65801.0,128916.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,ND,2010,12398.0,22576.0,10084.0,18326.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,AK,2010,16156.0,30965.0,16007.0,32656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CT,2010,33044.0,57548.0,39759.0,66114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,NE,2010,18990.0,37435.0,20264.0,39014.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,MI,2010,56552.0,104529.0,74774.0,133367.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,VT,2010,8586.0,13488.0,9359.0,14112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,VA,2010,112679.0,214713.0,108379.0,205891.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,CA,2010,215214.0,383709.0,223858.0,412899.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DC,2010,28204.0,37682.0,23840.0,35886.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ID,2010,20993.0,43680.0,21023.0,43529.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,KY,2010,40604.0,82257.0,40699.0,81074.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,RI,2010,11730.0,19691.0,14289.0,23959.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,PA,2010,94657.0,169923.0,103678.0,175692.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,FL,2010,263968.0,448771.0,202928.0,364715.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,DE,2010,13862.0,25339.0,12576.0,22859.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,IA,2010,28198.0,54032.0,30417.0,55759.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,KS,2010,33661.0,68911.0,38744.0,76973.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,IL,2010,91245.0,160779.0,116056.0,209921.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,HI,2010,23981.0,46639.0,23278.0,47652.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,SC,2010,58319.0,113840.0,51582.0,98618.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,IN,2010,50934.0,100414.0,56618.0,106864.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,SD,2010,12040.0,22060.0,11361.0,20353.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,GA,2010,116870.0,227748.0,111863.0,221836.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,WI,2010,39974.0,73884.0,45464.0,79212.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,AR,2010,29511.0,60755.0,28352.0,57111.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,NJ,2010,74343.0,132568.0,93872.0,161047.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
