"NORTH CAROLINA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into North Carolina (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"37.0","96.0","NC","NC Total Mig - US & For","118309.0","234105.0","5498883.0"
"37.0","97.0","NC","NC Total Mig - US","114845.0","226709.0","5359278.0"
"37.0","98.0","NC","NC Total Mig - Foreign","3464.0","7396.0","139606.0"
"37.0","37.0","NC","NC Non-Migrants","3220881.0","7220819.0","171210873.0"
"37.0","12.0","FL","FLORIDA","11837.0","22640.0","484507.0"
"37.0","51.0","VA","VIRGINIA","11378.0","23086.0","544192.0"
"37.0","45.0","SC","SOUTH CAROLINA","9819.0","19091.0","366520.0"
"37.0","36.0","NY","NEW YORK","8718.0","16301.0","388125.0"
"37.0","13.0","GA","GEORGIA","7346.0","15113.0","347264.0"
"37.0","6.0","CA","CALIFORNIA","5875.0","12039.0","305355.0"
"37.0","48.0","TX","TEXAS","5367.0","11512.0","253512.0"
"37.0","42.0","PA","PENNSYLVANIA","4895.0","9051.0","241870.0"
"37.0","39.0","OH","OHIO","4480.0","8326.0","213323.0"
"37.0","34.0","NJ","NEW JERSEY","3875.0","7692.0","225030.0"
"37.0","24.0","MD","MARYLAND","3607.0","6832.0","190193.0"
"37.0","57.0","FR","Foreign","3464.0","7396.0","139606.0"
"37.0","47.0","TN","TENNESSEE","3164.0","6225.0","141445.0"
"37.0","26.0","MI","MICHIGAN","2842.0","5523.0","131883.0"
"37.0","17.0","IL","ILLINOIS","2618.0","5004.0","159353.0"
"37.0","25.0","MA","MASSACHUSETTS","2068.0","3727.0","114049.0"
"37.0","1.0","AL","ALABAMA","1671.0","3557.0","73360.0"
"37.0","18.0","IN","INDIANA","1647.0","3325.0","79305.0"
"37.0","4.0","AZ","ARIZONA","1534.0","3221.0","69140.0"
"37.0","9.0","CT","CONNECTICUT","1517.0","2912.0","85605.0"
"37.0","8.0","CO","COLORADO","1495.0","3075.0","74319.0"
"37.0","53.0","WA","WASHINGTON","1449.0","2979.0","60477.0"
"37.0","21.0","KY","KENTUCKY","1358.0","2910.0","59316.0"
"37.0","29.0","MO","MISSOURI","1304.0","2729.0","62110.0"
"37.0","54.0","WV","WEST VIRGINIA","1137.0","2156.0","48000.0"
"37.0","22.0","LA","LOUISIANA","1043.0","2159.0","48198.0"
"37.0","55.0","WI","WISCONSIN","1004.0","1888.0","49809.0"
"37.0","40.0","OK","OKLAHOMA","842.0","1772.0","31620.0"
"37.0","20.0","KS","KANSAS","840.0","1939.0","44652.0"
"37.0","27.0","MN","MINNESOTA","809.0","1564.0","50317.0"
"37.0","28.0","MS","MISSISSIPPI","771.0","1569.0","36847.0"
"37.0","15.0","HI","HAWAII","698.0","1655.0","28909.0"
"37.0","5.0","AR","ARKANSAS","612.0","1238.0","25785.0"
"37.0","32.0","NV","NEVADA","612.0","1200.0","24841.0"
"37.0","19.0","IA","IOWA","608.0","1190.0","29614.0"
"37.0","33.0","NH","NEW HAMPSHIRE","581.0","1075.0","25170.0"
"37.0","41.0","OR","OREGON","581.0","1107.0","22986.0"
"37.0","11.0","DC","DISTRICT OF COLUMBIA","555.0","814.0","28054.0"
"37.0","2.0","AK","ALASKA","508.0","1128.0","21340.0"
"37.0","23.0","ME","MAINE","500.0","937.0","20658.0"
"37.0","10.0","DE","DELAWARE","478.0","897.0","21493.0"
"37.0","49.0","UT","UTAH","458.0","997.0","19313.0"
"37.0","35.0","NM","NEW MEXICO","441.0","864.0","29974.0"
"37.0","44.0","RI","RHODE ISLAND","416.0","855.0","22669.0"
"37.0","50.0","VT","VERMONT","325.0","525.0","11459.0"
"37.0","31.0","NE","NEBRASKA","320.0","645.0","12979.0"
"37.0","16.0","ID","IDAHO","267.0","584.0","10808.0"
"37.0","30.0","MT","MONTANA","191.0","354.0","5880.0"
"37.0","56.0","WY","WYOMING","147.0","289.0","4525.0"
"37.0","46.0","SD","SOUTH DAKOTA","131.0","253.0","7953.0"
"37.0","38.0","ND","NORTH DAKOTA","106.0","185.0","5174.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
