"OKLAHOMA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Oklahoma (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"40.0","96.0","OK","OK Total Mig - US & For","38695.0","81812.0","1511035.0"
"40.0","97.0","OK","OK Total Mig - US","37795.0","79695.0","1473452.0"
"40.0","98.0","OK","OK Total Mig - Foreign","900.0","2117.0","37583.0"
"40.0","40.0","OK","OK Non-Migrants","1217993.0","2730619.0","63143115.0"
"40.0","48.0","TX","TEXAS","8986.0","18957.0","400860.0"
"40.0","6.0","CA","CALIFORNIA","2716.0","5640.0","90814.0"
"40.0","20.0","KS","KANSAS","2635.0","5560.0","93226.0"
"40.0","5.0","AR","ARKANSAS","2597.0","5645.0","83806.0"
"40.0","29.0","MO","MISSOURI","1871.0","3869.0","65204.0"
"40.0","12.0","FL","FLORIDA","1664.0","3357.0","58979.0"
"40.0","8.0","CO","COLORADO","1358.0","2860.0","54407.0"
"40.0","4.0","AZ","ARIZONA","1057.0","2405.0","36953.0"
"40.0","13.0","GA","GEORGIA","915.0","2123.0","33234.0"
"40.0","57.0","FR","Foreign","900.0","2117.0","37583.0"
"40.0","17.0","IL","ILLINOIS","796.0","1603.0","35303.0"
"40.0","37.0","NC","NORTH CAROLINA","780.0","1819.0","30484.0"
"40.0","53.0","WA","WASHINGTON","750.0","1601.0","28290.0"
"40.0","51.0","VA","VIRGINIA","676.0","1462.0","29611.0"
"40.0","47.0","TN","TENNESSEE","665.0","1336.0","23890.0"
"40.0","22.0","LA","LOUISIANA","661.0","1386.0","25496.0"
"40.0","36.0","NY","NEW YORK","661.0","1296.0","30345.0"
"40.0","39.0","OH","OHIO","630.0","1385.0","23480.0"
"40.0","35.0","NM","NEW MEXICO","615.0","1328.0","23542.0"
"40.0","26.0","MI","MICHIGAN","558.0","1079.0","18827.0"
"40.0","32.0","NV","NEVADA","490.0","1023.0","16771.0"
"40.0","42.0","PA","PENNSYLVANIA","487.0","893.0","19498.0"
"40.0","18.0","IN","INDIANA","469.0","918.0","17253.0"
"40.0","1.0","AL","ALABAMA","414.0","882.0","15871.0"
"40.0","28.0","MS","MISSISSIPPI","353.0","724.0","12151.0"
"40.0","55.0","WI","WISCONSIN","350.0","651.0","13065.0"
"40.0","31.0","NE","NEBRASKA","338.0","705.0","13364.0"
"40.0","19.0","IA","IOWA","331.0","653.0","12472.0"
"40.0","27.0","MN","MINNESOTA","323.0","655.0","13133.0"
"40.0","21.0","KY","KENTUCKY","314.0","726.0","12189.0"
"40.0","41.0","OR","OREGON","306.0","616.0","8998.0"
"40.0","45.0","SC","SOUTH CAROLINA","302.0","668.0","11785.0"
"40.0","15.0","HI","HAWAII","284.0","668.0","10672.0"
"40.0","2.0","AK","ALASKA","278.0","676.0","14839.0"
"40.0","24.0","MD","MARYLAND","272.0","552.0","12732.0"
"40.0","49.0","UT","UTAH","255.0","660.0","10915.0"
"40.0","34.0","NJ","NEW JERSEY","237.0","471.0","11360.0"
"40.0","56.0","WY","WYOMING","180.0","388.0","6683.0"
"40.0","25.0","MA","MASSACHUSETTS","175.0","313.0","7567.0"
"40.0","16.0","ID","IDAHO","156.0","372.0","6103.0"
"40.0","46.0","SD","SOUTH DAKOTA","135.0","248.0","4094.0"
"40.0","38.0","ND","NORTH DAKOTA","132.0","296.0","5769.0"
"40.0","30.0","MT","MONTANA","131.0","281.0","4324.0"
"40.0","9.0","CT","CONNECTICUT","118.0","236.0","6995.0"
"40.0","54.0","WV","WEST VIRGINIA","107.0","226.0","6878.0"
"40.0","33.0","NH","NEW HAMPSHIRE","60.0","113.0","2816.0"
"40.0","23.0","ME","MAINE","56.0","82.0","1526.0"
"40.0","10.0","DE","DELAWARE","53.0","115.0","2430.0"
"40.0","44.0","RI","RHODE ISLAND","37.0","78.0","1348.0"
"40.0","11.0","DC","DISTRICT OF COLUMBIA","36.0","55.0","2191.0"
"40.0","50.0","VT","VERMONT","25.0","40.0","909.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
