"SOUTH DAKOTA INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into South Dakota (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"46.0","96.0","SD","SD Total Mig - US & For","12254.0","22539.0","546926.0"
"46.0","97.0","SD","SD Total Mig - US","12040.0","22060.0","537964.0"
"46.0","98.0","SD","SD Total Mig - Foreign","214.0","479.0","8962.0"
"46.0","46.0","SD","SD Non-Migrants","308464.0","661571.0","16965085.0"
"46.0","27.0","MN","MINNESOTA","1716.0","2907.0","64571.0"
"46.0","19.0","IA","IOWA","1064.0","1917.0","96837.0"
"46.0","31.0","NE","NEBRASKA","941.0","1832.0","35735.0"
"46.0","12.0","FL","FLORIDA","723.0","1018.0","24556.0"
"46.0","6.0","CA","CALIFORNIA","628.0","1162.0","27539.0"
"46.0","38.0","ND","NORTH DAKOTA","616.0","1163.0","26392.0"
"46.0","48.0","TX","TEXAS","570.0","1150.0","22932.0"
"46.0","8.0","CO","COLORADO","563.0","1006.0","21669.0"
"46.0","56.0","WY","WYOMING","466.0","802.0","16049.0"
"46.0","4.0","AZ","ARIZONA","375.0","704.0","15829.0"
"46.0","53.0","WA","WASHINGTON","278.0","583.0","12772.0"
"46.0","55.0","WI","WISCONSIN","276.0","510.0","11169.0"
"46.0","17.0","IL","ILLINOIS","241.0","458.0","11898.0"
"46.0","29.0","MO","MISSOURI","236.0","486.0","10796.0"
"46.0","30.0","MT","MONTANA","221.0","414.0","7096.0"
"46.0","57.0","FR","Foreign","214.0","479.0","8962.0"
"46.0","26.0","MI","MICHIGAN","191.0","363.0","7802.0"
"46.0","20.0","KS","KANSAS","186.0","350.0","9318.0"
"46.0","13.0","GA","GEORGIA","169.0","284.0","6036.0"
"46.0","37.0","NC","NORTH CAROLINA","161.0","326.0","6963.0"
"46.0","39.0","OH","OHIO","156.0","260.0","6496.0"
"46.0","32.0","NV","NEVADA","146.0","276.0","5735.0"
"46.0","36.0","NY","NEW YORK","145.0","261.0","6726.0"
"46.0","41.0","OR","OREGON","141.0","252.0","4671.0"
"46.0","18.0","IN","INDIANA","135.0","264.0","6343.0"
"46.0","51.0","VA","VIRGINIA","128.0","262.0","6126.0"
"46.0","49.0","UT","UTAH","122.0","275.0","4398.0"
"46.0","40.0","OK","OKLAHOMA","120.0","256.0","4255.0"
"46.0","35.0","NM","NEW MEXICO","116.0","242.0","4490.0"
"46.0","16.0","ID","IDAHO","115.0","255.0","4787.0"
"46.0","42.0","PA","PENNSYLVANIA","114.0","210.0","7043.0"
"46.0","47.0","TN","TENNESSEE","111.0","227.0","5116.0"
"46.0","2.0","AK","ALASKA","87.0","191.0","4429.0"
"46.0","45.0","SC","SOUTH CAROLINA","74.0","126.0","2932.0"
"46.0","1.0","AL","ALABAMA","73.0","121.0","3049.0"
"46.0","24.0","MD","MARYLAND","72.0","114.0","2762.0"
"46.0","25.0","MA","MASSACHUSETTS","68.0","99.0","2348.0"
"46.0","21.0","KY","KENTUCKY","66.0","137.0","3350.0"
"46.0","5.0","AR","ARKANSAS","65.0","126.0","2176.0"
"46.0","28.0","MS","MISSISSIPPI","56.0","105.0","1781.0"
"46.0","34.0","NJ","NEW JERSEY","54.0","87.0","2370.0"
"46.0","22.0","LA","LOUISIANA","45.0","103.0","1964.0"
"46.0","9.0","CT","CONNECTICUT","40.0","66.0","2293.0"
"46.0","15.0","HI","HAWAII","39.0","92.0","1747.0"
"46.0","33.0","NH","NEW HAMPSHIRE","31.0","55.0","564.0"
"46.0","23.0","ME","MAINE","23.0","35.0","827.0"
"46.0","54.0","WV","WEST VIRGINIA","19.0","29.0","847.0"
"46.0","11.0","DC","DISTRICT OF COLUMBIA","17.0","19.0","655.0"
"46.0","50.0","VT","VERMONT","16.0","30.0","767.0"
"46.0","44.0","RI","RHODE ISLAND","13.0","25.0","325.0"
"46.0","10.0","DE","DELAWARE","12.0","25.0","634.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
