"COLORADO INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Colorado (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"8.0","96.0","CO","CO Total Mig - US & For","81066.0","149787.0","3895657.0"
"8.0","97.0","CO","CO Total Mig - US","79219.0","145535.0","3802991.0"
"8.0","98.0","CO","CO Total Mig - Foreign","1847.0","4252.0","92667.0"
"8.0","8.0","CO","CO Non-Migrants","1785442.0","3864553.0","112635934.0"
"8.0","6.0","CA","CALIFORNIA","9300.0","17015.0","507946.0"
"8.0","48.0","TX","TEXAS","7147.0","14546.0","398033.0"
"8.0","12.0","FL","FLORIDA","4310.0","7600.0","189190.0"
"8.0","4.0","AZ","ARIZONA","4196.0","8472.0","184694.0"
"8.0","17.0","IL","ILLINOIS","3186.0","5307.0","163553.0"
"8.0","36.0","NY","NEW YORK","2511.0","3961.0","124421.0"
"8.0","35.0","NM","NEW MEXICO","2407.0","4639.0","103814.0"
"8.0","53.0","WA","WASHINGTON","2323.0","4331.0","107661.0"
"8.0","51.0","VA","VIRGINIA","2007.0","3926.0","131707.0"
"8.0","20.0","KS","KANSAS","2002.0","3889.0","85792.0"
"8.0","26.0","MI","MICHIGAN","1965.0","3045.0","72787.0"
"8.0","39.0","OH","OHIO","1881.0","3145.0","90033.0"
"8.0","37.0","NC","NORTH CAROLINA","1868.0","3648.0","88134.0"
"8.0","56.0","WY","WYOMING","1863.0","3388.0","82595.0"
"8.0","29.0","MO","MISSOURI","1855.0","3386.0","78405.0"
"8.0","57.0","FR","Foreign","1847.0","4252.0","92667.0"
"8.0","13.0","GA","GEORGIA","1820.0","3603.0","85688.0"
"8.0","32.0","NV","NEVADA","1702.0","3399.0","77611.0"
"8.0","27.0","MN","MINNESOTA","1638.0","2609.0","79042.0"
"8.0","42.0","PA","PENNSYLVANIA","1622.0","2692.0","79797.0"
"8.0","49.0","UT","UTAH","1599.0","3486.0","73102.0"
"8.0","31.0","NE","NEBRASKA","1587.0","2863.0","69001.0"
"8.0","55.0","WI","WISCONSIN","1407.0","2261.0","56538.0"
"8.0","40.0","OK","OKLAHOMA","1387.0","2801.0","58296.0"
"8.0","41.0","OR","OREGON","1282.0","2278.0","56490.0"
"8.0","19.0","IA","IOWA","1225.0","1996.0","47630.0"
"8.0","18.0","IN","INDIANA","1149.0","1952.0","44663.0"
"8.0","25.0","MA","MASSACHUSETTS","1102.0","1709.0","70571.0"
"8.0","47.0","TN","TENNESSEE","1091.0","2017.0","51606.0"
"8.0","24.0","MD","MARYLAND","979.0","1706.0","62313.0"
"8.0","30.0","MT","MONTANA","917.0","1552.0","31768.0"
"8.0","34.0","NJ","NEW JERSEY","901.0","1437.0","53813.0"
"8.0","15.0","HI","HAWAII","802.0","1667.0","31815.0"
"8.0","16.0","ID","IDAHO","770.0","1684.0","35135.0"
"8.0","22.0","LA","LOUISIANA","734.0","1432.0","33071.0"
"8.0","1.0","AL","ALABAMA","703.0","1509.0","33763.0"
"8.0","46.0","SD","SOUTH DAKOTA","684.0","1111.0","23941.0"
"8.0","45.0","SC","SOUTH CAROLINA","646.0","1219.0","28369.0"
"8.0","2.0","AK","ALASKA","615.0","1268.0","28652.0"
"8.0","21.0","KY","KENTUCKY","581.0","1175.0","25476.0"
"8.0","5.0","AR","ARKANSAS","564.0","1077.0","22261.0"
"8.0","9.0","CT","CONNECTICUT","531.0","814.0","30940.0"
"8.0","38.0","ND","NORTH DAKOTA","420.0","713.0","17652.0"
"8.0","28.0","MS","MISSISSIPPI","372.0","755.0","15743.0"
"8.0","33.0","NH","NEW HAMPSHIRE","358.0","535.0","15649.0"
"8.0","23.0","ME","MAINE","310.0","481.0","10483.0"
"8.0","50.0","VT","VERMONT","240.0","328.0","8882.0"
"8.0","11.0","DC","DISTRICT OF COLUMBIA","237.0","332.0","15255.0"
"8.0","54.0","WV","WEST VIRGINIA","160.0","296.0","6275.0"
"8.0","44.0","RI","RHODE ISLAND","147.0","256.0","5887.0"
"8.0","10.0","DE","DELAWARE","116.0","224.0","7050.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
