"MISSOURI INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Missouri (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"29.0","96.0","MO","MO Total Mig - US & For","56635.0","108539.0","2413492.0"
"29.0","97.0","MO","MO Total Mig - US","55637.0","106395.0","2369965.0"
"29.0","98.0","MO","MO Total Mig - Foreign","998.0","2144.0","43526.0"
"29.0","29.0","MO","MO Non-Migrants","2141367.0","4610642.0","116224568.0"
"29.0","20.0","KS","KANSAS","8710.0","15644.0","346012.0"
"29.0","17.0","IL","ILLINOIS","7482.0","12963.0","305438.0"
"29.0","48.0","TX","TEXAS","3890.0","8003.0","174747.0"
"29.0","6.0","CA","CALIFORNIA","3150.0","6085.0","139809.0"
"29.0","12.0","FL","FLORIDA","2615.0","4662.0","104657.0"
"29.0","5.0","AR","ARKANSAS","2400.0","4894.0","76157.0"
"29.0","19.0","IA","IOWA","1725.0","3112.0","72667.0"
"29.0","40.0","OK","OKLAHOMA","1666.0","3409.0","59190.0"
"29.0","47.0","TN","TENNESSEE","1309.0","2606.0","51771.0"
"29.0","8.0","CO","COLORADO","1295.0","2565.0","55944.0"
"29.0","13.0","GA","GEORGIA","1290.0","2680.0","53579.0"
"29.0","4.0","AZ","ARIZONA","1209.0","2364.0","44421.0"
"29.0","26.0","MI","MICHIGAN","1106.0","2133.0","48300.0"
"29.0","39.0","OH","OHIO","1100.0","2082.0","56664.0"
"29.0","36.0","NY","NEW YORK","1091.0","1978.0","50748.0"
"29.0","18.0","IN","INDIANA","1078.0","2191.0","52652.0"
"29.0","51.0","VA","VIRGINIA","1069.0","2210.0","59692.0"
"29.0","37.0","NC","NORTH CAROLINA","1066.0","2291.0","48570.0"
"29.0","31.0","NE","NEBRASKA","1007.0","1816.0","42709.0"
"29.0","57.0","FR","Foreign","998.0","2144.0","43526.0"
"29.0","53.0","WA","WASHINGTON","867.0","1762.0","33808.0"
"29.0","55.0","WI","WISCONSIN","864.0","1757.0","44982.0"
"29.0","21.0","KY","KENTUCKY","811.0","1724.0","32406.0"
"29.0","42.0","PA","PENNSYLVANIA","754.0","1419.0","42029.0"
"29.0","27.0","MN","MINNESOTA","746.0","1387.0","43680.0"
"29.0","22.0","LA","LOUISIANA","656.0","1304.0","26408.0"
"29.0","32.0","NV","NEVADA","552.0","1087.0","24440.0"
"29.0","1.0","AL","ALABAMA","537.0","1131.0","24490.0"
"29.0","28.0","MS","MISSISSIPPI","517.0","1035.0","16098.0"
"29.0","24.0","MD","MARYLAND","446.0","823.0","23285.0"
"29.0","45.0","SC","SOUTH CAROLINA","436.0","873.0","17724.0"
"29.0","41.0","OR","OREGON","409.0","791.0","13288.0"
"29.0","34.0","NJ","NEW JERSEY","397.0","732.0","26224.0"
"29.0","49.0","UT","UTAH","374.0","979.0","13010.0"
"29.0","25.0","MA","MASSACHUSETTS","358.0","560.0","23322.0"
"29.0","15.0","HI","HAWAII","350.0","774.0","12432.0"
"29.0","35.0","NM","NEW MEXICO","301.0","613.0","11646.0"
"29.0","2.0","AK","ALASKA","288.0","678.0","13398.0"
"29.0","46.0","SD","SOUTH DAKOTA","256.0","487.0","9283.0"
"29.0","16.0","ID","IDAHO","214.0","490.0","7637.0"
"29.0","9.0","CT","CONNECTICUT","213.0","376.0","16216.0"
"29.0","56.0","WY","WYOMING","193.0","378.0","7563.0"
"29.0","30.0","MT","MONTANA","153.0","289.0","4157.0"
"29.0","38.0","ND","NORTH DAKOTA","128.0","260.0","5000.0"
"29.0","11.0","DC","DISTRICT OF COLUMBIA","120.0","176.0","12363.0"
"29.0","54.0","WV","WEST VIRGINIA","110.0","213.0","6243.0"
"29.0","23.0","ME","MAINE","82.0","157.0","2889.0"
"29.0","33.0","NH","NEW HAMPSHIRE","80.0","136.0","3616.0"
"29.0","10.0","DE","DELAWARE","66.0","143.0","3305.0"
"29.0","44.0","RI","RHODE ISLAND","57.0","95.0","3536.0"
"29.0","50.0","VT","VERMONT","44.0","78.0","1756.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
