"NEW YORK INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into New York (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"36.0","96.0","NY","NY Total Mig - US & For","154181.0","241782.0","7432892.0"
"36.0","97.0","NY","NY Total Mig - US","148487.0","232431.0","7107931.0"
"36.0","98.0","NY","NY Total Mig - Foreign","5694.0","9351.0","324961.0"
"36.0","36.0","NY","NY Non-Migrants","7255720.0","14767874.0","462032979.0"
"36.0","34.0","NJ","NEW JERSEY","21852.0","33418.0","1392133.0"
"36.0","12.0","FL","FLORIDA","17786.0","29124.0","584060.0"
"36.0","42.0","PA","PENNSYLVANIA","12384.0","19294.0","532876.0"
"36.0","6.0","CA","CALIFORNIA","12361.0","17025.0","719521.0"
"36.0","25.0","MA","MASSACHUSETTS","7872.0","10821.0","433252.0"
"36.0","9.0","CT","CONNECTICUT","7427.0","11276.0","472675.0"
"36.0","48.0","TX","TEXAS","6196.0","10197.0","306039.0"
"36.0","37.0","NC","NORTH CAROLINA","5760.0","10171.0","211603.0"
"36.0","57.0","FR","Foreign","5694.0","9351.0","324961.0"
"36.0","51.0","VA","VIRGINIA","5544.0","9035.0","248307.0"
"36.0","13.0","GA","GEORGIA","5010.0","9101.0","192546.0"
"36.0","17.0","IL","ILLINOIS","4299.0","6057.0","283369.0"
"36.0","24.0","MD","MARYLAND","3856.0","5983.0","185363.0"
"36.0","39.0","OH","OHIO","3507.0","5487.0","158799.0"
"36.0","26.0","MI","MICHIGAN","2529.0","3998.0","103883.0"
"36.0","45.0","SC","SOUTH CAROLINA","2464.0","4204.0","72374.0"
"36.0","4.0","AZ","ARIZONA","2142.0","3522.0","82329.0"
"36.0","53.0","WA","WASHINGTON","1982.0","3040.0","90877.0"
"36.0","8.0","CO","COLORADO","1920.0","2973.0","86376.0"
"36.0","11.0","DC","DISTRICT OF COLUMBIA","1770.0","2106.0","106478.0"
"36.0","47.0","TN","TENNESSEE","1518.0","2528.0","53677.0"
"36.0","50.0","VT","VERMONT","1266.0","1899.0","45592.0"
"36.0","29.0","MO","MISSOURI","1248.0","2027.0","56635.0"
"36.0","27.0","MN","MINNESOTA","1241.0","1774.0","64028.0"
"36.0","18.0","IN","INDIANA","1213.0","2019.0","50979.0"
"36.0","44.0","RI","RHODE ISLAND","1132.0","1646.0","39888.0"
"36.0","32.0","NV","NEVADA","1083.0","1728.0","42576.0"
"36.0","55.0","WI","WISCONSIN","1029.0","1522.0","45611.0"
"36.0","33.0","NH","NEW HAMPSHIRE","1010.0","1429.0","44223.0"
"36.0","41.0","OR","OREGON","937.0","1393.0","36169.0"
"36.0","22.0","LA","LOUISIANA","909.0","1519.0","33200.0"
"36.0","1.0","AL","ALABAMA","889.0","1720.0","30771.0"
"36.0","21.0","KY","KENTUCKY","846.0","1520.0","29965.0"
"36.0","23.0","ME","MAINE","737.0","1095.0","26306.0"
"36.0","15.0","HI","HAWAII","692.0","1250.0","24413.0"
"36.0","10.0","DE","DELAWARE","688.0","1110.0","32891.0"
"36.0","20.0","KS","KANSAS","681.0","1279.0","25757.0"
"36.0","40.0","OK","OKLAHOMA","628.0","1173.0","19755.0"
"36.0","49.0","UT","UTAH","602.0","1113.0","23564.0"
"36.0","35.0","NM","NEW MEXICO","488.0","786.0","18711.0"
"36.0","19.0","IA","IOWA","470.0","758.0","15082.0"
"36.0","5.0","AR","ARKANSAS","403.0","731.0","16471.0"
"36.0","28.0","MS","MISSISSIPPI","381.0","704.0","11317.0"
"36.0","54.0","WV","WEST VIRGINIA","333.0","551.0","10610.0"
"36.0","2.0","AK","ALASKA","328.0","599.0","11659.0"
"36.0","31.0","NE","NEBRASKA","315.0","516.0","11192.0"
"36.0","30.0","MT","MONTANA","220.0","299.0","5697.0"
"36.0","16.0","ID","IDAHO","202.0","347.0","6159.0"
"36.0","56.0","WY","WYOMING","123.0","190.0","3952.0"
"36.0","46.0","SD","SOUTH DAKOTA","119.0","209.0","4137.0"
"36.0","38.0","ND","NORTH DAKOTA","95.0","165.0","4083.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
