"NEW JERSEY INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into New Jersey (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI) "
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"34.0","96.0","NJ","NJ Total Mig - US & For","76538.0","136546.0","4636806.0"
"34.0","97.0","NJ","NJ Total Mig - US","74343.0","132568.0","4486058.0"
"34.0","98.0","NJ","NJ Total Mig - Foreign","2195.0","3978.0","150748.0"
"34.0","34.0","NJ","NJ Non-Migrants","3319103.0","7138614.0","251819365.0"
"34.0","36.0","NY","NEW YORK","24827.0","44551.0","1761643.0"
"34.0","42.0","PA","PENNSYLVANIA","11319.0","19356.0","598763.0"
"34.0","12.0","FL","FLORIDA","6805.0","11737.0","278054.0"
"34.0","6.0","CA","CALIFORNIA","3616.0","6447.0","275936.0"
"34.0","51.0","VA","VIRGINIA","2268.0","4089.0","124357.0"
"34.0","57.0","FR","Foreign","2195.0","3978.0","150748.0"
"34.0","37.0","NC","NORTH CAROLINA","2165.0","4125.0","98277.0"
"34.0","48.0","TX","TEXAS","2153.0","4079.0","134660.0"
"34.0","25.0","MA","MASSACHUSETTS","2105.0","3506.0","136340.0"
"34.0","13.0","GA","GEORGIA","1911.0","3586.0","82337.0"
"34.0","24.0","MD","MARYLAND","1844.0","3233.0","101790.0"
"34.0","9.0","CT","CONNECTICUT","1602.0","2873.0","124971.0"
"34.0","17.0","IL","ILLINOIS","1446.0","2685.0","117264.0"
"34.0","39.0","OH","OHIO","1036.0","1967.0","66026.0"
"34.0","10.0","DE","DELAWARE","1005.0","1751.0","50872.0"
"34.0","45.0","SC","SOUTH CAROLINA","815.0","1448.0","31127.0"
"34.0","26.0","MI","MICHIGAN","804.0","1441.0","44048.0"
"34.0","4.0","AZ","ARIZONA","707.0","1326.0","39787.0"
"34.0","8.0","CO","COLORADO","540.0","918.0","28967.0"
"34.0","53.0","WA","WASHINGTON","528.0","1007.0","38036.0"
"34.0","47.0","TN","TENNESSEE","517.0","1010.0","25721.0"
"34.0","18.0","IN","INDIANA","449.0","874.0","29246.0"
"34.0","32.0","NV","NEVADA","438.0","790.0","20232.0"
"34.0","29.0","MO","MISSOURI","399.0","770.0","24509.0"
"34.0","44.0","RI","RHODE ISLAND","398.0","646.0","15030.0"
"34.0","27.0","MN","MINNESOTA","345.0","621.0","25661.0"
"34.0","55.0","WI","WISCONSIN","334.0","630.0","18682.0"
"34.0","11.0","DC","DISTRICT OF COLUMBIA","321.0","419.0","16680.0"
"34.0","22.0","LA","LOUISIANA","283.0","494.0","11428.0"
"34.0","1.0","AL","ALABAMA","281.0","558.0","11521.0"
"34.0","21.0","KY","KENTUCKY","257.0","477.0","17653.0"
"34.0","33.0","NH","NEW HAMPSHIRE","247.0","440.0","14687.0"
"34.0","15.0","HI","HAWAII","228.0","412.0","9135.0"
"34.0","20.0","KS","KANSAS","205.0","403.0","10052.0"
"34.0","23.0","ME","MAINE","203.0","357.0","10491.0"
"34.0","41.0","OR","OREGON","203.0","381.0","9943.0"
"34.0","19.0","IA","IOWA","188.0","324.0","7948.0"
"34.0","40.0","OK","OKLAHOMA","177.0","353.0","6841.0"
"34.0","50.0","VT","VERMONT","172.0","251.0","7110.0"
"34.0","49.0","UT","UTAH","160.0","330.0","8959.0"
"34.0","54.0","WV","WEST VIRGINIA","159.0","265.0","6195.0"
"34.0","5.0","AR","ARKANSAS","158.0","315.0","12602.0"
"34.0","35.0","NM","NEW MEXICO","138.0","242.0","6010.0"
"34.0","28.0","MS","MISSISSIPPI","134.0","228.0","4911.0"
"34.0","2.0","AK","ALASKA","99.0","206.0","3852.0"
"34.0","31.0","NE","NEBRASKA","92.0","165.0","5097.0"
"34.0","16.0","ID","IDAHO","70.0","144.0","3626.0"
"34.0","30.0","MT","MONTANA","69.0","124.0","3640.0"
"34.0","56.0","WY","WYOMING","44.0","73.0","1498.0"
"34.0","46.0","SD","SOUTH DAKOTA","41.0","81.0","2325.0"
"34.0","38.0","ND","NORTH DAKOTA","38.0","60.0","1518.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
