"NEW HAMPSHIRE INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into New Hampshire (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"33.0","96.0","NH","NH Total Mig - US & For","18364.0","30647.0","986591.0"
"33.0","97.0","NH","NH Total Mig - US","18136.0","30221.0","962818.0"
"33.0","98.0","NH","NH Total Mig - Foreign","228.0","426.0","23772.0"
"33.0","33.0","NH","NH Non-Migrants","518053.0","1062201.0","33780900.0"
"33.0","25.0","MA","MASSACHUSETTS","5993.0","9744.0","345357.0"
"33.0","23.0","ME","MAINE","1618.0","2468.0","63730.0"
"33.0","12.0","FL","FLORIDA","1326.0","2168.0","54106.0"
"33.0","50.0","VT","VERMONT","1169.0","1888.0","48667.0"
"33.0","36.0","NY","NEW YORK","1069.0","1791.0","63929.0"
"33.0","9.0","CT","CONNECTICUT","646.0","1027.0","41635.0"
"33.0","6.0","CA","CALIFORNIA","608.0","1032.0","33018.0"
"33.0","48.0","TX","TEXAS","425.0","759.0","23277.0"
"33.0","42.0","PA","PENNSYLVANIA","419.0","765.0","27506.0"
"33.0","37.0","NC","NORTH CAROLINA","410.0","768.0","17801.0"
"33.0","34.0","NJ","NEW JERSEY","369.0","620.0","30815.0"
"33.0","51.0","VA","VIRGINIA","343.0","682.0","21994.0"
"33.0","44.0","RI","RHODE ISLAND","259.0","417.0","13137.0"
"33.0","13.0","GA","GEORGIA","248.0","463.0","12696.0"
"33.0","8.0","CO","COLORADO","242.0","381.0","9406.0"
"33.0","24.0","MD","MARYLAND","228.0","374.0","14481.0"
"33.0","57.0","FR","Foreign","228.0","426.0","23772.0"
"33.0","39.0","OH","OHIO","220.0","383.0","14167.0"
"33.0","4.0","AZ","ARIZONA","208.0","378.0","10723.0"
"33.0","45.0","SC","SOUTH CAROLINA","208.0","367.0","7571.0"
"33.0","17.0","IL","ILLINOIS","177.0","316.0","11413.0"
"33.0","26.0","MI","MICHIGAN","169.0","302.0","10182.0"
"33.0","53.0","WA","WASHINGTON","158.0","268.0","7035.0"
"33.0","47.0","TN","TENNESSEE","135.0","232.0","6273.0"
"33.0","18.0","IN","INDIANA","128.0","214.0","5515.0"
"33.0","32.0","NV","NEVADA","89.0","156.0","2895.0"
"33.0","49.0","UT","UTAH","86.0","172.0","4190.0"
"33.0","29.0","MO","MISSOURI","85.0","182.0","6409.0"
"33.0","41.0","OR","OREGON","85.0","146.0","3692.0"
"33.0","27.0","MN","MINNESOTA","83.0","145.0","7519.0"
"33.0","55.0","WI","WISCONSIN","79.0","150.0","4863.0"
"33.0","21.0","KY","KENTUCKY","71.0","101.0","2374.0"
"33.0","22.0","LA","LOUISIANA","67.0","113.0","2745.0"
"33.0","1.0","AL","ALABAMA","63.0","100.0","1979.0"
"33.0","11.0","DC","DISTRICT OF COLUMBIA","61.0","86.0","4694.0"
"33.0","15.0","HI","HAWAII","55.0","99.0","2055.0"
"33.0","30.0","MT","MONTANA","53.0","83.0","2169.0"
"33.0","2.0","AK","ALASKA","48.0","74.0","2181.0"
"33.0","10.0","DE","DELAWARE","48.0","87.0","2668.0"
"33.0","19.0","IA","IOWA","47.0","78.0","2013.0"
"33.0","20.0","KS","KANSAS","47.0","93.0","2135.0"
"33.0","35.0","NM","NEW MEXICO","47.0","78.0","1918.0"
"33.0","40.0","OK","OKLAHOMA","47.0","99.0","2612.0"
"33.0","56.0","WY","WYOMING","36.0","61.0","1079.0"
"33.0","16.0","ID","IDAHO","30.0","60.0","1206.0"
"33.0","54.0","WV","WEST VIRGINIA","29.0","59.0","1670.0"
"33.0","31.0","NE","NEBRASKA","28.0","53.0","1047.0"
"33.0","28.0","MS","MISSISSIPPI","27.0","40.0","1510.0"
"33.0","5.0","AR","ARKANSAS","21.0","37.0","1564.0"
"33.0","46.0","SD","SOUTH DAKOTA","15.0","36.0","629.0"
"33.0","38.0","ND","NORTH DAKOTA","14.0","26.0","567.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
