"MASSACHUSETTS INFLOW","","","","","",""
"Individual Income Tax Returns: State-to-State Migration Inflow for Selected Income Items, Calendar Years 2010-2011","","","","","",""
"(Money amounts are in thousands of dollars)","","","","","",""
"Destination into Massachusetts (State Code)","Origin from","","","Number of returns","Number of exemptions","Aggregate adjusted gross income (AGI)"
"","State Code","State","State Name","","",""
"","","","","-1.0","-2.0","-3.0"
"25.0","96.0","MA","MA Total Mig - US & For","63510.0","98832.0","3428356.0"
"25.0","97.0","MA","MA Total Mig - US","61868.0","95891.0","3316542.0"
"25.0","98.0","MA","MA Total Mig - Foreign","1642.0","2941.0","111814.0"
"25.0","25.0","MA","MA Non-Migrants","2505040.0","5066472.0","184681573.0"
"25.0","36.0","NY","NEW YORK","7982.0","11616.0","477128.0"
"25.0","12.0","FL","FLORIDA","5729.0","9504.0","212935.0"
"25.0","33.0","NH","NEW HAMPSHIRE","5487.0","8199.0","262285.0"
"25.0","6.0","CA","CALIFORNIA","4730.0","7132.0","292490.0"
"25.0","9.0","CT","CONNECTICUT","4562.0","6650.0","254689.0"
"25.0","44.0","RI","RHODE ISLAND","4032.0","6431.0","195015.0"
"25.0","42.0","PA","PENNSYLVANIA","2546.0","3929.0","155341.0"
"25.0","34.0","NJ","NEW JERSEY","2515.0","4076.0","184716.0"
"25.0","48.0","TX","TEXAS","1855.0","3109.0","109611.0"
"25.0","23.0","ME","MAINE","1786.0","2502.0","73029.0"
"25.0","51.0","VA","VIRGINIA","1694.0","2738.0","95853.0"
"25.0","57.0","FR","Foreign","1642.0","2941.0","111814.0"
"25.0","37.0","NC","NORTH CAROLINA","1636.0","2889.0","77835.0"
"25.0","17.0","IL","ILLINOIS","1565.0","2372.0","113333.0"
"25.0","13.0","GA","GEORGIA","1287.0","2275.0","61626.0"
"25.0","24.0","MD","MARYLAND","1241.0","1942.0","75527.0"
"25.0","50.0","VT","VERMONT","1130.0","1491.0","41863.0"
"25.0","39.0","OH","OHIO","1109.0","1790.0","64344.0"
"25.0","8.0","CO","COLORADO","921.0","1383.0","47938.0"
"25.0","26.0","MI","MICHIGAN","866.0","1286.0","40921.0"
"25.0","4.0","AZ","ARIZONA","830.0","1371.0","41709.0"
"25.0","53.0","WA","WASHINGTON","816.0","1249.0","46848.0"
"25.0","11.0","DC","DISTRICT OF COLUMBIA","635.0","781.0","40591.0"
"25.0","45.0","SC","SOUTH CAROLINA","596.0","970.0","24657.0"
"25.0","27.0","MN","MINNESOTA","550.0","854.0","42101.0"
"25.0","29.0","MO","MISSOURI","504.0","844.0","33308.0"
"25.0","47.0","TN","TENNESSEE","501.0","837.0","21023.0"
"25.0","55.0","WI","WISCONSIN","447.0","697.0","23979.0"
"25.0","18.0","IN","INDIANA","421.0","673.0","28628.0"
"25.0","41.0","OR","OREGON","394.0","580.0","19369.0"
"25.0","32.0","NV","NEVADA","316.0","519.0","12309.0"
"25.0","22.0","LA","LOUISIANA","270.0","406.0","9515.0"
"25.0","15.0","HI","HAWAII","264.0","429.0","9360.0"
"25.0","49.0","UT","UTAH","256.0","429.0","11873.0"
"25.0","21.0","KY","KENTUCKY","252.0","437.0","11148.0"
"25.0","1.0","AL","ALABAMA","243.0","433.0","12300.0"
"25.0","35.0","NM","NEW MEXICO","238.0","379.0","13075.0"
"25.0","19.0","IA","IOWA","200.0","309.0","8237.0"
"25.0","20.0","KS","KANSAS","199.0","338.0","9013.0"
"25.0","10.0","DE","DELAWARE","172.0","284.0","13963.0"
"25.0","40.0","OK","OKLAHOMA","172.0","267.0","6688.0"
"25.0","5.0","AR","ARKANSAS","132.0","226.0","6131.0"
"25.0","28.0","MS","MISSISSIPPI","129.0","219.0","4626.0"
"25.0","54.0","WV","WEST VIRGINIA","113.0","178.0","5605.0"
"25.0","31.0","NE","NEBRASKA","111.0","185.0","7386.0"
"25.0","30.0","MT","MONTANA","104.0","147.0","3936.0"
"25.0","2.0","AK","ALASKA","102.0","151.0","4273.0"
"25.0","16.0","ID","IDAHO","89.0","151.0","3673.0"
"25.0","56.0","WY","WYOMING","49.0","91.0","2291.0"
"25.0","38.0","ND","NORTH DAKOTA","45.0","73.0","1134.0"
"25.0","46.0","SD","SOUTH DAKOTA","45.0","70.0","1316.0"
"NOTE: Data are based on Individual Income Tax Returns Forms 1040 filed with and processed by the IRS by the end of September, 2011.","","","","","",""
"Source:  IRS Individual Master File, Statistics of Income, February 2014","","","","","",""
